Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
Bahrain,Charles Leclerc,Odds to Win,1,0.16666666666666666,0.2117273402386976,0.27036404143218573,1,6.0,5.0
Bahrain,Carlos Sainz,Odds to Win,2,0.10526315789473684,0.2427432426145309,1.3060608048380438,0,0.0,-1.0
Bahrain,Carlos Sainz,Odds to Finish Top Three,2,0.38461538461538464,0.4717377088706648,0.22651804306372836,0,0.0,-1.0
Bahrain,Sergio Perez,Odds to Win,18,0.043478260869565216,0.1094342926624278,1.5169887312358394,0,0.0,-1.0
Bahrain,Sergio Perez,Odds to Finish Top Three,18,0.36363636363636365,0.39561701237640373,0.08794678403511025,0,0.0,-1.0
Bahrain,Valtteri Bottas,Odds to Win,6,0.0070921985815602835,0.1116626915855353,14.744439513560478,0,0.0,-1.0
Bahrain,Valtteri Bottas,Odds to Finish Top Three,6,0.009900990099009901,0.2540961364792484,24.663709784404087,0,0.0,-1.0
Bahrain,Valtteri Bottas,Odds to Finish Top Six,6,0.058823529411764705,0.3693451461218522,5.278867484071488,0,0.0,-1.0
Bahrain,Valtteri Bottas,Odds to Finish Top Ten,6,0.2857142857142857,0.593116081696635,1.0759062859382227,0,0.0,-1.0
Bahrain,Kevin Magnussen,Odds to Finish Top Six,5,0.07142857142857142,0.18700663623990027,1.6180929073586041,0,0.0,-1.0
Bahrain,Kevin Magnussen,Odds to Finish Top Ten,5,0.3125,0.4213729794327042,0.34839353418465335,0,0.0,-1.0
Bahrain,Fernando Alonso,Odds to Win,9,0.0196078431372549,0.0693222591614718,2.535435217235062,0,0.0,-1.0
Bahrain,Fernando Alonso,Odds to Finish Top Three,9,0.05263157894736842,0.2008016619122038,2.8152315763318727,0,0.0,-1.0
Bahrain,Fernando Alonso,Odds to Finish Top Six,9,0.2702702702702703,0.46009299151422683,0.7023440686026392,0,0.0,-1.0
Bahrain,Fernando Alonso,Odds to Finish Top Ten,9,0.6,0.631177148511969,0.05196191418661522,0,0.0,-1.0
Bahrain,Pierre Gasly,Odds to Win,\N,0.0196078431372549,0.0218554251139126,0.11462668080954264,0,0.0,-1.0
Bahrain,Pierre Gasly,Odds to Finish Top Three,\N,0.058823529411764705,0.1115766147404044,0.8968024505868748,0,0.0,-1.0
Bahrain,Esteban Ocon,Odds to Win,7,0.015151515151515152,0.0168104331733647,0.1094885894420703,0,0.0,-1.0
Bahrain,Esteban Ocon,Odds to Finish Top Three,7,0.0196078431372549,0.0943919636348753,3.8139901453786402,0,0.0,-1.0
Bahrain,Esteban Ocon,Odds to Finish Top Six,7,0.2702702702702703,0.2718528278201526,0.005855462934564404,0,0.0,-1.0
Bahrain,Mick Schumacher,Odds to Finish Top Three,11,0.0196078431372549,0.0233740941575943,0.19207880203730943,0,0.0,-1.0
Bahrain,Mick Schumacher,Odds to Finish Top Six,11,0.11764705882352941,0.15148431169142998,0.2876166493771548,0,0.0,-1.0
Bahrain,Mick Schumacher,Odds to Finish Top Ten,11,0.3125,0.3361981440243852,0.07583406087803257,0,0.0,-1.0
Bahrain,Alexander Albon,Odds to Win,13,0.0070921985815602835,0.0081994662568961,0.15612474222235018,0,0.0,-1.0
Bahrain,Alexander Albon,Odds to Finish Top Three,13,0.013157894736842105,0.061134691867668095,3.646236581942776,0,0.0,-1.0
Bahrain,Alexander Albon,Odds to Finish Top Six,13,0.05263157894736842,0.1841535150466705,2.4989167858867396,0,0.0,-1.0
Bahrain,Alexander Albon,Odds to Finish Top Ten,13,0.3125,0.3940281282932129,0.2608900105382812,0,0.0,-1.0
Bahrain,Zhou Guanyu,Odds to Win,10,0.004975124378109453,0.0077453189480627,0.5568091085606026,0,0.0,-1.0
Bahrain,Zhou Guanyu,Odds to Finish Top Three,10,0.009900990099009901,0.0436982190043271,3.4135201194370364,0,0.0,-1.0
Bahrain,Zhou Guanyu,Odds to Finish Top Six,10,0.014084507042253521,0.1025370160352346,6.280128138501657,0,0.0,-1.0
Bahrain,Zhou Guanyu,Odds to Finish Top Ten,10,0.16666666666666666,0.37245646197997184,1.2347387718798313,0,0.0,-1.0
Bahrain,Nico Hulkenberg,Odds to Finish Top Three,17,0.03125,0.0418824525311955,0.34023848099825593,0,0.0,-1.0
Bahrain,Nicholas Latifi,Odds to Finish Top Three,16,0.009900990099009901,0.0167766444654726,0.6944410910127328,0,0.0,-1.0
Bahrain,Nicholas Latifi,Odds to Finish Top Six,16,0.014084507042253521,0.07247062740449531,4.1454145457191665,0,0.0,-1.0
Bahrain,Nicholas Latifi,Odds to Finish Top Ten,16,0.13333333333333333,0.3629857531467829,1.722393148600872,0,0.0,-1.0
