Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
Singapore,Lando Norris,Odds to Win,4,0.004975124378109453,0.04761904762,8.57142857162,0,0,-1
Singapore,Lando Norris,Odds to Finish Top Three,4,0.10526315789473684,0.14285714286,0.35714285717000016,0,0,-1
Singapore,Fernando Alonso,Odds to Win,\N,0.004975124378109453,0.04761904762,8.57142857162,0,0,-1
Singapore,Fernando Alonso,Odds to Finish Top Three,\N,0.043478260869565216,0.14285714286,2.28571428578,0,0,-1
Singapore,Pierre Gasly,Odds to Win,10,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
Singapore,Pierre Gasly,Odds to Finish Top Three,10,0.024390243902439025,0.14285714286,4.85714285726,0,0,-1
Singapore,Pierre Gasly,Odds to Finish Top Six,10,0.1111111111111111,0.28571428572,1.5714285714800003,0,0,-1
Singapore,Pierre Gasly,Odds to Finish Top Ten,10,0.43478260869565216,0.4761904762000001,0.09523809526000027,0,0,-1
Singapore,Esteban Ocon,Odds to Win,\N,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
Singapore,Esteban Ocon,Odds to Finish Top Three,\N,0.027777777777777776,0.14285714286,4.1428571429600005,0,0,-1
Singapore,Esteban Ocon,Odds to Finish Top Six,\N,0.26666666666666666,0.28571428572,0.07142857145000003,0,0,-1
Singapore,Daniel Ricciardo,Odds to Win,5,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
Singapore,Daniel Ricciardo,Odds to Finish Top Three,5,0.027777777777777776,0.14285714286,4.1428571429600005,0,0,-1
Singapore,Daniel Ricciardo,Odds to Finish Top Six,5,0.15384615384615385,0.28571428572,0.8571428571799999,0,0,-1
Singapore,Daniel Ricciardo,Odds to Finish Top Ten,5,0.4,0.4761904762000001,0.1904761905000001,0,0,-1
Singapore,Valtteri Bottas,Odds to Win,11,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
Singapore,Valtteri Bottas,Odds to Finish Top Three,11,0.006622516556291391,0.14285714286,20.57142857186,0,0,-1
Singapore,Valtteri Bottas,Odds to Finish Top Six,11,0.06666666666666667,0.28571428572,3.2857142858,0,0,-1
Singapore,Valtteri Bottas,Odds to Finish Top Ten,11,0.4,0.4761904762000001,0.1904761905000001,0,0,-1
Singapore,Sebastian Vettel,Odds to Win,8,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
Singapore,Sebastian Vettel,Odds to Finish Top Three,8,0.024390243902439025,0.14285714286,4.85714285726,0,0,-1
Singapore,Sebastian Vettel,Odds to Finish Top Six,8,0.09090909090909091,0.28571428572,2.14285714292,0,0,-1
Singapore,Sebastian Vettel,Odds to Finish Top Ten,8,0.4444444444444444,0.4761904762000001,0.07142857145000026,0,0,-1
