Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
Singapore,Charles Leclerc,Odds to Finish Top Six,2,0.8666666666666667,0.8740856023884439,0.008560310448204378,1,1.1538461538461537,0.15384615384615374
Singapore,Charles Leclerc,Odds to Finish Top Ten,2,0.875,0.929474326854557,0.062256373548065236,1,1.1428571428571428,0.1428571428571428
Singapore,Lewis Hamilton,Odds to Finish Top Ten,9,0.875,0.914358992688965,0.04498170593024575,1,1.1428571428571428,0.1428571428571428
Singapore,Carlos Sainz,Odds to Finish Top Ten,3,0.875,0.917244489794397,0.04827941690788218,1,1.1428571428571428,0.1428571428571428
Singapore,Sergio Perez,Odds to Win,1,0.07692307692307693,0.1711950451899326,1.2255355874691234,1,13.0,12.0
Singapore,Sergio Perez,Odds to Finish Top Three,1,0.6363636363636364,0.7079509973119285,0.11249442434731627,1,1.5714285714285714,0.5714285714285714
Singapore,Sergio Perez,Odds to Finish Top Six,1,0.8461538461538461,0.9161734844749496,0.0827504816522131,1,1.1818181818181819,0.18181818181818188
Singapore,Sergio Perez,Odds to Finish Top Ten,1,0.8571428571428571,0.9616586245707331,0.1219350619991888,1,1.1666666666666667,0.16666666666666674
Singapore,Lando Norris,Odds to Win,4,0.004975124378109453,0.0137790209389921,1.7695832087374121,0,0.0,-1.0
Singapore,Lando Norris,Odds to Finish Top Three,4,0.10526315789473684,0.1260953359840889,0.19790569184884466,0,0.0,-1.0
Singapore,Fernando Alonso,Odds to Win,\N,0.004975124378109453,0.0451501768093014,8.075185538669581,0,0.0,-1.0
Singapore,Fernando Alonso,Odds to Finish Top Three,\N,0.043478260869565216,0.132369631549042,2.044501525627966,0,0.0,-1.0
Singapore,Fernando Alonso,Odds to Finish Top Six,\N,0.4444444444444444,0.4651724521306992,0.04663801729407324,0,0.0,-1.0
Singapore,Pierre Gasly,Odds to Win,10,0.001996007984031936,0.0021044517692531,0.0543303363958032,0,0.0,-1.0
Singapore,Pierre Gasly,Odds to Finish Top Three,10,0.024390243902439025,0.03267236197558,0.33956684099878,0,0.0,-1.0
Singapore,Pierre Gasly,Odds to Finish Top Six,10,0.1111111111111111,0.171083719919296,0.539753479273664,0,0.0,-1.0
Singapore,Sebastian Vettel,Odds to Finish Top Six,8,0.09090909090909091,0.0921878548337477,0.01406640317122454,0,0.0,-1.0
Singapore,Lance Stroll,Odds to Finish Top Three,6,0.006622516556291391,0.0066541401877191,0.004775168345584113,0,0.0,-1.0
Singapore,Lance Stroll,Odds to Finish Top Six,6,0.058823529411764705,0.0622424175097172,0.05812109766519247,1,17.0,16.0
Singapore,Kevin Magnussen,Odds to Finish Top Six,12,0.043478260869565216,0.051512342906504735,0.184783886849609,0,0.0,-1.0
Singapore,Yuki Tsunoda,Odds to Finish Top Six,\N,0.047619047619047616,0.06670509701424131,0.4008070372990675,0,0.0,-1.0
Singapore,Nicholas Latifi,Odds to Finish Top Six,\N,0.009900990099009901,0.016947905731514206,0.7117384788829348,0,0.0,-1.0
Singapore,Nicholas Latifi,Odds to Finish Top Ten,\N,0.05263157894736842,0.1559619333944365,1.9632767344942939,0,0.0,-1.0
Singapore,Mick Schumacher,Odds to Finish Top Six,13,0.034482758620689655,0.053504041710082786,0.5516172095924008,0,0.0,-1.0
UnitedStates,Max Verstappen,Odds to Finish Top Three,1,0.8,0.9424594917453736,0.1780743646817169,1,1.25,0.25
UnitedStates,Max Verstappen,Odds to Finish Top Six,1,0.8571428571428571,0.9714443899333776,0.13335178825560723,1,1.1666666666666667,0.16666666666666674
UnitedStates,Max Verstappen,Odds to Finish Top Ten,1,0.8823529411764706,0.9739706036191423,0.10383335076836131,1,1.1333333333333333,0.1333333333333333
UnitedStates,Lewis Hamilton,Odds to Finish Top Ten,2,0.875,0.9228630807030845,0.05470066366066795,1,1.1428571428571428,0.1428571428571428
UnitedStates,Carlos Sainz,Odds to Win,\N,0.058823529411764705,0.1705207583572684,1.8988528920735628,0,0.0,-1.0
UnitedStates,Carlos Sainz,Odds to Finish Top Three,\N,0.45454545454545453,0.5859248491291451,0.2890346680841194,0,0.0,-1.0
UnitedStates,Carlos Sainz,Odds to Finish Top Six,\N,0.8333333333333334,0.910953524655265,0.09314422958631807,0,0.0,-1.0
UnitedStates,Carlos Sainz,Odds to Finish Top Ten,\N,0.8571428571428571,0.9632948928467117,0.12384404165449703,0,0.0,-1.0
UnitedStates,George Russell,Odds to Finish Top Ten,5,0.875,0.923786586408812,0.055756098752927974,1,1.1428571428571428,0.1428571428571428
UnitedStates,Lando Norris,Odds to Win,6,0.004975124378109453,0.0135615423473883,1.7258700118250485,0,0.0,-1.0
UnitedStates,Lando Norris,Odds to Finish Top Three,6,0.06666666666666667,0.12792392042601158,0.9188588063901737,0,0.0,-1.0
UnitedStates,Pierre Gasly,Odds to Finish Top Six,14,0.07692307692307693,0.0892914560125123,0.16078892816265977,0,0.0,-1.0
UnitedStates,Sebastian Vettel,Odds to Finish Top Six,8,0.10526315789473684,0.15761871911604441,0.497377831602422,0,0.0,-1.0
UnitedStates,Valtteri Bottas,Odds to Finish Top Three,\N,0.009900990099009901,0.0349562033305611,2.530576536386671,0,0.0,-1.0
UnitedStates,Valtteri Bottas,Odds to Finish Top Six,\N,0.07692307692307693,0.1435543482955205,0.8662065278417663,0,0.0,-1.0
UnitedStates,Lance Stroll,Odds to Win,\N,0.0011098779134295228,0.0086813871216107,6.82192979657124,0,0.0,-1.0
UnitedStates,Lance Stroll,Odds to Finish Top Three,\N,0.009900990099009901,0.036423115408247,2.6787346562329466,0,0.0,-1.0
UnitedStates,Lance Stroll,Odds to Finish Top Six,\N,0.05263157894736842,0.1653728598918093,2.142084337944377,0,0.0,-1.0
UnitedStates,Lance Stroll,Odds to Finish Top Ten,\N,0.37735849056603776,0.379954243952348,0.006878746473722108,0,0.0,-1.0
UnitedStates,Nicholas Latifi,Odds to Finish Top Six,17,0.009900990099009901,0.018611719505116937,0.8797836700168107,0,0.0,-1.0
UnitedStates,Nicholas Latifi,Odds to Finish Top Ten,17,0.07692307692307693,0.13783477124648205,0.7918520262042665,0,0.0,-1.0
UnitedStates,Alexander Albon,Odds to Finish Top Three,13,0.007633587786259542,0.013849436009371899,0.8142761172277189,0,0.0,-1.0
UnitedStates,Alexander Albon,Odds to Finish Top Six,13,0.027777777777777776,0.0814284560652692,1.9314244183496916,0,0.0,-1.0
Canadian,Max Verstappen,Odds to Finish Top Three,1,0.782608695652174,0.8786045128017664,0.1226613219133681,1,1.2777777777777777,0.2777777777777777
Canadian,Max Verstappen,Odds to Finish Top Six,1,0.8461538461538461,0.9506646575638756,0.12351277712094388,1,1.1818181818181819,0.18181818181818188
Canadian,Max Verstappen,Odds to Finish Top Ten,1,0.8823529411764706,0.9625773496292195,0.09092099624644878,1,1.1333333333333333,0.1333333333333333
Canadian,Carlos Sainz,Odds to Win,2,0.058823529411764705,0.1117419042472674,0.8996123722035458,0,0.0,-1.0
Canadian,Carlos Sainz,Odds to Finish Top Three,2,0.36363636363636365,0.5009722607392724,0.3776737170329989,1,2.75,1.75
Canadian,Carlos Sainz,Odds to Finish Top Six,2,0.7368421052631579,0.8082393603693234,0.09689627478693907,1,1.3571428571428572,0.3571428571428572
Canadian,Carlos Sainz,Odds to Finish Top Ten,2,0.8333333333333334,0.896785557408395,0.07614266889007393,1,1.2,0.19999999999999996
Canadian,Lewis Hamilton,Odds to Win,3,0.027777777777777776,0.0895914686617102,2.225292871821567,0,0.0,-1.0
Canadian,Lewis Hamilton,Odds to Finish Top Three,3,0.2222222222222222,0.2513933390841922,0.13127002587886505,1,4.5,3.5
Canadian,Lewis Hamilton,Odds to Finish Top Ten,3,0.8181818181818182,0.8327682620581202,0.017827875848813513,1,1.222222222222222,0.2222222222222221
Canadian,Fernando Alonso,Odds to Win,9,0.006622516556291391,0.1921988806661707,28.022030980591776,0,0.0,-1.0
Canadian,Fernando Alonso,Odds to Finish Top Three,9,0.06666666666666667,0.3488704490794183,4.2330567361912745,0,0.0,-1.0
Canadian,Fernando Alonso,Odds to Finish Top Six,9,0.37735849056603776,0.6081792467406909,0.6116750038628307,0,0.0,-1.0
Canadian,Fernando Alonso,Odds to Finish Top Ten,9,0.6666666666666666,0.7622585847434634,0.1433878771151953,1,1.5,0.5
Canadian,Esteban Ocon,Odds to Win,6,0.00398406374501992,0.0044276175036352,0.11133199341243527,0,0.0,-1.0
Canadian,Esteban Ocon,Odds to Finish Top Three,6,0.05263157894736842,0.0659731682332355,0.25349019643147463,0,0.0,-1.0
Canadian,Esteban Ocon,Odds to Finish Top Six,6,0.2,0.2693322781363064,0.3466613906815319,1,5.0,4.0
Canadian,Daniel Ricciardo,Odds to Finish Top Three,11,0.047619047619047616,0.051557404505278695,0.08270549461085275,0,0.0,-1.0
Canadian,Daniel Ricciardo,Odds to Finish Top Six,11,0.18181818181818182,0.2558583994665175,0.40722119706584614,0,0.0,-1.0
Canadian,Lance Stroll,Odds to Finish Top Six,10,0.034482758620689655,0.037773576609780216,0.0954337216836263,0,0.0,-1.0
Canadian,Lance Stroll,Odds to Finish Top Ten,10,0.18181818181818182,0.22043004706646924,0.21236525886558066,1,5.5,4.5
Canadian,Mick Schumacher,Odds to Finish Top Six,\N,0.03225806451612903,0.0964022357247786,1.9884693074681365,0,0.0,-1.0
Canadian,Mick Schumacher,Odds to Finish Top Ten,\N,0.16666666666666666,0.24493987657488073,0.4696392594492844,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Three,8,0.006622516556291391,0.013146538765996528,0.9851273536654757,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Six,8,0.03225806451612903,0.07012559527424403,1.1738934535015648,0,0.0,-1.0
Canadian,Zhou Guanyu,Odds to Finish Top Ten,8,0.20833333333333334,0.27497815904081513,0.3198951633959126,1,4.8,3.8
Canadian,Alexander Albon,Odds to Finish Top Three,13,0.0033222591362126247,0.010216652555237203,2.075212419126398,0,0.0,-1.0
Canadian,Alexander Albon,Odds to Finish Top Six,13,0.015151515151515152,0.0706061088295634,3.6600031827511845,0,0.0,-1.0
Canadian,Alexander Albon,Odds to Finish Top Ten,13,0.15384615384615385,0.20226805099676448,0.314742331478969,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Three,16,0.001996007984031936,0.002039159067252628,0.021618692693566643,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Six,16,0.006622516556291391,0.02598498167162973,2.923732232416089,0,0.0,-1.0
Canadian,Nicholas Latifi,Odds to Finish Top Ten,16,0.043478260869565216,0.1716844561644139,2.94874249178152,0,0.0,-1.0
Azerbaijan,Max Verstappen,Odds to Finish Top Six,1,0.8333333333333334,0.895126371036166,0.07415164524339923,1,1.2,0.19999999999999996
Azerbaijan,Max Verstappen,Odds to Finish Top Ten,1,0.875,0.924522064260137,0.05659664486872806,1,1.1428571428571428,0.1428571428571428
Azerbaijan,Charles Leclerc,Odds to Finish Top Six,\N,0.8181818181818182,0.8549446571025723,0.0449323586809216,0,0.0,-1.0
Azerbaijan,Charles Leclerc,Odds to Finish Top Ten,\N,0.875,0.9156483903386853,0.046455303244211654,0,0.0,-1.0
Azerbaijan,Sergio Perez,Odds to Win,2,0.15384615384615385,0.2369641694295702,0.5402671012922062,0,0.0,-1.0
Azerbaijan,Sergio Perez,Odds to Finish Top Three,2,0.5833333333333334,0.6684127272299911,0.14585038953712748,1,1.7142857142857142,0.7142857142857142
Azerbaijan,Sergio Perez,Odds to Finish Top Six,2,0.8,0.8754281866858945,0.09428523335736805,1,1.25,0.25
