Year,Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Amount wagered,Units won,Net units won,Cumulative bankroll
2021,Singapore,Charles Leclerc,Odds to Finish Top Six,2,0.8666666666666667,0.8740856023884439,0.008560310448204378,1,76.0,87.6923076923077,11.692307692307693,10011.692307692309
2021,Singapore,Charles Leclerc,Odds to Finish Top Ten,2,0.875,0.929474326854557,0.062256373548065236,1,87.0,99.42857142857143,12.42857142857143,10024.12087912088
2021,Singapore,Lewis Hamilton,Odds to Finish Top Ten,9,0.875,0.914358992688965,0.04498170593024575,1,84.0,96.0,12.0,10036.12087912088
2021,Singapore,Carlos Sainz,Odds to Finish Top Ten,3,0.875,0.917244489794397,0.04827941690788218,1,85.0,97.14285714285714,12.142857142857139,10048.263736263736
2021,Singapore,Sergio Perez,Odds to Win,1,0.07692307692307693,0.1711950451899326,1.2255355874691234,1,11.0,143.0,132.0,10180.263736263736
2021,Singapore,Sergio Perez,Odds to Finish Top Three,1,0.6363636363636364,0.7079509973119285,0.11249442434731627,1,53.0,83.28571428571429,30.285714285714292,10210.54945054945
2021,Singapore,Sergio Perez,Odds to Finish Top Six,1,0.8461538461538461,0.9161734844749496,0.0827504816522131,1,86.0,101.63636363636364,15.63636363636364,10226.185814185814
2021,Singapore,Sergio Perez,Odds to Finish Top Ten,1,0.8571428571428571,0.9616586245707331,0.1219350619991888,1,95.0,110.83333333333334,15.833333333333343,10242.019147519148
2021,Singapore,Lando Norris,Odds to Win,4,0.004975124378109453,0.0137790209389921,1.7695832087374121,0,1.0,0.0,-1.0,10241.019147519148
2021,Singapore,Lando Norris,Odds to Finish Top Three,4,0.10526315789473684,0.1260953359840889,0.19790569184884466,0,3.0,0.0,-3.0,10238.019147519148
2021,Singapore,Fernando Alonso,Odds to Win,\N,0.004975124378109453,0.0451501768093014,8.075185538669581,0,4.0,0.0,-4.0,10234.019147519148
2021,Singapore,Fernando Alonso,Odds to Finish Top Three,\N,0.043478260869565216,0.132369631549042,2.044501525627966,0,10.0,0.0,-10.0,10224.019147519148
2021,Singapore,Fernando Alonso,Odds to Finish Top Six,\N,0.4444444444444444,0.4651724521306992,0.04663801729407324,0,23.0,0.0,-23.0,10201.019147519148
2021,Singapore,Pierre Gasly,Odds to Win,10,0.001996007984031936,0.0021044517692531,0.0543303363958032,0,0.0,0.0,0.0,10201.019147519148
2021,Singapore,Pierre Gasly,Odds to Finish Top Three,10,0.024390243902439025,0.03267236197558,0.33956684099878,0,1.0,0.0,-1.0,10200.019147519148
2021,Singapore,Pierre Gasly,Odds to Finish Top Six,10,0.1111111111111111,0.171083719919296,0.539753479273664,0,8.0,0.0,-8.0,10192.019147519148
2021,Singapore,Sebastian Vettel,Odds to Finish Top Six,8,0.09090909090909091,0.0921878548337477,0.01406640317122454,0,1.0,0.0,-1.0,10191.019147519148
2021,Singapore,Lance Stroll,Odds to Finish Top Three,6,0.006622516556291391,0.0066541401877191,0.004775168345584113,0,0.0,0.0,0.0,10191.019147519148
2021,Singapore,Lance Stroll,Odds to Finish Top Six,6,0.058823529411764705,0.0622424175097172,0.05812109766519247,1,1.0,17.0,16.0,10207.019147519148
2021,Singapore,Kevin Magnussen,Odds to Finish Top Six,12,0.043478260869565216,0.051512342906504735,0.184783886849609,0,1.0,0.0,-1.0,10206.019147519148
2021,Singapore,Yuki Tsunoda,Odds to Finish Top Six,\N,0.047619047619047616,0.06670509701424131,0.4008070372990675,0,2.0,0.0,-2.0,10204.019147519148
2021,Singapore,Nicholas Latifi,Odds to Finish Top Six,\N,0.009900990099009901,0.016947905731514206,0.7117384788829348,0,1.0,0.0,-1.0,10203.019147519148
2021,Singapore,Nicholas Latifi,Odds to Finish Top Ten,\N,0.05263157894736842,0.1559619333944365,1.9632767344942939,0,11.0,0.0,-11.0,10192.019147519148
2021,Singapore,Mick Schumacher,Odds to Finish Top Six,13,0.034482758620689655,0.053504041710082786,0.5516172095924008,0,2.0,0.0,-2.0,10190.019147519148
2021,UnitedStates,Max Verstappen,Odds to Finish Top Three,1,0.8,0.9424594917453736,0.1780743646817169,1,91.0,113.75,22.75,10212.769147519148
2021,UnitedStates,Max Verstappen,Odds to Finish Top Six,1,0.8571428571428571,0.9714443899333776,0.13335178825560723,1,97.0,113.16666666666667,16.16666666666667,10228.935814185814
2021,UnitedStates,Max Verstappen,Odds to Finish Top Ten,1,0.8823529411764706,0.9739706036191423,0.10383335076836131,1,97.0,109.93333333333334,12.933333333333337,10241.869147519146
2021,UnitedStates,Lewis Hamilton,Odds to Finish Top Ten,2,0.875,0.9228630807030845,0.05470066366066795,1,88.0,100.57142857142857,12.57142857142857,10254.440576090576
2021,UnitedStates,Carlos Sainz,Odds to Win,\N,0.058823529411764705,0.1705207583572684,1.8988528920735628,0,12.0,0.0,-12.0,10242.440576090576
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Three,\N,0.45454545454545453,0.5859248491291451,0.2890346680841194,0,41.0,0.0,-41.0,10201.440576090576
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Six,\N,0.8333333333333334,0.910953524655265,0.09314422958631807,0,85.0,0.0,-85.0,10116.440576090576
2021,UnitedStates,Carlos Sainz,Odds to Finish Top Ten,\N,0.8571428571428571,0.9632948928467117,0.12384404165449703,0,94.0,0.0,-94.0,10022.440576090576
2021,UnitedStates,George Russell,Odds to Finish Top Ten,5,0.875,0.923786586408812,0.055756098752927974,1,86.0,98.28571428571429,12.285714285714292,10034.72629037629
2021,UnitedStates,Lando Norris,Odds to Win,6,0.004975124378109453,0.0135615423473883,1.7258700118250485,0,1.0,0.0,-1.0,10033.72629037629
2021,UnitedStates,Lando Norris,Odds to Finish Top Three,6,0.06666666666666667,0.12792392042601158,0.9188588063901737,0,7.0,0.0,-7.0,10026.72629037629
2021,UnitedStates,Pierre Gasly,Odds to Finish Top Six,14,0.07692307692307693,0.0892914560125123,0.16078892816265977,0,2.0,0.0,-2.0,10024.72629037629
2021,UnitedStates,Sebastian Vettel,Odds to Finish Top Six,8,0.10526315789473684,0.15761871911604441,0.497377831602422,0,7.0,0.0,-7.0,10017.72629037629
2021,UnitedStates,Valtteri Bottas,Odds to Finish Top Three,\N,0.009900990099009901,0.0349562033305611,2.530576536386671,0,3.0,0.0,-3.0,10014.72629037629
2021,UnitedStates,Valtteri Bottas,Odds to Finish Top Six,\N,0.07692307692307693,0.1435543482955205,0.8662065278417663,0,8.0,0.0,-8.0,10006.72629037629
2021,UnitedStates,Lance Stroll,Odds to Win,\N,0.0011098779134295228,0.0086813871216107,6.82192979657124,0,1.0,0.0,-1.0,10005.72629037629
2021,UnitedStates,Lance Stroll,Odds to Finish Top Three,\N,0.009900990099009901,0.036423115408247,2.6787346562329466,0,3.0,0.0,-3.0,10002.72629037629
2021,UnitedStates,Lance Stroll,Odds to Finish Top Six,\N,0.05263157894736842,0.1653728598918093,2.142084337944377,0,12.0,0.0,-12.0,9990.72629037629
2021,UnitedStates,Lance Stroll,Odds to Finish Top Ten,\N,0.37735849056603776,0.379954243952348,0.006878746473722108,0,15.0,0.0,-15.0,9975.72629037629
2021,UnitedStates,Nicholas Latifi,Odds to Finish Top Six,17,0.009900990099009901,0.018611719505116937,0.8797836700168107,0,1.0,0.0,-1.0,9974.72629037629
2021,UnitedStates,Nicholas Latifi,Odds to Finish Top Ten,17,0.07692307692307693,0.13783477124648205,0.7918520262042665,0,7.0,0.0,-7.0,9967.72629037629
2021,UnitedStates,Alexander Albon,Odds to Finish Top Three,13,0.007633587786259542,0.013849436009371899,0.8142761172277189,0,1.0,0.0,-1.0,9966.72629037629
2021,UnitedStates,Alexander Albon,Odds to Finish Top Six,13,0.027777777777777776,0.0814284560652692,1.9314244183496916,0,6.0,0.0,-6.0,9960.72629037629
2021,Canadian,Max Verstappen,Odds to Finish Top Three,1,0.782608695652174,0.8786045128017664,0.1226613219133681,1,78.0,99.66666666666666,21.666666666666657,9982.392957042955
2021,Canadian,Max Verstappen,Odds to Finish Top Six,1,0.8461538461538461,0.9506646575638756,0.12351277712094388,1,91.0,107.54545454545455,16.545454545454547,9998.93841158841
2021,Canadian,Max Verstappen,Odds to Finish Top Ten,1,0.8823529411764706,0.9625773496292195,0.09092099624644878,1,93.0,105.4,12.400000000000006,10011.33841158841
2021,Canadian,Carlos Sainz,Odds to Win,2,0.058823529411764705,0.1117419042472674,0.8996123722035458,0,6.0,0.0,-6.0,10005.33841158841
2021,Canadian,Carlos Sainz,Odds to Finish Top Three,2,0.36363636363636365,0.5009722607392724,0.3776737170329989,1,32.0,88.0,56.0,10061.33841158841
2021,Canadian,Carlos Sainz,Odds to Finish Top Six,2,0.7368421052631579,0.8082393603693234,0.09689627478693907,1,67.0,90.92857142857143,23.92857142857143,10085.26698301698
2021,Canadian,Carlos Sainz,Odds to Finish Top Ten,2,0.8333333333333334,0.896785557408395,0.07614266889007393,1,82.0,98.39999999999999,16.39999999999999,10101.66698301698
2021,Canadian,Lewis Hamilton,Odds to Win,3,0.027777777777777776,0.0895914686617102,2.225292871821567,0,6.0,0.0,-6.0,10095.66698301698
2021,Canadian,Lewis Hamilton,Odds to Finish Top Three,3,0.2222222222222222,0.2513933390841922,0.13127002587886505,1,9.0,40.5,31.5,10127.16698301698
2021,Canadian,Lewis Hamilton,Odds to Finish Top Ten,3,0.8181818181818182,0.8327682620581202,0.017827875848813513,1,70.0,85.55555555555556,15.555555555555557,10142.722538572534
2021,Canadian,Fernando Alonso,Odds to Win,9,0.006622516556291391,0.1921988806661707,28.022030980591776,0,19.0,0.0,-19.0,10123.722538572534
2021,Canadian,Fernando Alonso,Odds to Finish Top Three,9,0.06666666666666667,0.3488704490794183,4.2330567361912745,0,31.0,0.0,-31.0,10092.722538572534
2021,Canadian,Fernando Alonso,Odds to Finish Top Six,9,0.37735849056603776,0.6081792467406909,0.6116750038628307,0,46.0,0.0,-46.0,10046.722538572534
2021,Canadian,Fernando Alonso,Odds to Finish Top Ten,9,0.6666666666666666,0.7622585847434634,0.1433878771151953,1,61.0,91.5,30.5,10077.222538572534
2021,Canadian,Esteban Ocon,Odds to Win,6,0.00398406374501992,0.0044276175036352,0.11133199341243527,0,0.0,0.0,0.0,10077.222538572534
2021,Canadian,Esteban Ocon,Odds to Finish Top Three,6,0.05263157894736842,0.0659731682332355,0.25349019643147463,0,2.0,0.0,-2.0,10075.222538572534
2021,Canadian,Esteban Ocon,Odds to Finish Top Six,6,0.2,0.2693322781363064,0.3466613906815319,1,12.0,60.0,48.0,10123.222538572534
2021,Canadian,Daniel Ricciardo,Odds to Finish Top Three,11,0.047619047619047616,0.051557404505278695,0.08270549461085275,0,1.0,0.0,-1.0,10122.222538572534
2021,Canadian,Daniel Ricciardo,Odds to Finish Top Six,11,0.18181818181818182,0.2558583994665175,0.40722119706584614,0,12.0,0.0,-12.0,10110.222538572534
2021,Canadian,Lance Stroll,Odds to Finish Top Six,10,0.034482758620689655,0.037773576609780216,0.0954337216836263,0,0.0,0.0,0.0,10110.222538572534
2021,Canadian,Lance Stroll,Odds to Finish Top Ten,10,0.18181818181818182,0.22043004706646924,0.21236525886558066,1,8.0,44.0,36.0,10146.222538572534
