,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.07237695,0.07656648,0.07941091,0.080746636,0.080495484,0.07867223,0.07538313,0.07081573,0.065221116,0.058891077,0.0521331,0.04524601,0.038499072,0.032116096,0.026266258,0.021060875,0.01655608,0.012759728,0.009641134,0.0071419654
1,Nico Hulkenberg,0.009181217,0.013193614,0.018338295,0.024653876,0.032058466,0.040321033,0.04905144,0.057716932,0.06568799,0.072310254,0.07699192,0.079290584,0.07898221,0.07609715,0.070915096,0.06392052,0.05572797,0.046993442,0.038329463,0.03023844
2,Max Verstappen,0.03816262,0.045132693,0.052058052,0.05856369,0.06425587,0.06876081,0.07176503,0.07305139,0.072525054,0.070224926,0.06631906,0.061084244,0.054873653,0.048077527,0.041083224,0.03423974,0.027831735,0.02206448,0.01706047,0.012865662
3,Daniel Ricciardo,0.01173575,0.016338982,0.022034973,0.0287855,0.036425747,0.04464951,0.05301497,0.06097527,0.067933284,0.073313676,0.076640934,0.07760868,0.07612603,0.07233187,0.06657324,0.05935309,0.051257845,0.04287962,0.03474682,0.02727425
4,Lance Stroll,0.01111228,0.016144475,0.022570262,0.030362789,0.039304174,0.048958473,0.058682606,0.06768351,0.07511878,0.08022438,0.08244348,0.081526436,0.07757696,0.071032844,0.06258606,0.053062584,0.043290377,0.03398492,0.025672803,0.018661765
5,Pierre Gasly,0.0032189195,0.0054443763,0.008802941,0.013606574,0.020105341,0.028399808,0.03834958,0.049504835,0.061090812,0.072068535,0.08127499,0.087621264,0.09030331,0.08896911,0.08379462,0.07544574,0.064937346,0.053431325,0.042027995,0.03160261
6,Charles Leclerc,0.02134566,0.027306892,0.03398774,0.041158494,0.048493553,0.055589885,0.062000424,0.0672792,0.07103201,0.07296502,0.072922654,0.07090837,0.06708413,0.06174893,0.055300124,0.048184797,0.040848985,0.033693008,0.027038671,0.021111457
7,Alexander Albon,0.027664348,0.034500375,0.04183862,0.04933797,0.05657643,0.063087046,0.06840613,0.07212738,0.073952965,0.073732905,0.071485415,0.06739441,0.06178464,0.05507918,0.04774686,0.04024874,0.032992117,0.026297739,0.02038342,0.015363345
8,Lando Norris,0.02474407,0.031440802,0.03880192,0.04651043,0.054148242,0.061228815,0.06724571,0.071731605,0.074317954,0.07478494,0.07309234,0.06938521,0.063973345,0.057288647,0.049828213,0.04209391,0.034538258,0.02752446,0.02130466,0.016016498
9,Sebastian Vettel,0.0121536935,0.016835645,0.022597115,0.02938854,0.037034355,0.04522029,0.053501196,0.06133319,0.068128556,0.07332712,0.07647189,0.07727531,0.075662635,0.07178335,0.065988466,0.058777865,0.050729595,0.042423915,0.034376513,0.026990736
10,Carlos Sainz,0.013709477,0.019058228,0.025601014,0.033231102,0.041681677,0.05051941,0.05916767,0.066961214,0.07322764,0.07738197,0.0790164,0.07796642,0.074338,0.06848995,0.060975563,0.052456304,0.0436066,0.03502835,0.027189432,0.020393573
11,Romain Grosjean,0.00027352705,0.0006262407,0.0013479358,0.0027276224,0.0051890323,0.009280587,0.015604562,0.024666904,0.036657665,0.051215574,0.06727074,0.08306872,0.096435264,0.10524976,0.107992455,0.10417244,0.09447115,0.08054389,0.064558454,0.048647508
12,Esteban Ocon,0.006179055,0.009546649,0.014178429,0.020241993,0.027779642,0.036647838,0.046474874,0.056654744,0.06638998,0.07478543,0.08098035,0.0842928,0.08434309,0.0811254,0.075008824,0.06666779,0.056959722,0.046780832,0.03693314,0.028029338
13,George Russell,8.171823e-05,0.0002218186,0.00055925176,0.0013096287,0.0028485209,0.0057546864,0.0107982885,0.018819973,0.030465903,0.04580785,0.06397302,0.0829821,0.09997767,0.11187997,0.116287395,0.11226487,0.10066672,0.083841465,0.06485789,0.04660125
14,Daniil Kvyat,0.0009614276,0.0019111064,0.0035956826,0.006403331,0.010793412,0.01722028,0.026004558,0.037169542,0.050286718,0.06439432,0.07804947,0.08954076,0.097229876,0.09993255,0.09721706,0.08951715,0.07801863,0.064360365,0.05025359,0.03714017
15,Kevin Magnussen,0.00030622425,0.00070224464,0.001511628,0.0030542861,0.005792712,0.010312454,0.017232565,0.027029982,0.039796915,0.054999754,0.07134769,0.08687738,0.09929825,0.106533006,0.107283905,0.101412766,0.08998264,0.07494325,0.058588725,0.042993564
16,Nicholas Latifi,0.00016396501,0.0004066902,0.00094236823,0.0020399627,0.004125419,0.007793973,0.0137560535,0.022681605,0.034937996,0.050276708,0.06758963,0.08488636,0.09959565,0.10916597,0.11178378,0.10693374,0.09556423,0.07978487,0.062228616,0.045342382
17,Antonio Giovinazzi,0.00063828344,0.0013356978,0.002637789,0.004915968,0.008645988,0.0143501805,0.022476923,0.03322411,0.046345394,0.061009437,0.075792156,0.08885634,0.09830816,0.102642566,0.10113523,0.09404037,0.08252074,0.0683359,0.05340372,0.03938502
18,Kimi Raikkonen,0.0008789878,0.0017183555,0.0031914806,0.0056314557,0.00944056,0.015035708,0.022750935,0.032705687,0.044668004,0.0579587,0.07144797,0.08367774,0.09310631,0.098423146,0.09884717,0.094314896,0.0854959,0.073630765,0.06024519,0.04683109
