,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.008776765,0.0127923805,0.018003453,0.024465159,0.032101683,0.040672,0.04975661,0.058775153,0.067038506,0.073831685,0.078514315,0.08061996,0.079932615,0.076523215,0.070737556,0.06313855,0.054416038,0.045284208,0.036387682,0.028232528
1,Lando Norris,0.009487672,0.013653339,0.01898961,0.025526509,0.033163853,0.0416425,0.050536655,0.059275396,0.067195565,0.07362152,0.07795915,0.079786174,0.07891985,0.075447194,0.06971044,0.062251646,0.05372816,0.044817872,0.03613256,0.02815428
2,Alexander Albon,0.009044422,0.013102096,0.018337352,0.024795247,0.032391883,0.040882714,0.049851626,0.058729295,0.06684456,0.07350441,0.0780902,0.080152236,0.07948233,0.07614854,0.070483655,0.06303056,0.05445651,0.045455292,0.036656834,0.028560216
3,Lewis Hamilton,0.009476916,0.013566274,0.018786794,0.025167694,0.03261616,0.040890392,0.049591627,0.05818273,0.06603566,0.07250396,0.077009395,0.079126924,0.07865092,0.075627856,0.07034913,0.06330447,0.055107243,0.04640681,0.037805386,0.029793678
4,Sergio Perez,0.007818442,0.011633734,0.01668635,0.02306997,0.030745076,0.03949548,0.048906058,0.058374193,0.06716181,0.0744847,0.07962603,0.08205144,0.081500575,0.078032985,0.072017655,0.06406828,0.054940194,0.045413062,0.036183808,0.027790168
5,Charles Leclerc,0.009819659,0.014014622,0.019348312,0.025839312,0.033380713,0.04171447,0.050425943,0.05896551,0.06669888,0.07298194,0.07724828,0.079093106,0.078336656,0.07505297,0.06955801,0.06235954,0.05407982,0.0453674,0.036815368,0.028899522
6,Carlos Sainz,0.009208102,0.013294627,0.018549975,0.02501336,0.0325958,0.041049942,0.049960256,0.05876217,0.06679322,0.073371604,0.077890575,0.07991034,0.07922866,0.07591417,0.07029501,0.06290532,0.054401558,0.045467038,0.036723416,0.028664915
7,Lance Stroll,0.0077003045,0.011515019,0.016588176,0.023020245,0.030775025,0.03963363,0.04917073,0.05876604,0.067658685,0.07504083,0.08017686,0.08252349,0.081824474,0.07815669,0.071916096,0.06374751,0.05443493,0.044778466,0.035484422,0.027088417
8,Daniel Ricciardo,0.009532271,0.013647812,0.018900601,0.025318285,0.032804877,0.0411139,0.049840778,0.058442213,0.066284895,0.07271905,0.07716631,0.07920509,0.07863652,0.07551644,0.07014624,0.063025065,0.054773197,0.04604352,0.037438203,0.029444717
9,Sebastian Vettel,0.011266733,0.015607507,0.020975323,0.027347839,0.034592092,0.04244926,0.050536215,0.058367983,0.06540125,0.071094655,0.074976824,0.07671083,0.07614223,0.073321946,0.06849859,0.06208245,0.05458778,0.04656518,0.038536005,0.03093936
10,Pierre Gasly,0.008054648,0.011921579,0.01701595,0.023421457,0.031089006,0.0397956,0.049124505,0.058478586,0.06713218,0.07431897,0.07934216,0.08168521,0.081099495,0.07764762,0.07169242,0.06383423,0.054811183,0.045385823,0.03624149,0.027907925
11,Daniil Kvyat,0.007740775,0.011536653,0.016571725,0.02294287,0.030614,0.03937175,0.048802465,0.05830304,0.06713249,0.07450178,0.07968799,0.08215072,0.08162482,0.07816736,0.072147414,0.0641813,0.055028606,0.04547376,0.03621809,0.027802404
12,Esteban Ocon,0.007964322,0.01181489,0.016898679,0.023303347,0.030983172,0.039716955,0.0490872,0.058492858,0.06720162,0.07443873,0.079498746,0.08185855,0.081266195,0.077785425,0.07178419,0.06387069,0.054791942,0.045318365,0.036138806,0.02778535
13,Romain Grosjean,0.008549316,0.012476272,0.017583907,0.023934415,0.03146349,0.03994553,0.048978567,0.05799906,0.0663304,0.07326243,0.07814961,0.080509864,0.080102906,0.0769705,0.071429454,0.064018734,0.055413254,0.04632307,0.037398793,0.029160492
14,Kevin Magnussen,0.007894721,0.011732123,0.016806941,0.023209894,0.030897986,0.039651483,0.049052525,0.058497254,0.06724841,0.07452484,0.07961455,0.08198913,0.081394024,0.07789347,0.07185916,0.06390512,0.05478497,0.045275122,0.036068693,0.027699603
15,George Russell,0.008510245,0.012490797,0.017689625,0.024172809,0.03187248,0.040549435,0.049777582,0.058960795,0.067386486,0.074312635,0.07907383,0.081186324,0.08042913,0.07688188,0.07091121,0.06310822,0.054192256,0.04490231,0.03589885,0.027693152
16,Antonio Giovinazzi,0.0073495107,0.011063029,0.016036022,0.022383384,0.030085813,0.038940765,0.048534885,0.05825194,0.06732453,0.07492782,0.08030075,0.082871065,0.08235557,0.07881153,0.07262619,0.06444711,0.05507068,0.045315243,0.03590664,0.027397571
17,Kimi Raikkonen,0.009717924,0.013834689,0.019063441,0.025425449,0.03282248,0.041011907,0.049600277,0.058062226,0.065786816,0.07214723,0.07658365,0.0786843,0.07824845,0.075317994,0.07017099,0.06327788,0.055230856,0.04666027,0.03815471,0.030198464
18,Nicholas Latifi,0.008391614,0.012336232,0.017497607,0.023946041,0.031618997,0.040282954,0.049516924,0.058727954,0.06720404,0.07420016,0.0790448,0.08124578,0.080572605,0.07709622,0.071176685,0.06340179,0.05449093,0.045186225,0.03615322,0.027909175
