,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.13145636,0.12350072,0.114091955,0.10364258,0.09258041,0.08132009,0.07023835,0.059655212,0.049821887,0.040915687,0.033041287,0.026237484,0.020487305,0.015730605,0.011876915,0.0088177845,0.0064374353,0.004621302,0.0032622213,0.0022644368
1,Max Verstappen,0.07755153,0.08062211,0.082298525,0.082490414,0.081187434,0.07845989,0.074452735,0.06937247,0.06346986,0.057019275,0.050297864,0.043566342,0.037053272,0.03094395,0.025374569,0.020431278,0.01615348,0.01254037,0.009559345,0.0071551716
2,Charles Leclerc,0.020071534,0.027897984,0.037173178,0.047484405,0.05814833,0.06826343,0.07682514,0.08288645,0.085729085,0.08500363,0.08080003,0.07362921,0.06432107,0.0538668,0.043246776,0.03328517,0.024559112,0.017371569,0.011779591,0.0076574795
3,Alexander Albon,0.059643216,0.0675437,0.07432508,0.07947167,0.08256883,0.08335787,0.08177182,0.07794485,0.07219346,0.06497328,0.05681965,0.048282426,0.039866317,0.031985253,0.024935631,0.018889368,0.01390404,0.009944693,0.0069114408,0.0046673696
4,Daniel Ricciardo,0.029488893,0.038586397,0.048541203,0.058706604,0.068259604,0.07630287,0.08200086,0.08472201,0.0841539,0.08036239,0.073778786,0.06511942,0.055257335,0.045078523,0.035354912,0.026658151,0.019324614,0.013467655,0.009023463,0.005812392
5,Esteban Ocon,0.014405111,0.020972868,0.029220508,0.038958892,0.04970659,0.060689006,0.07090795,0.079280905,0.08482638,0.08685244,0.08509847,0.07979036,0.07159251,0.061471477,0.050508954,0.039714754,0.029882988,0.021517165,0.014826363,0.009776268
6,Lando Norris,0.03733657,0.04734454,0.057720404,0.06765694,0.076246396,0.08261329,0.0860606,0.086195074,0.08300121,0.07684403,0.068400554,0.05853735,0.04816483,0.038102258,0.028979803,0.021191595,0.014898948,0.010070976,0.006545021,0.0040895403
7,Sergio Perez,0.024232605,0.033114403,0.043328825,0.05428509,0.06512198,0.07480281,0.08227194,0.08664212,0.087367475,0.0843556,0.07798687,0.0690355,0.058514953,0.047490273,0.036905076,0.027460646,0.019564962,0.013347211,0.008718573,0.005453106
8,Carlos Sainz,0.02006115,0.027911536,0.037221327,0.04757517,0.05828398,0.06843817,0.0770243,0.08308788,0.08590685,0.085133076,0.08086286,0.07361738,0.06423797,0.053725883,0.043068103,0.03309088,0.024369195,0.017201023,0.011637179,0.007546083
9,Sebastian Vettel,0.010039781,0.014830103,0.021054382,0.028728912,0.03767682,0.047490627,0.057533354,0.06699002,0.07496847,0.08063541,0.08335876,0.082823776,0.07909287,0.07259354,0.06403789,0.054294318,0.044243574,0.03465168,0.02608416,0.018871559
10,Pierre Gasly,0.007744229,0.012897298,0.020281496,0.030114934,0.042222563,0.05589693,0.06987343,0.08247397,0.09191842,0.096731715,0.09612047,0.090186924,0.079900995,0.06684075,0.052797236,0.03937875,0.027732767,0.01844189,0.011579721,0.0068654935
11,Daniil Kvyat,0.003036072,0.0055009965,0.0094251335,0.0152703915,0.023395358,0.03389426,0.04643434,0.06015466,0.07369126,0.08536491,0.09351034,0.096862696,0.09487907,0.0878822,0.07697473,0.06375471,0.049933642,0.036982045,0.025900327,0.017152859
12,Antonio Giovinazzi,0.00018397327,0.0004528352,0.0010411207,0.002235829,0.0044848905,0.008403134,0.0147064,0.024040747,0.0367084,0.05235509,0.069747485,0.08679089,0.10087784,0.109519996,0.111062415,0.105200276,0.093077086,0.076920934,0.059377596,0.04281309
13,Kevin Magnussen,6.387286e-05,0.00017938118,0.00046680318,0.0011256079,0.0025149959,0.005206955,0.0099891145,0.017756883,0.029248456,0.044641186,0.06313423,0.08273526,0.100464605,0.11303993,0.117854804,0.11385689,0.10192195,0.08454205,0.06497921,0.046277776
14,Romain Grosjean,4.811272e-05,0.00013747759,0.00036418575,0.0008944017,0.0020363915,0.004298421,0.00841153,0.01526019,0.025666324,0.04002084,0.05785322,0.0775332,0.096331134,0.11095949,0.1184898,0.117304936,0.107664,0.091610104,0.0722662,0.052850086
15,George Russell,1.0697985e-05,3.78791e-05,0.00012240825,0.00036102498,0.00097180286,0.0023874484,0.005353091,0.010954434,0.020459274,0.034874275,0.054254375,0.077033415,0.09982476,0.11806257,0.12743856,0.12554638,0.1128814,0.09263078,0.069375,0.04742042
16,Nicholas Latifi,2.5116688e-05,7.949523e-05,0.00023136007,0.0006191617,0.0015236607,0.0034477927,0.0071740192,0.013726273,0.02414966,0.039069526,0.05812109,0.07950562,0.100007005,0.11567293,0.123027325,0.12032057,0.10820487,0.08947923,0.06804031,0.047575004
17,Kimi Raikkonen,0.0009448413,0.0018366813,0.0033920133,0.005951545,0.009920893,0.015711593,0.0236395,0.03379131,0.04589022,0.059208505,0.07257661,0.084519655,0.093512,0.09829369,0.098159544,0.093129665,0.08394449,0.07188608,0.058485202,0.045205995
18,Nico Hulkenberg,0.011134906,0.016161902,0.022576157,0.030350033,0.039266292,0.048891347,0.05858625,0.067563325,0.07498557,0.08009328,0.082331486,0.08144929,0.07754618,0.0710534,0.06265575,0.053172655,0.043427777,0.034134865,0.025821438,0.018798113
