,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.15335417,0.13934709,0.12413588,0.10841608,0.092829734,0.07792511,0.06413054,0.051742733,0.040928964,0.031740155,0.024131503,0.01798692,0.013143959,0.009416566,0.00661387,0.004554244,0.0030794921,0.0027963135,0.013319293,0.020407436
1,Max Verstappen,0.11348253,0.116789244,0.11558649,0.11001244,0.100694776,0.08863444,0.07502887,0.06107799,0.04781581,0.035998832,0.026063714,0.018147392,0.012151296,0.007824586,0.0048454097,0.0028855596,0.0016525713,0.0009101654,0.0004823144,0.059915464
2,Pierre Gasly,0.015640285,0.024687925,0.036475133,0.050440773,0.06528882,0.0790985,0.08969541,0.09520165,0.094578244,0.087944835,0.07654236,0.062354214,0.047544695,0.033932094,0.022666886,0.0141724665,0.008294136,0.004543282,0.002329379,0.08856888
3,Daniel Ricciardo,0.04383132,0.055107184,0.066111594,0.075682,0.08267104,0.08617078,0.08570619,0.08134112,0.07366375,0.06365657,0.052490223,0.041300878,0.031008849,0.022215597,0.015187141,0.009906944,0.0061666504,0.003662725,0.0020758943,0.102043524
4,Alexander Albon,0.055183142,0.06627518,0.0759606,0.083084285,0.086724624,0.086389065,0.08212365,0.07450247,0.06450094,0.05329107,0.04201803,0.031616233,0.022702692,0.015557429,0.010173982,0.006349468,0.0037816074,0.0021493589,0.0011658267,0.13645038
5,Charles Leclerc,0.029834043,0.039693255,0.050282624,0.060647875,0.06964825,0.0761555,0.07928463,0.0785911,0.07417447,0.06665489,0.057030395,0.046459805,0.036036696,0.026613943,0.018714145,0.012529322,0.007986962,0.004847663,0.0028014318,0.162013
6,Daniil Kvyat,0.0054252455,0.009245417,0.0148701565,0.022572843,0.032339916,0.043729376,0.055807088,0.06721827,0.07641295,0.08198387,0.083017886,0.07934082,0.07156545,0.060924508,0.04895109,0.03712055,0.026567359,0.017945848,0.011440932,0.15352039
7,Lando Norris,0.034952678,0.046186555,0.05794737,0.06902954,0.07807629,0.08384681,0.08549427,0.08276952,0.076082885,0.06640283,0.055026155,0.043294713,0.032343242,0.022941157,0.015450067,0.009879347,0.0059980387,0.003457588,0.0018924322,0.12892842
8,Carlos Sainz,0.027160257,0.03709566,0.048157632,0.059423707,0.069695905,0.077697575,0.08233046,0.082921326,0.0793825,0.072233036,0.062474098,0.051359028,0.04013157,0.029806318,0.021041831,0.014119239,0.009005169,0.005459151,0.0031456558,0.1273599
9,Sergio Perez,0.039619066,0.050715692,0.06182547,0.07177607,0.07935588,0.08355371,0.08377979,0.080001846,0.0727525,0.06300614,0.051964298,0.040814485,0.030528853,0.021746736,0.014752466,0.009530646,0.005863639,0.0034355705,0.0019169813,0.13306016
10,Esteban Ocon,0.014442275,0.021943917,0.031421848,0.042402208,0.053924274,0.06462778,0.072995,0.07769732,0.07793959,0.07367992,0.06564163,0.055112313,0.043607052,0.032516528,0.022850227,0.015132683,0.009444533,0.0055550016,0.0030791212,0.21598683
11,George Russell,1.465504e-05,4.9213224e-05,0.00015051478,0.00041925575,0.0010636075,0.002457459,0.005171226,0.009910675,0.017298792,0.027499862,0.0398151,0.052501004,0.0630507,0.06896278,0.06869769,0.06232639,0.05149965,0.03875601,0.02656295,0.46379238
12,Sebastian Vettel,0.014013079,0.019634716,0.026423212,0.034152042,0.042395256,0.050546132,0.057879955,0.06365587,0.067238584,0.0682132,0.06646426,0.06219819,0.055903252,0.04825767,0.04000971,0.031859167,0.024365373,0.01789706,0.012625833,0.19626747
13,Lance Stroll,0.025854925,0.03686089,0.049549695,0.06280135,0.07504985,0.084563546,0.08983991,0.089992896,0.08499624,0.07569097,0.06355372,0.050314225,0.0375572,0.02643312,0.017541073,0.010975306,0.0064748535,0.0036016048,0.0018889254,0.10645979
14,Romain Grosjean,0.00027624366,0.0006057213,0.0012467741,0.002408999,0.00436938,0.0074393884,0.011890197,0.017839175,0.02512435,0.033216134,0.041222796,0.048024204,0.052519053,0.053914797,0.0519557,0.04699943,0.03991042,0.03181369,0.023805434,0.50541806
15,Kevin Magnussen,8.685212e-05,0.00022743616,0.0005517199,0.0012398146,0.0025809193,0.0049770474,0.008890957,0.0147131095,0.022554852,0.032029863,0.04213563,0.051347982,0.05796645,0.0606191,0.058724836,0.052700337,0.043811146,0.033739228,0.024069384,0.48703334
16,Kimi Raikkonen,0.00074852956,0.0014256941,0.002574314,0.004406703,0.0071512745,0.011001967,0.016046286,0.022186859,0.029082695,0.036140203,0.0425759,0.047550417,0.05034568,0.050534412,0.048087213,0.043379966,0.037099343,0.030078797,0.023119148,0.49646452
17,Nicholas Latifi,3.4451572e-05,0.000101805395,0.00027648237,0.0006900803,0.0015829506,0.0033371074,0.00646559,0.011512823,0.018840423,0.028335754,0.03916645,0.049754113,0.058087002,0.062325284,0.061458934,0.05569819,0.046390843,0.035510674,0.02498164,0.4954494
18,Antonio Giovinazzi,0.00034679353,0.00076325395,0.0015729808,0.0030355225,0.0054852916,0.0092815785,0.01470619,0.021818977,0.03031269,0.039434,0.0480367,0.054793786,0.058525555,0.058535017,0.054820377,0.048075557,0.03947869,0.03035687,0.021857841,0.45876232
