,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.14390205,0.1357644,0.12413016,0.109986976,0.094444685,0.07859346,0.06338225,0.049536068,0.037518702,0.027538903,0.01958925,0.013503969,0.009021481,0.005840718,0.0036646065,0.002228393,0.0013571342,0.0031406428,0.025523482,0.051332626
1,Max Verstappen,0.10521012,0.111222185,0.11277698,0.10968441,0.102320924,0.0915544,0.078575864,0.06468364,0.051073417,0.03868036,0.028098378,0.019577952,0.013084246,0.008387356,0.005156996,0.0030413312,0.0017203854,0.00093343295,0.0005285452,0.05368911
2,Charles Leclerc,0.02467237,0.035313442,0.04781516,0.06124739,0.07421743,0.085078634,0.09226384,0.09465398,0.09186344,0.08434177,0.07325532,0.06019107,0.046786565,0.034403827,0.023932537,0.015749507,0.00980487,0.005774475,0.0032172147,0.03541711
3,Sergio Perez,0.034114286,0.044820856,0.056051113,0.066718854,0.075591534,0.081518814,0.08367639,0.08175386,0.076028034,0.067297585,0.056700304,0.045470685,0.034708675,0.02521766,0.017439408,0.011479387,0.0071922746,0.0042891754,0.0024346795,0.1274964
4,Alexander Albon,0.05694771,0.06850469,0.07856482,0.08590133,0.08954381,0.088988766,0.084313795,0.076159835,0.06558689,0.053848322,0.04214938,0.031453855,0.02237797,0.015178578,0.009815347,0.006051234,0.0035566923,0.001993023,0.0010647429,0.11799922
5,Carlos Sainz,0.023664001,0.033366658,0.044644862,0.056684542,0.06829554,0.07808263,0.08471316,0.0872131,0.085201435,0.078985356,0.06948332,0.0580028,0.045946434,0.034537356,0.024635455,0.016675027,0.010710435,0.006528026,0.0037756446,0.08885416
6,Lando Norris,0.036166232,0.04814077,0.060724005,0.07258475,0.0822182,0.08825274,0.08976894,0.08652899,0.079037756,0.06841405,0.056116894,0.043619372,0.032129433,0.022426642,0.0148341535,0.009298207,0.005522977,0.0031087433,0.0016581893,0.09944894
7,Pierre Gasly,0.0132454075,0.021576516,0.032906063,0.046983887,0.06280594,0.07860157,0.092095874,0.10102473,0.1037514,0.099755935,0.08979706,0.07567705,0.059709676,0.044106625,0.030502943,0.01974959,0.011971628,0.006794019,0.0036097665,0.005334281
8,Esteban Ocon,0.014209846,0.02255199,0.033574637,0.04688875,0.061426636,0.07548763,0.087021336,0.09410367,0.095459305,0.09083659,0.081083834,0.06789513,0.05333028,0.03929524,0.027160455,0.01761023,0.010710848,0.006111016,0.0032706482,0.07197187
9,Lance Stroll,0.027180986,0.0389379,0.052499708,0.066622086,0.079571344,0.089448296,0.0946378,0.094239786,0.08832444,0.07791205,0.06468527,0.050545566,0.037173886,0.025731778,0.016764045,0.010279329,0.0059323637,0.0032223172,0.0016473477,0.07464373
10,Daniil Kvyat,0.004477501,0.007938419,0.013252171,0.020830259,0.030828828,0.042960998,0.056369767,0.069642246,0.081012875,0.08873403,0.091512606,0.08886413,0.08125063,0.06994903,0.056701094,0.04327687,0.031101052,0.021045,0.0134084225,0.08684406
11,George Russell,2.806012e-05,9.093274e-05,0.0002690874,0.0007271238,0.0017941805,0.0040426464,0.008317795,0.015627613,0.026811415,0.04200385,0.06008981,0.078497365,0.093637906,0.10199775,0.101454616,0.09215003,0.07642958,0.057885516,0.040033232,0.19811155
12,Sebastian Vettel,0.011901039,0.017333496,0.024185985,0.032330956,0.041404698,0.050799303,0.05970937,0.067236304,0.072534055,0.074964695,0.07422468,0.070407115,0.06398255,0.055703573,0.046460234,0.037124153,0.02841897,0.02084187,0.0146434,0.1357936
13,Kimi Raikkonen,0.0011396401,0.002179837,0.0039515067,0.0067886445,0.011053142,0.017055733,0.024942335,0.034568932,0.045406368,0.05652361,0.06668449,0.074559316,0.079006165,0.07934183,0.07551366,0.06811315,0.05822618,0.04717237,0.036219243,0.21155384
14,Antonio Giovinazzi,0.0004469119,0.0009821092,0.0020226093,0.003903721,0.0070609,0.011968933,0.019013654,0.028306754,0.03949381,0.051639564,0.063277654,0.07266625,0.07820409,0.078875236,0.07455322,0.06603991,0.05482278,0.042651076,0.031096641,0.2729742
15,Romain Grosjean,0.00025107336,0.0005690668,0.0012090143,0.0024077187,0.0044945464,0.00786451,0.012899204,0.019831711,0.02858006,0.038607523,0.04888621,0.058023866,0.06455542,0.06732314,0.06581154,0.060303897,0.05179577,0.041701254,0.031470943,0.3934136
16,Kevin Magnussen,0.0001473856,0.00037552338,0.00088817946,0.001950053,0.0039744186,0.0075193904,0.013206062,0.021530079,0.032583646,0.045775726,0.059697,0.07226889,0.08121422,0.084721655,0.0820424,0.07375034,0.06154196,0.04767166,0.03427922,0.27486217
17,Nicholas Latifi,5.9270846e-05,0.00017047868,0.00045155498,0.0011014434,0.0024741436,0.0051179887,0.009749561,0.017103374,0.027630586,0.04110642,0.056317143,0.07105307,0.08255367,0.08832858,0.08703172,0.07897052,0.06598785,0.050777826,0.035982847,0.278032
