,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.07764002,0.08309484,0.08672288,0.088260174,0.08759256,0.08476973,0.07999922,0.07362104,0.06606778,0.05781605,0.049337678,0.041056354,0.033316024,0.02636315,0.020342896,0.015307337,0.011232015,0.008036871,0.005607736,0.0038155739
1,Valtteri Bottas,0.09944312,0.09816224,0.09538845,0.09124914,0.085929714,0.07965987,0.07269716,0.0653096,0.05775883,0.050285313,0.043096874,0.036360685,0.0301995,0.024691602,0.01987378,0.015746836,0.012282526,0.009431136,0.0071288864,0.005304703
2,Sergio Perez,0.019777773,0.027527468,0.03673253,0.046992756,0.05763768,0.06777629,0.07640898,0.082586065,0.085578494,0.085019395,0.08097801,0.073945455,0.06473686,0.054335948,0.04372385,0.03373223,0.024949823,0.017692335,0.012028143,0.007839849
3,Daniel Ricciardo,0.023219984,0.031125885,0.040155962,0.049859345,0.05958153,0.06852436,0.075848445,0.080801025,0.082842916,0.08174518,0.077631414,0.07095468,0.062415574,0.052841287,0.043054856,0.033762846,0.025481476,0.018508809,0.012939,0.008705452
4,Carlos Sainz,0.022991776,0.031221822,0.040705774,0.0509525,0.06123322,0.070651315,0.07826459,0.08323811,0.08499453,0.08332428,0.078426704,0.070870936,0.061487142,0.051216774,0.040959258,0.03144876,0.023182858,0.016407494,0.0111488355,0.007273247
5,Esteban Ocon,0.011036443,0.016823774,0.024459187,0.03391443,0.044848837,0.05656425,0.06803883,0.078054115,0.08540018,0.089113995,0.088686444,0.08417682,0.07619947,0.065786295,0.054168027,0.042537756,0.031858865,0.022756752,0.01550295,0.010072619
6,Lando Norris,0.039757997,0.04889671,0.058104757,0.06671462,0.074012905,0.07933614,0.0821697,0.08222984,0.07951048,0.0742842,0.06705722,0.058488697,0.049291868,0.040138017,0.0315801,0.024007572,0.017634379,0.012515528,0.008582532,0.0056866794
7,Pierre Gasly,0.0076010553,0.012775197,0.020245178,0.030250687,0.04261954,0.05661639,0.07091456,0.08375073,0.09326135,0.09792071,0.096941,0.0904899,0.07964395,0.06609448,0.051717497,0.03815661,0.026543729,0.017410608,0.010767765,0.006279102
8,Charles Leclerc,0.016882895,0.024187101,0.033149004,0.043461695,0.054512035,0.065407544,0.07507803,0.08244184,0.0866028,0.0870294,0.08366611,0.07694543,0.06769643,0.056976825,0.045875445,0.035335574,0.026037158,0.018353738,0.012376711,0.007984275
9,Daniil Kvyat,0.0028881917,0.0051868325,0.008829008,0.014244753,0.021783687,0.031574838,0.0433795,0.05648864,0.06972222,0.08156702,0.09044643,0.09506084,0.09469899,0.089417465,0.08002632,0.067885466,0.054582573,0.04159724,0.030047527,0.02057246
10,Lance Stroll,0.026784474,0.036602356,0.04775951,0.059502494,0.07078402,0.08040072,0.08719855,0.09029908,0.08928572,0.0842957,0.075989485,0.065407306,0.05375559,0.042183813,0.03160767,0.022613296,0.015447563,0.010075828,0.006275181,0.0037316103
11,George Russell,1.3570267e-05,4.6755642e-05,0.00014724732,0.00042386664,0.0011152664,0.0026822316,0.0058963336,0.011847751,0.02175993,0.0365298,0.056053802,0.07861962,0.100791685,0.118109964,0.1265075,0.123855196,0.11083581,0.09065963,0.06778223,0.046321854
12,Sebastian Vettel,0.010093071,0.0148309795,0.02096353,0.028504075,0.037281845,0.0469068,0.05677041,0.06609313,0.07401824,0.07973867,0.082631804,0.08237082,0.07898554,0.07285674,0.06464572,0.055176973,0.04530269,0.035779804,0.027183156,0.019865975
13,Alexander Albon,0.055623338,0.062955305,0.06940796,0.074539796,0.07797748,0.0794606,0.07887449,0.07626462,0.07183094,0.065902516,0.058897156,0.05127295,0.043479487,0.03591554,0.028898964,0.022650825,0.017293692,0.012861548,0.0093175275,0.006575219
14,Romain Grosjean,7.6219636e-05,0.00020652165,0.0005202918,0.0012187399,0.0026543473,0.005375105,0.010120431,0.017717129,0.028838359,0.04364459,0.06141476,0.080352195,0.09774741,0.110559344,0.11627016,0.11369037,0.10336222,0.08737404,0.068672955,0.05018474
15,Antonio Giovinazzi,0.00025259075,0.0005982284,0.0013263357,0.0027528077,0.0053485367,0.009728151,0.016563883,0.026401598,0.039394412,0.055026967,0.07195363,0.08807778,0.10092907,0.10826863,0.10872398,0.102207884,0.0899456,0.0740989,0.057145238,0.041255765
16,Kevin Magnussen,8.2363345e-05,0.00022563199,0.0005732671,0.0013508387,0.0029521566,0.0059836325,0.011248126,0.019610355,0.031708844,0.047551565,0.0661362,0.08531067,0.10206037,0.11324022,0.11652901,0.11121338,0.0984396,0.08081135,0.061526846,0.043445673
17,Kimi Raikkonen,0.00072011474,0.0014524697,0.00277654,0.005030276,0.008637163,0.01405535,0.021677213,0.031685203,0.043893576,0.05762841,0.07170734,0.084563315,0.09451303,0.10011347,0.100504294,0.09562428,0.08622695,0.07369008,0.05968518,0.045815777
18,Nicholas Latifi,4.051004e-05,0.00012130821,0.00033505357,0.0008535636,0.0020056488,0.0043468163,0.008689302,0.016021224,0.027246067,0.042737506,0.0618318,0.08251102,0.10155685,0.11529326,0.12072462,0.11659638,0.10386556,0.08534053,0.06467501,0.045207955
