,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,George Russell,0.11651101,0.11793357,0.11526431,0.10877752,0.09912206,0.08721442,0.074095726,0.060783412,0.048146363,0.036823835,0.02719453,0.019391926,0.0133520225,0.008876869,0.00569849,0.0035322106,0.0021140971,0.0012587053,0.005428483,0.048480477
1,Max Verstappen,0.14681692,0.13910058,0.12738565,0.112759046,0.09647649,0.07978671,0.06377914,0.049279455,0.03680378,0.02656795,0.018537994,0.012502768,0.008150593,0.0051358375,0.0031280403,0.0018415028,0.0010478806,0.00057635555,0.0005920814,0.06973115
2,Charles Leclerc,0.055433344,0.06628065,0.075822465,0.08298594,0.086897336,0.08705703,0.0834443,0.07652176,0.06713802,0.056356963,0.045260787,0.03477698,0.025565678,0.017981166,0.012099681,0.007789789,0.004798134,0.0028275803,0.0015942361,0.10936818
3,Sergio Perez,0.06140829,0.070973605,0.07863968,0.0835337,0.08506616,0.0830476,0.07772707,0.06974171,0.059991274,0.049471896,0.039111484,0.029643195,0.021538762,0.015003472,0.010019308,0.0064144395,0.003936905,0.002316467,0.0013066899,0.15110831
4,Daniil Kvyat,0.008776797,0.014463939,0.022431139,0.032736335,0.044959992,0.058107194,0.070672594,0.08088843,0.0871236,0.08830785,0.08423199,0.07560819,0.06386675,0.050768565,0.037977748,0.026734827,0.017710872,0.011041211,0.0064775012,0.117114395
5,Daniel Ricciardo,0.056976486,0.06527314,0.07205069,0.0766313,0.07853062,0.077541865,0.073773146,0.06762774,0.05973326,0.050836083,0.041686222,0.032936502,0.025074208,0.018392531,0.012999319,0.008852465,0.005808609,0.0036723567,0.0022370853,0.16936643
6,Carlos Sainz,0.054336984,0.0626004,0.06952329,0.074431196,0.07681596,0.07642217,0.07329241,0.067759484,0.060388304,0.051880863,0.042966817,0.03430288,0.026399741,0.019585757,0.014007244,0.009656873,0.0064178845,0.004111677,0.0025393213,0.17256075
7,Pierre Gasly,0.02144098,0.030656306,0.04140988,0.052844215,0.063708864,0.0725624,0.078078695,0.07937113,0.07622574,0.06915921,0.0592799,0.048003625,0.036723983,0.02654207,0.018122945,0.011690465,0.0071243295,0.004101716,0.0022309832,0.20072259
8,Lance Stroll,0.031635914,0.041791998,0.052454572,0.06255348,0.07087565,0.07629929,0.07804077,0.07584036,0.070025615,0.06143149,0.05120388,0.04055014,0.03051123,0.021812454,0.014815871,0.009561531,0.005862806,0.0034155545,0.0018905777,0.19942686
9,Esteban Ocon,0.02206411,0.030801585,0.040827837,0.05138498,0.06140627,0.06967643,0.075068146,0.076793075,0.07459078,0.06879307,0.06024224,0.050090358,0.0395461,0.029644895,0.021100495,0.01426042,0.009150997,0.005575722,0.0032257498,0.1957567
10,Alexander Albon,0.075705476,0.0799508,0.08227493,0.08250142,0.08061287,0.076753184,0.07120944,0.0643774,0.056711018,0.048680592,0.040718675,0.03318796,0.026358237,0.02039866,0.015382818,0.011303661,0.0080937855,0.0056471997,0.0038395352,0.116292305
11,Sebastian Vettel,0.020587474,0.027650947,0.035620883,0.04401357,0.052162215,0.0592943,0.06464833,0.06760661,0.06781233,0.06524023,0.06020185,0.053283375,0.045233585,0.036831364,0.028764848,0.021547347,0.015481499,0.010668903,0.0070520267,0.21629833
12,Antonio Giovinazzi,0.00055003515,0.0012221598,0.0025422599,0.0049506915,0.009025394,0.015403551,0.024611026,0.036812298,0.051547825,0.067574374,0.08292932,0.09527704,0.10247614,0.103183836,0.09726458,0.08583254,0.070909366,0.054841537,0.039707247,0.05333876
13,Kevin Magnussen,0.00015677206,0.00040948365,0.0009917181,0.0022270132,0.0046370383,0.008952454,0.016026063,0.026600802,0.040939864,0.05842265,0.077303566,0.0948421,0.10789124,0.113803215,0.11130286,0.10093494,0.08487113,0.066170104,0.047835145,0.035681892
14,Nicholas Latifi,6.477168e-05,0.00018984226,0.0005121673,0.001271554,0.0029058238,0.0061119464,0.011832193,0.021082716,0.03457514,0.05218873,0.07250457,0.09271062,0.10911125,0.11819122,0.11783557,0.108129315,0.091324255,0.07099119,0.050792363,0.03767478
15,driver_aitken,0.0030640054,0.0055641406,0.009549596,0.015489967,0.023746217,0.034404613,0.047110442,0.060967185,0.07456816,0.08619641,0.09416797,0.09722897,0.09487821,0.087501526,0.07626817,0.06282742,0.04891405,0.035991196,0.02502865,0.016533026
16,Kimi Raikkonen,0.0014772142,0.0027345605,0.004806928,0.008023876,0.012718532,0.0191437,0.027362198,0.03713748,0.047864117,0.058579247,0.06807912,0.07513118,0.07873406,0.07835042,0.07403826,0.0664366,0.05661021,0.045805585,0.035194777,0.20177196
17,Lando Norris,0.05613936,0.06444081,0.07130706,0.07606454,0.0782186,0.07753825,0.074096896,0.068259336,0.06061811,0.051894434,0.042826958,0.03407154,0.026130293,0.019318571,0.013768413,0.009459558,0.006265216,0.004000176,0.002462069,0.1631199
18,Pietro Fittipaldi,0.003503929,0.0062735146,0.010618897,0.016992658,0.025707263,0.03676746,0.04971464,0.063550375,0.07680065,0.087745465,0.09477582,0.0967795,0.09342911,0.08526958,0.073573075,0.060014587,0.04628155,0.033742063,0.023256727,0.01520324
