,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.0011506814,0.0022051532,0.0040139947,0.006940169,0.011397718,0.017779544,0.02634377,0.03707576,0.04956293,0.06293302,0.0759023,0.08695331,0.094617605,0.09779408,0.09600812,0.089527845,0.07929814,0.06671486,0.05331346,0.040467482
1,Carlos Sainz,0.016734416,0.02160287,0.027208297,0.033433344,0.040081788,0.046881676,0.05349929,0.059563704,0.064699955,0.06856699,0.070894904,0.07151606,0.07038515,0.0675845,0.06331434,0.057868984,0.051603373,0.044895146,0.03810741,0.0315579
2,Valtteri Bottas,0.027632764,0.032768417,0.0381411,0.043575022,0.048863955,0.05378314,0.058104545,0.061614178,0.064129494,0.06551512,0.06569492,0.06465895,0.062464308,0.05923002,0.055126242,0.050359488,0.04515554,0.039741762,0.034331266,0.029109793
3,Esteban Ocon,0.0049688728,0.007767556,0.011687308,0.016925734,0.023593064,0.031653702,0.04087597,0.050806027,0.0607807,0.06998736,0.077567,0.08274425,0.08495757,0.0839595,0.07986216,0.073116526,0.06443081,0.054648116,0.044612873,0.035054885
4,Alexander Albon,0.0022293983,0.0038999326,0.006518896,0.010412116,0.015891002,0.023174537,0.03229375,0.04300049,0.05471116,0.06651598,0.077272266,0.0857766,0.09098329,0.0922151,0.089307904,0.08264667,0.073081665,0.06175028,0.049855977,0.038462974
5,Pierre Gasly,0.007005958,0.010375921,0.014849262,0.020535354,0.027442178,0.03543678,0.04421901,0.05331911,0.06212637,0.06995006,0.07610607,0.08001469,0.08129041,0.079804614,0.07570695,0.06940051,0.061476443,0.05262279,0.043526962,0.03479058
6,Daniel Ricciardo,0.003025155,0.005037263,0.008045747,0.012327145,0.01811687,0.025540441,0.034538094,0.04480151,0.05574575,0.06653577,0.07617688,0.08365963,0.08813187,0.08905837,0.08632589,0.08026603,0.07158915,0.06124733,0.050263364,0.039567694
7,Lando Norris,0.020126704,0.025136327,0.030707652,0.036694966,0.04289256,0.049042497,0.05485027,0.060006753,0.06421505,0.06721853,0.06882661,0.06893492,0.06753632,0.06472184,0.060670797,0.055631902,0.049898036,0.04377823,0.03757063,0.031539448
8,Sebastian Vettel,0.0114025315,0.015553186,0.02063172,0.026616396,0.03339342,0.040744625,0.048347913,0.05579342,0.062616095,0.06834186,0.07254134,0.07488282,0.075175546,0.07339539,0.069688156,0.06434975,0.05778734,0.05046802,0.042864505,0.03540601
9,George Russell,0.0018741594,0.0033709656,0.0057810484,0.009452867,0.014737555,0.021907447,0.03105007,0.04196027,0.054065254,0.06642065,0.07780232,0.086893365,0.09253057,0.09394824,0.0909487,0.083947755,0.07387987,0.061993763,0.049599156,0.03783602
10,Lance Stroll,0.003275332,0.005434162,0.008644078,0.013182988,0.019276062,0.027022881,0.036320686,0.046804283,0.05782639,0.06849767,0.07779189,0.084703654,0.08842574,0.08850434,0.08492968,0.07813817,0.068924926,0.058290575,0.047263887,0.036742564
11,Daniil Kvyat,0.0038083037,0.006187768,0.009652036,0.014453926,0.0207795,0.028679155,0.037999652,0.048336506,0.059027296,0.06920105,0.07788513,0.084154755,0.08729411,0.08693071,0.08310817,0.076277494,0.06720958,0.0568523,0.04616865,0.035993855
12,Charles Leclerc,0.019211393,0.024110265,0.02959646,0.0355363,0.041734874,0.04794254,0.05386882,0.059203647,0.063643515,0.06691978,0.06882551,0.069237135,0.06812766,0.065569595,0.06172713,0.056838725,0.051192626,0.045098793,0.0388613,0.032753985
13,Kevin Magnussen,0.0011592375,0.00223062,0.0040739193,0.007062074,0.011619454,0.01814565,0.026896307,0.037839547,0.050528087,0.06404023,0.077038236,0.08796159,0.095326416,0.09805432,0.09573123,0.08871024,0.07802383,0.06513496,0.051610064,0.038813952
14,Kimi Raikkonen,0.0039538564,0.006336175,0.009764895,0.014472457,0.020627715,0.028274445,0.037271034,0.04724796,0.05760082,0.067531854,0.076141745,0.08256029,0.086090244,0.08633178,0.08325719,0.07721595,0.068869434,0.059071783,0.048726812,0.038653627
15,Sergio Perez,0.008950972,0.012785174,0.01768853,0.023704205,0.030768588,0.038684633,0.047110546,0.05557075,0.06349259,0.0702665,0.07532211,0.0782069,0.07865319,0.076618955,0.0722944,0.066072665,0.05849079,0.050153576,0.041654777,0.03351014
16,Nicholas Latifi,0.0024744929,0.0042820037,0.0070828605,0.0111987805,0.016925192,0.024451008,0.033764523,0.04456817,0.056232817,0.06781962,0.07818462,0.08615647,0.090751745,0.09137403,0.08794091,0.080902085,0.07114248,0.059799682,0.048047338,0.036901176
17,Antonio Giovinazzi,0.003763304,0.0061241305,0.009566727,0.01434587,0.020650687,0.028535558,0.03785147,0.048197336,0.058912545,0.06912528,0.07785921,0.08418361,0.087375425,0.08705533,0.083261766,0.07644344,0.06737193,0.05699831,0.046290252,0.03608786
