,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.08511851,0.08640206,0.086299405,0.08481546,0.08202111,0.07804766,0.073076494,0.06732542,0.06103292,0.05444183,0.047784235,0.04126865,0.035070293,0.029325264,0.024128389,0.019534305,0.015561495,0.01219799,0.009408242,0.0071402392
1,Sergio Perez,0.04048955,0.051874813,0.0635709,0.07451578,0.083546154,0.089596875,0.09190677,0.09017587,0.08462941,0.07596974,0.06523011,0.05357274,0.04208505,0.031622767,0.022727953,0.015624597,0.010274147,0.0064620534,0.0038876215,0.002237099
2,Alexander Albon,0.057325684,0.06399434,0.069734715,0.07417741,0.077021055,0.07806611,0.077237934,0.07459573,0.070325434,0.06471816,0.058137294,0.05097988,0.043637313,0.036461312,0.029738683,0.023676982,0.018401198,0.013959863,0.010337874,0.007473025
3,Daniel Ricciardo,0.05442397,0.06401388,0.07274534,0.079869844,0.0847242,0.08683183,0.08597997,0.08225503,0.076028146,0.0678943,0.05857864,0.048830573,0.039327048,0.030601151,0.023005461,0.016709788,0.011726218,0.0079504475,0.005208018,0.0032960966
4,Lewis Hamilton,0.15835388,0.14188795,0.12519881,0.10879105,0.093094505,0.07844999,0.06510289,0.05320411,0.04281821,0.033935174,0.026485572,0.020356687,0.015407884,0.011484627,0.008430024,0.0060936688,0.004337772,0.0030408357,0.0020992162,0.0014271184
5,Esteban Ocon,0.02428079,0.031885285,0.040423688,0.049476583,0.058463104,0.0666933,0.0734515,0.078097574,0.08016644,0.079444855,0.07600764,0.07020482,0.06260295,0.053894084,0.044792503,0.03594082,0.02784125,0.020821303,0.015032985,0.010478538
6,Kimi Raikkonen,0.0025564102,0.0042688036,0.006849645,0.010561272,0.0156477,0.022277735,0.030477406,0.04006556,0.050611667,0.061435085,0.07165862,0.08031688,0.08650304,0.089524575,0.0890306,0.08507908,0.078125425,0.06893638,0.058450833,0.04762327
7,Valtteri Bottas,0.11654025,0.110216,0.1029688,0.09502957,0.08663713,0.078026384,0.06941782,0.061008856,0.052967157,0.04542687,0.038486738,0.032210816,0.026630806,0.021749996,0.017547943,0.013985745,0.011011251,0.008564068,0.0065798513,0.004993947
8,Antonio Giovinazzi,0.0010194647,0.0019533387,0.003560442,0.0061737765,0.010184003,0.015981108,0.023857003,0.033880163,0.04577158,0.058825675,0.07192147,0.08365093,0.092555836,0.0974221,0.097551,0.09292376,0.084205866,0.07259032,0.059529964,0.04644226
9,Sebastian Vettel,0.017572237,0.023060348,0.029414842,0.03646944,0.04394947,0.05148021,0.058612287,0.06486329,0.06977041,0.07294668,0.074131295,0.07322504,0.07030393,0.0656087,0.059512082,0.05246999,0.04496541,0.037454847,0.03032492,0.023864534
10,Charles Leclerc,0.03616749,0.046245534,0.056800365,0.06701349,0.07594568,0.082674906,0.08645181,0.08683691,0.083784625,0.07765226,0.06913113,0.059118446,0.048562616,0.03831872,0.029043537,0.021145498,0.014788229,0.009934456,0.006410645,0.003973646
11,Kevin Magnussen,0.00020989618,0.0004910513,0.0010797412,0.0022314247,0.0043342565,0.007912566,0.013576566,0.021894371,0.033185232,0.047274545,0.06329651,0.079653025,0.0942095,0.1047266,0.109418124,0.10744635,0.09916624,0.08602133,0.07013234,0.05374037
12,Lando Norris,0.0396208,0.04854037,0.057514075,0.06590767,0.07304473,0.078294754,0.08116476,0.08137541,0.07890599,0.07399762,0.067114525,0.058871634,0.049944416,0.040978737,0.03251779,0.024955982,0.018523343,0.013297037,0.009231693,0.006198676
13,Carlos Sainz,0.034994144,0.04380902,0.05298122,0.06189718,0.06985705,0.07616232,0.08021592,0.08161529,0.08021821,0.076166645,0.06986299,0.06190418,0.0529887,0.04381644,0.035001073,0.027009483,0.020134533,0.014499642,0.010087035,0.0067789187
14,Daniil Kvyat,0.011789655,0.016793244,0.023075541,0.030588148,0.039114576,0.04825118,0.05741974,0.06591718,0.07299951,0.07798756,0.08037384,0.07990761,0.07663822,0.07090664,0.06328668,0.05449062,0.04526006,0.036265414,0.028031984,0.020902557
15,Romain Grosjean,0.00071435637,0.0014126308,0.0026557953,0.0047469316,0.008066483,0.013031904,0.020016316,0.02922894,0.04057835,0.05355847,0.06720702,0.08017772,0.09093797,0.09805942,0.10052778,0.0979795,0.090789795,0.07998185,0.0669882,0.053340584
16,Pierre Gasly,0.014581885,0.022292525,0.03227824,0.044265557,0.05749463,0.07072841,0.0824073,0.09093745,0.095044084,0.09408333,0.0882075,0.07832561,0.06587296,0.05247056,0.039584916,0.028284522,0.019141387,0.012268831,0.007447975,0.004282314
