,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.09799842,0.09837747,0.09687881,0.0935876,0.08868787,0.08244542,0.07518394,0.067257434,0.0590217,0.05080887,0.04290657,0.035543855,0.028884292,0.023025831,0.018006327,0.013813107,0.010394751,0.0076734913,0.005556848,0.0039474834
1,Max Verstappen,0.08018214,0.08745883,0.0924448,0.09469222,0.09399377,0.0904142,0.084280506,0.076132596,0.06664489,0.056534845,0.046474874,0.03702314,0.028581243,0.021381695,0.015500861,0.0108898645,0.00741382,0.0048911874,0.003127085,0.0019373952
2,Alexander Albon,0.049153738,0.05740481,0.06510272,0.07169828,0.0766791,0.079635076,0.08031385,0.07865665,0.07480648,0.06908788,0.0619617,0.053963948,0.0456397,0.037483558,0.029894931,0.02315333,0.017413571,0.012718068,0.009020147,0.0062124706
3,Charles Leclerc,0.01636481,0.023681609,0.032740608,0.04324518,0.054571267,0.06579088,0.07577793,0.08338638,0.08766429,0.08804929,0.0844898,0.07745652,0.06784018,0.056766413,0.045380704,0.034659833,0.025290463,0.017630417,0.011742043,0.007471371
4,Lance Stroll,0.02854642,0.037080616,0.04641943,0.056002904,0.06511474,0.0729635,0.0787934,0.08200341,0.082249194,0.079504065,0.0740636,0.06649332,0.05753193,0.04797312,0.03855179,0.029857194,0.022284927,0.01602992,0.011112431,0.007424116
5,Sergio Perez,0.014155314,0.021056157,0.029855952,0.040352993,0.051989168,0.06384732,0.07474208,0.08340272,0.08871312,0.08994731,0.086932264,0.080087826,0.07033064,0.05887289,0.046976272,0.035730116,0.025904974,0.017902939,0.011793913,0.0074060117
6,Daniel Ricciardo,0.01697656,0.0239296,0.03236915,0.042018186,0.052342374,0.06257193,0.07178202,0.079024546,0.083486915,0.08464181,0.082349606,0.076886155,0.0688882,0.05923137,0.048872955,0.038698655,0.029405784,0.021442726,0.015005046,0.01007638
7,Carlos Sainz,0.027031662,0.034241196,0.042070743,0.050137922,0.05795722,0.064983584,0.070673175,0.074552245,0.07628194,0.075707324,0.07288009,0.06805105,0.06163336,0.05414418,0.0461363,0.038131915,0.030569589,0.02377089,0.017929012,0.013116626
8,Lando Norris,0.03573986,0.044057377,0.052608196,0.060849585,0.06817593,0.07399012,0.07778321,0.07920763,0.078129955,0.074651316,0.06909182,0.06194198,0.053791396,0.04524908,0.036870237,0.029101241,0.0222493,0.016477466,0.011820442,0.008213848
9,Daniil Kvyat,0.0015647506,0.0030711463,0.0056792893,0.009895232,0.016244125,0.025124937,0.036614418,0.050273314,0.065037124,0.07927267,0.09103825,0.09850603,0.100424595,0.096461885,0.087299086,0.07443926,0.059804354,0.045269098,0.032285634,0.021694772
10,Kimi Raikkonen,0.00043765194,0.0009412198,0.0019108313,0.0036620374,0.0066250972,0.011314387,0.018240577,0.027759751,0.0398806,0.054085005,0.06924065,0.08367863,0.09546345,0.102808446,0.104517646,0.100304306,0.09086958,0.077711776,0.06273707,0.047811307
11,Sebastian Vettel,0.0088153705,0.013296132,0.019246452,0.026737263,0.03564707,0.04561119,0.056009248,0.066006795,0.07465491,0.08103428,0.08441503,0.08439403,0.08097374,0.07456197,0.06589179,0.05588381,0.04548637,0.03553182,0.026637547,0.01916512
12,Romain Grosjean,8.874511e-05,0.00023600947,0.000584231,0.0013461972,0.0028873705,0.005764559,0.0107127065,0.018531118,0.029838279,0.044721387,0.06239167,0.08102282,0.09793946,0.11019899,0.11541626,0.11251907,0.10210677,0.08624874,0.06781417,0.04963154
13,Pierre Gasly,0.012133297,0.017649665,0.024658985,0.03308986,0.0426477,0.05279315,0.06276828,0.0716777,0.07861563,0.0828161,0.08379183,0.08142722,0.076000854,0.068131566,0.05866235,0.048512243,0.038532257,0.029395344,0.02153841,0.015157576
14,Antonio Giovinazzi,0.00027259524,0.0006420367,0.0014155224,0.0029213869,0.0056438735,0.010206585,0.017278226,0.027379999,0.040614676,0.05639596,0.073304154,0.08919173,0.101586476,0.10830854,0.108094834,0.10098634,0.08831524,0.07229765,0.05540235,0.03974179
15,George Russell,1.664086e-05,5.5839475e-05,0.00017156455,0.00048265347,0.0012432694,0.002932355,0.006332706,0.012522286,0.022672506,0.03758696,0.05705532,0.079300694,0.10092046,0.11759886,0.12547246,0.12257884,0.109648846,0.08980784,0.06735129,0.04624867
16,Nicholas Latifi,4.4726723e-05,0.00013244535,0.00036195753,0.00091291603,0.0021249875,0.004564922,0.009050294,0.016559366,0.027962552,0.043577448,0.062675655,0.08319321,0.101912834,0.115218386,0.12021722,0.11576132,0.10287559,0.084374875,0.06386542,0.044613943
17,Kevin Magnussen,0.00010579856,0.00028108558,0.00069386273,0.0015914199,0.0033913464,0.0067148404,0.012353078,0.021114992,0.033533804,0.049482413,0.067841455,0.08642026,0.10228506,0.11248245,0.114930086,0.10910853,0.09624093,0.078874595,0.060060736,0.042493284
