,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.005993274,0.010151884,0.01625383,0.024597552,0.035184767,0.04757125,0.06079406,0.07343525,0.08384457,0.09048407,0.09229883,0.088991195,0.081100754,0.06986015,0.05688019,0.04377431,0.0318423,0.021893566,0.01422838,0.050819796
1,Lando Norris,0.0987846,0.103623636,0.10531986,0.10371556,0.09895994,0.091486506,0.0819477,0.07112108,0.059805628,0.048726793,0.038465865,0.029421546,0.021804053,0.015656365,0.010892486,0.007342517,0.0047956225,0.003034778,0.0027697978,0.0023257234
2,Sergio Perez,0.0988904,0.11569141,0.12574416,0.12697373,0.119118564,0.10382087,0.08406775,0.06324315,0.04420152,0.028701222,0.017314224,0.009703877,0.005052739,0.0024442654,0.001098522,0.0004586793,0.00017792995,6.4125066e-05,2.1470747e-05,0.053211436
3,Carlos Sainz,0.003795378,0.00626548,0.009876956,0.014868308,0.021373192,0.029339094,0.038458597,0.04814041,0.057543416,0.06568268,0.07159383,0.07451949,0.07406852,0.07030187,0.063719116,0.055149548,0.04558099,0.035974514,0.027112884,0.18663575
4,Valtteri Bottas,0.12913552,0.1401969,0.14156674,0.13295783,0.116143964,0.094364695,0.071310304,0.05012161,0.032766346,0.019923275,0.011267402,0.005926749,0.0028996086,0.0013194483,0.0005584382,0.00021983068,8.048794e-05,2.7409698e-05,8.6817445e-06,0.049204696
5,Charles Leclerc,0.046834227,0.05599355,0.06367292,0.06886737,0.070845805,0.06931974,0.06451216,0.05710427,0.048077,0.03849889,0.029322509,0.021242024,0.014636349,0.009592063,0.005979058,0.0035448351,0.0019989458,0.0010721317,0.0005469368,0.32833928
6,Yuki Tsunoda,0.0077763414,0.012025555,0.01766584,0.024652626,0.032680765,0.04115481,0.049232166,0.055947013,0.060395513,0.06193443,0.060333624,0.055832405,0.049080953,0.040986367,0.03251364,0.024501437,0.0175395,0.011927318,0.007704913,0.33611476
7,Esteban Ocon,0.026475754,0.03513956,0.044483818,0.053711254,0.061856616,0.0679461,0.07118696,0.071136735,0.0678024,0.061638735,0.053446572,0.044202175,0.03486785,0.026233967,0.018826107,0.012885897,0.008412523,0.0052383626,0.0031111587,0.2313974
8,Daniel Ricciardo,0.07776902,0.08540817,0.09078031,0.09338627,0.09297662,0.08959086,0.08355126,0.07541218,0.06587633,0.05569501,0.04557249,0.036090124,0.027661337,0.020519055,0.014731286,0.010235838,0.006883439,0.0044800877,0.002827173,0.020553123
9,Fernando Alonso,0.033062298,0.043328732,0.054236695,0.06484628,0.07405448,0.0807778,0.08416026,0.083752275,0.07960872,0.07227682,0.06267754,0.051915772,0.041073438,0.031038249,0.022403084,0.015445177,0.010170735,0.0063971486,0.0038432158,0.08493119
10,Pierre Gasly,0.03807262,0.049026415,0.060207553,0.07051402,0.07875956,0.083894745,0.08522553,0.08256732,0.076286934,0.06721955,0.05648648,0.04526859,0.034598153,0.02521811,0.017529745,0.011620958,0.0073470357,0.0044298153,0.002547196,0.10317971
11,Lance Stroll,0.011080131,0.015946653,0.021994177,0.029070979,0.0368235,0.044699676,0.051999275,0.057970073,0.061933305,0.06341005,0.06221654,0.05850151,0.052715976,0.045523,0.03767328,0.029877856,0.022708021,0.016539512,0.011544621,0.26777184
12,Antonio Giovinazzi,0.00016912285,0.00041672675,0.000953943,0.0020286886,0.0040080193,0.0073564113,0.012543649,0.01987026,0.029241852,0.039978635,0.05077766,0.05991547,0.065679096,0.06688626,0.06328027,0.055618796,0.0454147,0.034450304,0.024277907,0.41713223
13,Sebastian Vettel,0.019840995,0.026734367,0.034734465,0.04351465,0.052564777,0.061226334,0.06876474,0.07446938,0.07776315,0.07829862,0.07601838,0.07116516,0.064239256,0.055913627,0.046926606,0.037975606,0.029632939,0.02229609,0.01617585,0.041744992
14,Nicholas Latifi,0.0017585411,0.0032988437,0.005856945,0.009841956,0.015652802,0.023561519,0.03356719,0.04526133,0.05776174,0.06976758,0.07975679,0.086294286,0.08836842,0.08564711,0.07856495,0.0682096,0.056048326,0.043589354,0.032084763,0.115107946
15,George Russell,0.0034056061,0.0059595,0.009901526,0.015619648,0.023394683,0.03326901,0.04491998,0.057585865,0.07009212,0.08100266,0.08888042,0.092595525,0.09159054,0.08601771,0.076701194,0.06493717,0.052198883,0.03983876,0.028868709,0.033220477
16,Kimi Raikkonen,0.0032795044,0.0056012576,0.009128066,0.014193464,0.021057833,0.029809533,0.04026362,0.051890325,0.06380814,0.07486551,0.08381148,0.08952438,0.09124207,0.0887289,0.08232866,0.07288749,0.061570264,0.049625516,0.038164116,0.028219895
17,Mick Schumacher,2.0734004e-05,6.639996e-05,0.00019412675,0.0005181272,0.0012624711,0.0028082754,0.005702839,0.010572469,0.017893482,0.027646916,0.03899708,0.05021702,0.05903415,0.06335619,0.062073782,0.055521443,0.045336377,0.03379609,0.02299955,0.5019825
