Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.0333544,0.040481504,0.047826592,0.055003677,0.0615777,0.067106515,0.0711894,0.07351491,0.07390011,0.07231429,0.068883106,0.06387202,0.05765251,0.05065649,0.043327287,0.03607425,0.029237665,0.023067327,0.017715834,0.013244493
1,Lewis Hamilton,0.06848129,0.07726519,0.08433159,0.08904114,0.0909464,0.08986166,0.085893,0.07942097,0.07104066,0.061471365,0.05145565,0.04166656,0.032638963,0.024733135,0.018130776,0.012857247,0.0088201035,0.005853202,0.0037575741,0.002333545
2,Max Verstappen,0.068156995,0.08021925,0.09032178,0.09728641,0.10024384,0.098811805,0.09317639,0.08405213,0.07253326,0.059878573,0.04728805,0.035725422,0.025819568,0.017851148,0.011806723,0.007470306,0.004521609,0.0026181422,0.0014502393,0.00076847814
3,Pierre Gasly,0.010311247,0.014845795,0.020628128,0.027661778,0.03579845,0.04471078,0.053891987,0.06269025,0.07037849,0.076250635,0.07972805,0.080453046,0.07834981,0.0736372,0.06679139,0.05846657,0.049392227,0.040269263,0.03168491,0.024059983
4,Carlos Sainz,0.018491747,0.025892304,0.034770787,0.0447826,0.05531654,0.065531775,0.074456,0.08113317,0.08479071,0.084986344,0.08169604,0.07531886,0.06659745,0.056475814,0.045932315,0.0358282,0.02680297,0.019230556,0.013232796,0.008732983
5,Sergio Perez,0.037853926,0.04696403,0.056271475,0.06511477,0.07276782,0.078535765,0.08185858,0.0824004,0.0801056,0.075208135,0.068192296,0.059713732,0.050498843,0.041243676,0.032531314,0.024780732,0.018230366,0.012952242,0.008887161,0.0058891093
6,Yuki Tsunoda,0.0037803007,0.0062706494,0.009952683,0.015115032,0.021964407,0.030540165,0.040631674,0.05172487,0.063005075,0.07343328,0.08189399,0.08738812,0.08922659,0.087172106,0.08148961,0.07289007,0.062384393,0.051088702,0.04003273,0.030015599
7,Fernando Alonso,0.0067853304,0.010073631,0.014452734,0.020038376,0.026848739,0.03476434,0.043500353,0.052601755,0.061469022,0.069416255,0.07575561,0.07989456,0.081426956,0.08019881,0.07633373,0.070212364,0.062410783,0.053611025,0.04450385,0.035701763
8,Lando Norris,0.022140184,0.030969735,0.041370947,0.052778248,0.064300805,0.07481344,0.08312747,0.088208616,0.08938805,0.086506635,0.07995049,0.07056587,0.059479866,0.047879204,0.03680659,0.027021274,0.01894471,0.012684458,0.008110685,0.004952729
9,Valtteri Bottas,0.034574248,0.044506274,0.05502499,0.06533849,0.07451586,0.081620365,0.08586552,0.086757995,0.08419195,0.07846968,0.07024308,0.0603915,0.049867578,0.039548587,0.030124117,0.022037782,0.015484303,0.010449274,0.0067725247,0.0042158575
10,Sebastian Vettel,0.0041397023,0.0067201466,0.010462126,0.015620413,0.02236644,0.030713746,0.040448304,0.051085703,0.061877105,0.071877375,0.08007302,0.085548334,0.08765336,0.08613054,0.08116661,0.07335489,0.06357882,0.052847866,0.042128306,0.03220714
11,Esteban Ocon,0.0034015765,0.0058034887,0.00944409,0.0146586355,0.021701466,0.030644085,0.04127303,0.053021047,0.06496694,0.075927414,0.08463832,0.08999069,0.09126204,0.088276476,0.08144456,0.07167061,0.060156483,0.04815992,0.036774885,0.026784232
12,Daniel Ricciardo,0.011235126,0.016825542,0.024105165,0.033037055,0.043315396,0.054329235,0.065189056,0.074828304,0.0821688,0.08631737,0.08674397,0.08339318,0.07669583,0.067478105,0.056794222,0.045729388,0.03522383,0.025955403,0.018296536,0.012338436
13,Kimi Raikkonen,0.000460081,0.0010038174,0.0020616679,0.003985902,0.0072540054,0.012427195,0.020040633,0.030422408,0.043472987,0.058477517,0.07404607,0.08825893,0.099028215,0.104593076,0.10398972,0.09732437,0.08574253,0.071107395,0.05551071,0.040792692
14,George Russell,0.00014377495,0.00036582592,0.00086751394,0.0019172955,0.003949225,0.007581337,0.013564074,0.02261752,0.035148796,0.05090806,0.068718426,0.0864511,0.10136276,0.11076351,0.112804346,0.10706942,0.09471432,0.07808661,0.059999544,0.04296648
15,Nicholas Latifi,8.584411e-05,0.0002310918,0.00057822146,0.0013447412,0.002906822,0.005840278,0.010906463,0.018930824,0.030541498,0.045798007,0.06383191,0.08269219,0.0995695,0.11143546,0.1159193,0.11207876,0.100722425,0.08413258,0.06531871,0.04713529
16,Mick Schumacher,6.6354696e-05,0.00018287255,0.00046812848,0.001113068,0.0024582061,0.005042601,0.009607947,0.017003814,0.027951296,0.042677354,0.06052472,0.079727426,0.09754896,0.11086061,0.11702312,0.11473764,0.10449125,0.08838809,0.06944602,0.050680496
17,Nikita Mazepin,1.0747657e-05,3.7296482e-05,0.000118467855,0.00034443758,0.000916638,0.0022328687,0.004978594,0.010160803,0.01898134,0.03245665,0.050799362,0.07277641,0.095433526,0.11454841,0.1258505,0.12656061,0.116498455,0.09815661,0.07570014,0.05343817
