,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.01083625,0.015306891,0.02088127,0.027509822,0.03500101,0.04300653,0.05103286,0.05848263,0.06472399,0.06917756,0.07140467,0.071178615,0.0685226,0.0637059,0.057198804,0.049597032,0.041532274,0.033587478,0.02623195,0.121081844
1,Valtteri Bottas,0.010230197,0.0146776335,0.020305283,0.027085913,0.034838475,0.04320718,0.05166946,0.059579015,0.066242054,0.07101589,0.073410556,0.07317163,0.07032473,0.065171055,0.058234815,0.05017551,0.041685216,0.033392854,0.025793271,0.10978927
2,Charles Leclerc,0.01179114,0.016494311,0.02229637,0.029124325,0.036762003,0.044839863,0.052850723,0.06019483,0.06625051,0.070459716,0.07241261,0.0719133,0.069012195,0.063997686,0.057348788,0.049659908,0.041553646,0.033599604,0.026253121,0.10318538
3,Pierre Gasly,0.008646007,0.01289133,0.018463358,0.025401177,0.03356816,0.042611953,0.051959604,0.060859814,0.06847402,0.07400336,0.07682586,0.07661148,0.07338556,0.06752395,0.0596809,0.050669126,0.041322034,0.032370597,0.024358457,0.100373246
4,Daniel Ricciardo,0.012669071,0.017411528,0.023164382,0.029832957,0.03719321,0.044887237,0.052441325,0.059308406,0.06493078,0.068813965,0.07059835,0.070113875,0.06740706,0.06273332,0.056517523,0.049290102,0.041612886,0.034008533,0.026905414,0.11016011
5,Lando Norris,0.011343023,0.016116874,0.022089222,0.029203039,0.037241187,0.045810677,0.05435726,0.062215205,0.06868835,0.07315054,0.07514496,0.07446118,0.0711718,0.0656196,0.058358915,0.050064344,0.041428354,0.033068504,0.02546124,0.08500573
6,Carlos Sainz,0.010886272,0.015457477,0.021179697,0.028004166,0.035731163,0.04399401,0.05227109,0.059930958,0.06630748,0.07079387,0.07293743,0.07251484,0.06957049,0.064408764,0.057542223,0.049607787,0.04127004,0.033131532,0.025666703,0.10879397
7,Fernando Alonso,0.009542676,0.0138208615,0.019286463,0.025931211,0.033592783,0.041929733,0.05042559,0.058429588,0.06523301,0.07017055,0.07272692,0.072625384,0.06987703,0.06477887,0.05786088,0.04979545,0.04129021,0.03298811,0.025393378,0.124301344
8,Lance Stroll,0.009384701,0.013836305,0.019613395,0.026731232,0.035028253,0.044131756,0.05345855,0.062261045,0.06971866,0.0750611,0.07769875,0.07732971,0.07399664,0.06807866,0.060220346,0.05121637,0.04188009,0.032926057,0.024888853,0.08253942
9,Antonio Giovinazzi,0.0079451185,0.012015068,0.017432358,0.024265548,0.032406207,0.041521225,0.051040646,0.060195833,0.06811151,0.073939875,0.077008896,0.07694977,0.07376962,0.06785033,0.05987293,0.05068891,0.04117175,0.032084104,0.02398748,0.107742876
10,Yuki Tsunoda,0.007324786,0.011289736,0.016663823,0.023554146,0.03188321,0.041329373,0.051304724,0.060989875,0.06943209,0.07569453,0.07902614,0.07900945,0.075646564,0.069358744,0.060899727,0.051207226,0.04123339,0.03179573,0.023479598,0.09887705
11,Kimi Raikkonen,0.010548485,0.014989925,0.02055989,0.027217863,0.034777552,0.042890005,0.051053405,0.058655057,0.06504263,0.069614954,0.07191491,0.07170461,0.069006056,0.06409721,0.057464942,0.049725454,0.041530415,0.03347848,0.026048163,0.119679876
12,George Russell,0.0096003,0.014082516,0.019868681,0.026961954,0.035190616,0.04417699,0.053340703,0.061946206,0.06919333,0.074337356,0.076814555,0.07634373,0.07297877,0.06709857,0.05933673,0.050469268,0.041288037,0.03248739,0.024586616,0.089897655
13,Esteban Ocon,0.008765932,0.013066801,0.018710457,0.02573613,0.034005277,0.043161158,0.052624017,0.061633762,0.06934215,0.07494107,0.07780123,0.07758842,0.07432781,0.068399,0.06046332,0.05134264,0.04188017,0.03281576,0.024700208,0.088694654
14,Nicholas Latifi,0.009629056,0.014080288,0.019810606,0.026818987,0.034933764,0.043783132,0.05279913,0.061263952,0.06839772,0.07347449,0.0759434,0.075526945,0.07227235,0.06654277,0.058950547,0.050249673,0.041213274,0.032523643,0.024695618,0.09709058
15,Mick Schumacher,0.010612214,0.015159319,0.020885557,0.027752709,0.035567805,0.043964442,0.052412957,0.060265474,0.066833034,0.0714836,0.0737419,0.07336941,0.07040579,0.065161996,0.058166515,0.050077725,0.04158232,0.03330163,0.025722597,0.103533015
16,Nikita Mazepin,0.008059889,0.012188438,0.017681452,0.024605853,0.032848064,0.042066056,0.05167785,0.060901467,0.068849646,0.0746666,0.07767866,0.07752251,0.074217215,0.0681604,0.06004964,0.050750352,0.04114516,0.031999927,0.023874253,0.101056546
17,Sebastian Vettel,0.012053391,0.01664551,0.022247642,0.028778633,0.03602927,0.043655604,0.05119454,0.058104064,0.06382465,0.06785308,0.06981517,0.069523126,0.06700508,0.0625008,0.0564238,0.049299017,0.041688245,0.034118336,0.027024725,0.12221533
