Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.03545689,0.040398423,0.045286477,0.049947377,0.054199707,0.057865724,0.060783543,0.062818974,0.06387568,0.063902885,0.06289927,0.06091312,0.058038518,0.0544079,0.05018197,0.04553795,0.040657382,0.035714574,0.03086681,0.02624691
1,Sergio Perez,0.02946457,0.034321427,0.039318383,0.044298705,0.04908529,0.05349052,0.057328038,0.060425818,0.06263873,0.06385992,0.0640293,0.0631385,0.061231457,0.058400977,0.05478108,0.050536603,0.045850776,0.04091213,0.035902333,0.030985482
2,Max Verstappen,0.028216034,0.03354225,0.039105214,0.044711933,0.050137013,0.055136573,0.059465803,0.06289862,0.06524707,0.06637848,0.06622773,0.06480352,0.06218759,0.058526818,0.054019727,0.048898585,0.04340965,0.03779397,0.032270454,0.027023029
3,Charles Leclerc,0.021937737,0.026973832,0.032481715,0.03830725,0.044245433,0.0500497,0.055447247,0.0601595,0.06392547,0.06652565,0.06780318,0.06767939,0.066161975,0.06334407,0.059394892,0.054542813,0.04905369,0.043206744,0.03727149,0.0314882
4,Pierre Gasly,0.00932939,0.013204005,0.018117646,0.024101347,0.03108311,0.03886432,0.04711087,0.05536497,0.06308009,0.0696776,0.07461695,0.07746855,0.07797529,0.07609076,0.071986414,0.06602566,0.05871086,0.050613638,0.04230194,0.03427652
5,Daniel Ricciardo,0.022857852,0.027725346,0.03298982,0.038507424,0.04409308,0.049528822,0.05457667,0.058995325,0.06255897,0.06507632,0.066407636,0.06647746,0.06528185,0.0628886,0.059430964,0.055095386,0.050104793,0.04469969,0.03911933,0.03358458
6,Lando Norris,0.020608868,0.025841018,0.03165913,0.0378985,0.044328097,0.050660547,0.056571092,0.06172386,0.06580297,0.06854437,0.0697641,0.06937866,0.06741457,0.06400525,0.059376016,0.05381962,0.04766547,0.04124782,0.034876425,0.028813558
7,Valtteri Bottas,0.023391748,0.029110001,0.035361554,0.041930456,0.048533026,0.05483456,0.060475692,0.06510536,0.06841666,0.0701805,0.0702717,0.06868372,0.06552945,0.061027918,0.05547918,0.049231257,0.04264431,0.036057092,0.02975977,0.02397607
8,Esteban Ocon,0.0051300265,0.007989246,0.011977517,0.017286323,0.024016716,0.03212177,0.041358057,0.051262025,0.06116546,0.07025733,0.077687666,0.08269655,0.08474177,0.08359546,0.079385765,0.07257343,0.06386863,0.054109342,0.044129815,0.03464709
9,Carlos Sainz,0.011313308,0.015590158,0.020859819,0.027100032,0.034184434,0.041868348,0.04979007,0.057490826,0.06445458,0.070162974,0.074158594,0.07610517,0.075834356,0.07336974,0.06892348,0.0628661,0.055675622,0.047875453,0.03997234,0.03240453
10,George Russell,0.002089292,0.0037504858,0.00641189,0.010439848,0.016188731,0.023907898,0.03362637,0.045043122,0.057462852,0.069816165,0.08078575,0.08902737,0.09343776,0.09339667,0.08890997,0.08060825,0.06960147,0.057235792,0.044825666,0.03343459
11,Nicholas Latifi,0.00094188994,0.001890217,0.003585955,0.00643102,0.010902768,0.017473333,0.026472587,0.037913956,0.051331446,0.06569767,0.0794874,0.09091352,0.09829704,0.10046953,0.09707564,0.08866821,0.07656098,0.06249266,0.04822058,0.03517366
12,Fernando Alonso,0.0009037194,0.0018074879,0.003421078,0.006127688,0.010386674,0.016661042,0.025291448,0.03633218,0.049391806,0.06354254,0.07736065,0.08912952,0.09717825,0.100268036,0.097904325,0.09046639,0.07910768,0.06546301,0.051264785,0.03799168
13,Kimi Raikkonen,0.0014836028,0.0028061143,0.0050352663,0.008571732,0.013843425,0.021210326,0.030830482,0.042514995,0.05562023,0.06903235,0.08128329,0.09079855,0.096224464,0.09674334,0.09227531,0.08349856,0.07168056,0.05837847,0.045105867,0.033063002
14,Antonio Giovinazzi,0.0007701956,0.0016036647,0.0031461192,0.0058154883,0.010128546,0.016620986,0.025698993,0.03743906,0.051390518,0.06646464,0.080993,0.09299374,0.10060268,0.10254503,0.09848478,0.08911955,0.07598471,0.061042022,0.046204157,0.032952044
15,Mick Schumacher,0.00038302518,0.00086890557,0.0018483588,0.0036869561,0.0068963342,0.0120958565,0.019894058,0.030681636,0.044371255,0.06017187,0.07651619,0.09123921,0.10201827,0.106965266,0.105166115,0.09695659,0.08381987,0.06794929,0.051652487,0.03681847
16,Nikita Mazepin,8.8090776e-05,0.000244548,0.0006278719,0.0014909062,0.0032741777,0.0066500814,0.012491779,0.021701725,0.03486878,0.05181458,0.07120983,0.09051082,0.10639805,0.115675,0.116310254,0.10816061,0.09302356,0.07399278,0.054432515,0.037033968
