Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.10556125,0.107403144,0.10641646,0.10267865,0.09647851,0.088279575,0.078662805,0.06825866,0.057680037,0.047464885,0.038036328,0.029682752,0.022557404,0.01669372,0.012030856,0.008443439,0.0057706046,0.0038406325,0.0024892213,0.0015710981
1,Valtteri Bottas,0.07451213,0.07771035,0.079632595,0.08017951,0.07932252,0.077106304,0.073645055,0.069112696,0.06372832,0.057738744,0.051399957,0.0449592,0.0386398,0.03262958,0.027073758,0.02207222,0.017680878,0.013916242,0.010762195,0.00817786
2,Max Verstappen,0.12121145,0.122288376,0.11938793,0.112789676,0.103112616,0.091219515,0.07809036,0.06469055,0.051858217,0.04022798,0.0301976,0.02193563,0.015419188,0.010488338,0.0069037476,0.0043974137,0.00271046,0.0016166755,0.00093311677,0.0005211744
3,Sergio Perez,0.07326913,0.07627112,0.078087315,0.07862894,0.0778692,0.07584563,0.07265687,0.06845484,0.0634327,0.057810113,0.051817413,0.045680303,0.039606255,0.033773813,0.028325498,0.023364497,0.018954704,0.015123729,0.01186813,0.009159822
4,Pierre Gasly,0.011614675,0.017737275,0.025797015,0.0357318,0.047134973,0.059215385,0.07084816,0.08072823,0.08760422,0.0905373,0.08911134,0.083529755,0.07456798,0.063396655,0.051331386,0.03958244,0.029068664,0.020330602,0.013541861,0.00859032
5,Lando Norris,0.05599563,0.07176605,0.0867246,0.09881519,0.10616055,0.107537754,0.10271101,0.09249771,0.078542225,0.06288308,0.047470327,0.033788513,0.022676403,0.014349522,0.0085616745,0.004816574,0.002554913,0.0012778263,0.00060259557,0.0002679407
6,Charles Leclerc,0.027163971,0.041029148,0.05769295,0.07552383,0.09203999,0.104423955,0.11029479,0.10845282,0.09927908,0.08460692,0.06712512,0.049578745,0.034090787,0.021822752,0.013005095,0.007215199,0.0037266137,0.0017918905,0.00080212083,0.00033427155
7,Esteban Ocon,0.0028987983,0.005325971,0.009237435,0.01512431,0.02337607,0.034106635,0.046976235,0.061078593,0.07496724,0.08686118,0.09500609,0.098095484,0.09561324,0.08797492,0.07641371,0.06265495,0.048496574,0.035435505,0.024442047,0.01591506
8,Fernando Alonso,0.003568563,0.006384489,0.01079684,0.017258577,0.026076626,0.03724224,0.050275713,0.06415324,0.077377856,0.08821715,0.09506639,0.09683654,0.09323721,0.08485495,0.072996676,0.05935634,0.045621447,0.033144288,0.022760743,0.01477414
9,Sebastian Vettel,0.005980122,0.0099298265,0.015656725,0.023441633,0.03332751,0.04499306,0.057678785,0.07021248,0.081159696,0.08908292,0.09284875,0.091893665,0.08636205,0.07707047,0.06531018,0.05255351,0.040155973,0.02913577,0.02007384,0.013132952
10,Daniel Ricciardo,0.01597404,0.025529606,0.03816063,0.053349316,0.06975646,0.085306495,0.09757122,0.104376666,0.10443045,0.09772215,0.08552652,0.07000848,0.05359726,0.038377494,0.025701156,0.016097965,0.009430419,0.005166938,0.0026477538,0.0012690064
11,Lance Stroll,0.0017943274,0.003622737,0.006843009,0.012092961,0.019993713,0.030926391,0.044754867,0.060593538,0.07675166,0.09095449,0.10084068,0.104597814,0.10150431,0.09215559,0.07827694,0.062204428,0.046247043,0.03216782,0.020933148,0.012744497
12,Kimi Raikkonen,0.00040624873,0.0009163063,0.0019383595,0.0038456882,0.007155811,0.012487908,0.0204393,0.031375293,0.04517053,0.060991358,0.07723726,0.09173415,0.10218349,0.10675201,0.10459648,0.09611773,0.082839146,0.06695967,0.050761756,0.036091533
13,Yuki Tsunoda,0.00012900282,0.00038660472,0.0010531454,0.0026077323,0.005869371,0.0120080905,0.022331096,0.037748504,0.058002025,0.0810103,0.10284686,0.11868492,0.12449555,0.1187041,0.10288009,0.08104959,0.058039524,0.03777901,0.022352753,0.012021679
14,George Russell,1.14729e-05,4.1710682e-05,0.00013775077,0.00041325175,0.0011261837,0.0027879004,0.006269298,0.0128066195,0.023764208,0.04005769,0.061336942,0.08531628,0.10779916,0.12372924,0.12900394,0.12218202,0.10511996,0.0821555,0.058325965,0.037614968
15,Nicholas Latifi,2.8381496e-06,1.2089563e-05,4.6381305e-05,0.00016026237,0.00049874326,0.00139791,0.0035288874,0.0080232965,0.01642951,0.030300722,0.05033126,0.07529725,0.10145585,0.12312089,0.13456829,0.13246782,0.11744502,0.09378109,0.06744544,0.04368644
16,Nikita Mazepin,4.7710614e-07,2.5274996e-06,1.1897923e-05,4.976857e-05,0.00018498745,0.0006109883,0.0017931915,0.0046765376,0.010837409,0.022316717,0.040835533,0.06639722,0.095932305,0.123163894,0.14050944,0.14243972,0.12830989,0.10270526,0.07305143,0.04617089
