,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.059513,0.067986384,0.07498456,0.079847544,0.08209012,0.08148166,0.078085214,0.07224658,0.06453652,0.05565877,0.046344835,0.03725708,0.02891718,0.021669207,0.015677236,0.01095055,0.007384854,0.0048082583,0.0030225492,0.10753785
1,Valtteri Bottas,0.046939652,0.05477942,0.061840184,0.067530505,0.07133537,0.07289299,0.07205139,0.06889296,0.063721105,0.057012156,0.049343202,0.041310757,0.03345606,0.026209716,0.019862112,0.014560109,0.010324752,0.007082235,0.0046993433,0.15615594
2,Carlos Sainz,0.016041419,0.021756096,0.028406976,0.03570874,0.04321454,0.050349016,0.056475192,0.060985997,0.06340278,0.06345884,0.0611479,0.056725297,0.050661463,0.043559644,0.036057584,0.028735222,0.022046426,0.016284239,0.011579842,0.23340276
3,Lando Norris,0.02915967,0.038185943,0.047906734,0.05757864,0.06629771,0.07313203,0.07728384,0.078242354,0.07588695,0.07051221,0.06276734,0.053527273,0.043730915,0.03422741,0.025664425,0.018435761,0.012687116,0.008364434,0.0052830176,0.12112633
4,Pierre Gasly,0.0027291933,0.0047523384,0.007850465,0.012302646,0.018290123,0.025795866,0.03451427,0.043808892,0.052752234,0.060260758,0.06530454,0.06713783,0.06547965,0.060584355,0.05317772,0.04428066,0.034979478,0.026213676,0.018636204,0.30114913
5,Lewis Hamilton,0.06972685,0.07503819,0.07855356,0.079992704,0.079238474,0.076352455,0.07156669,0.065252945,0.05787491,0.04993232,0.04190582,0.034211177,0.027168324,0.020987408,0.015770877,0.011528002,0.00819697,0.005669619,0.0038146565,0.12721811
6,Sebastian Vettel,0.0011248593,0.002071698,0.0036253568,0.0060279705,0.009523306,0.014295538,0.020389626,0.02763212,0.03558076,0.043532368,0.050606403,0.055897802,0.058665138,0.058500767,0.05542927,0.0499014,0.042685717,0.03469353,0.026792329,0.40302405
7,Sergio Perez,0.030270405,0.038259555,0.04653739,0.054475874,0.061368644,0.06653173,0.0694147,0.06969703,0.06734682,0.062626794,0.05604584,0.048268836,0.040006466,0.031910524,0.024495013,0.018095136,0.012864293,0.00880137,0.005795016,0.18718854
8,Antonio Giovinazzi,0.00031898398,0.0007241375,0.0015365303,0.0030473988,0.005649176,0.009788335,0.015852593,0.023997156,0.033953704,0.044903733,0.05550672,0.064132266,0.06925888,0.069910444,0.06595941,0.058167323,0.047945675,0.036939204,0.026600722,0.36580756
9,Esteban Ocon,0.0047667483,0.007728089,0.011937402,0.017568553,0.024634903,0.03291198,0.041893378,0.050807215,0.058707513,0.06463242,0.06779469,0.067753114,0.0645136,0.05852773,0.05058952,0.041662727,0.032690644,0.02443923,0.017407646,0.2590329
10,Daniel Ricciardo,0.02175712,0.028048687,0.034959506,0.04212695,0.049079083,0.055280857,0.060199782,0.06338069,0.064514995,0.06349016,0.06040791,0.05556779,0.049419034,0.04249201,0.035323363,0.028389562,0.022059571,0.016572092,0.012036481,0.19489436
11,Lance Stroll,0.0016063863,0.0030144698,0.005344045,0.008950091,0.014160628,0.021165835,0.029887278,0.039868996,0.05024379,0.059817355,0.06727756,0.071484365,0.07175462,0.06804351,0.0609567,0.051588655,0.04124629,0.031153984,0.022230037,0.28020546
12,Kimi Raikkonen,0.0008663144,0.0016782614,0.003076474,0.0053364933,0.008759275,0.013604722,0.019994969,0.02780744,0.03659408,0.045569047,0.05369556,0.059870973,0.06316893,0.063066706,0.059580766,0.0532625,0.045055337,0.03606454,0.027316434,0.37563115
13,George Russell,0.00024237069,0.00056966353,0.0012491038,0.0025551727,0.0048762257,0.008681375,0.014419001,0.022342065,0.03229632,0.043553654,0.05479456,0.064312,0.07041873,0.07193263,0.06854965,0.060943335,0.050546236,0.039110467,0.028231801,0.36037564
14,Yuki Tsunoda,0.0009100759,0.0018364456,0.0034832936,0.0062103174,0.010407562,0.016394429,0.024274763,0.033785116,0.04419848,0.054350182,0.062821224,0.06825328,0.0697031,0.06691022,0.06037324,0.05120451,0.04082099,0.03058936,0.021546125,0.3319273
15,Fernando Alonso,0.003809517,0.006133014,0.00944385,0.013908978,0.019593522,0.026399806,0.034022015,0.041936323,0.049441516,0.055752482,0.060132273,0.062032897,0.06120792,0.05776492,0.05214249,0.04501844,0.037175782,0.029363023,0.02218261,0.31253868
16,Nicholas Latifi,0.0001667475,0.00040406617,0.00091262365,0.0019212187,0.0037697086,0.006894218,0.011751889,0.018671386,0.027649758,0.038163833,0.049097404,0.05887232,0.06579749,0.06854151,0.06654936,0.060225427,0.050799776,0.03993831,0.029266,0.4006069
17,Nikita Mazepin,6.2064915e-05,0.00017781025,0.00046905503,0.0011393244,0.0025481621,0.005247624,0.009950718,0.017374098,0.027932253,0.041349053,0.05636132,0.070738,0.0817486,0.08698888,0.0852321,0.076895095,0.06387779,0.048860416,0.034412824,0.28863478
