Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.14689313,0.13587433,0.12414849,0.111912064,0.09946652,0.08718788,0.075474344,0.06468758,0.055104442,0.046890225,0.04009662,0.034680914,0.030538557,0.027539035,0.025556628,0.024492418,0.024287313,0.024928527,0.02645177,0.013309478
1,Lewis Hamilton,0.18264867,0.1642954,0.1458756,0.12768869,0.11012019,0.09359259,0.078498326,0.06513856,0.053683504,0.044162534,0.036481895,0.030460615,0.025873542,0.022490334,0.020103464,0.018543841,0.017685968,0.017446488,0.017779052,0.0051069576
2,Max Verstappen,0.16273467,0.1494531,0.13539715,0.12085304,0.10621401,0.09193841,0.078485206,0.066247396,0.055501614,0.046385724,0.03890491,0.032960482,0.028390288,0.025009206,0.022641037,0.021138672,0.020393455,0.020336905,0.020937817,0.012899592
3,Sergio Perez,0.106059425,0.105303824,0.102713734,0.098302856,0.0922549,0.08492075,0.076775655,0.06834914,0.06014623,0.052581776,0.045942362,0.040380362,0.03593552,0.03257176,0.030215858,0.02878877,0.028226212,0.02848874,0.029563501,0.013986287
4,Carlos Sainz,0.08094778,0.08376452,0.08499076,0.084450684,0.082127325,0.07818796,0.07297002,0.06692922,0.060564715,0.054342803,0.04863877,0.04370878,0.039693426,0.036643676,0.034555946,0.033404727,0.033166617,0.033833936,0.035418715,0.024956971
5,Esteban Ocon,0.02168651,0.027113343,0.032891557,0.03866853,0.044028647,0.04856602,0.05196775,0.054082118,0.05494874,0.054781266,0.053910855,0.052713,0.051543597,0.050700717,0.05041367,0.050850555,0.05213183,0.054340027,0.05751984,0.041198924
6,Lando Norris,0.11475142,0.11227694,0.108013116,0.10204216,0.094609074,0.08610939,0.077040225,0.067927964,0.05925284,0.05139078,0.04458373,0.038941294,0.03446714,0.03109764,0.02874022,0.027303047,0.0267139,0.026928904,0.02793355,0.023983248
7,Charles Leclerc,0.0846449,0.08733614,0.08831798,0.0874238,0.084658116,0.0802196,0.07448176,0.067934714,0.06110428,0.054472223,0.04841748,0.043189716,0.038915943,0.035629597,0.033307545,0.031903706,0.03137282,0.031683184,0.03282003,0.027433237
8,Pierre Gasly,0.019647203,0.025058676,0.03095304,0.036982864,0.042715155,0.04770488,0.05158549,0.054149065,0.055388354,0.055487607,0.05476756,0.05360782,0.052375495,0.051379565,0.05085427,0.05096331,0.051811673,0.053454854,0.055899445,0.037362065
9,Sebastian Vettel,0.008942432,0.012750475,0.017480798,0.0230157,0.02908361,0.035281587,0.04114415,0.0462427,0.05028271,0.053164393,0.054985605,0.055992633,0.056504715,0.05684301,0.057282314,0.05802748,0.059205618,0.06086369,0.062963754,0.039927058
10,George Russell,0.0041436646,0.0066627553,0.010207872,0.01488308,0.020637594,0.0272238,0.034209486,0.0410551,0.04723635,0.05236724,0.056275196,0.059003267,0.060751174,0.061790213,0.062385503,0.062742986,0.06298115,0.06312042,0.06308327,0.06331911
11,Antonio Giovinazzi,0.004348702,0.006932055,0.010536561,0.015252238,0.021013528,0.027561942,0.034462836,0.041184787,0.04722075,0.0522066,0.05599043,0.058630776,0.060336377,0.061382018,0.062033173,0.06249514,0.06288608,0.06322642,0.06343801,0.06998221
12,Fernando Alonso,0.005025182,0.007765222,0.011477129,0.016205164,0.021844758,0.028120901,0.034616582,0.040853273,0.04640051,0.050975066,0.054491848,0.057052113,0.05888387,0.060265996,0.061462734,0.062680714,0.06404493,0.06558645,0.06723468,0.045041766
13,Yuki Tsunoda,0.008036235,0.011939165,0.016964303,0.023025174,0.029833706,0.03691167,0.04366737,0.0495224,0.05404599,0.057046425,0.0585863,0.05892422,0.058417093,0.057425022,0.056245793,0.055083934,0.05404464,0.053140152,0.05230061,0.06820062
14,Kimi Raikkonen,0.005262391,0.008075928,0.011859801,0.0166457,0.022315102,0.02858135,0.0350218,0.041160468,0.046577286,0.051004205,0.054371975,0.056794915,0.058509577,0.059799068,0.06092904,0.06210625,0.06345617,0.06501143,0.06670435,0.06895624
15,Daniel Ricciardo,0.038445957,0.04594564,0.05318127,0.05954671,0.06445762,0.067471914,0.068389386,0.06729547,0.06453273,0.06061182,0.056094114,0.051485818,0.04717221,0.043399014,0.04028851,0.03787118,0.036116794,0.034956828,0.03429639,0.022505946
16,Lance Stroll,0.005346815,0.00837505,0.012508551,0.01779172,0.02408533,0.031040315,0.038134944,0.04477731,0.050442494,0.054792944,0.057735387,0.05939859,0.060054455,0.060022723,0.05959373,0.05898181,0.05830622,0.057589132,0.056763154,0.0696338
17,Nicholas Latifi,0.00018673342,0.00045834386,0.001041927,0.0021909093,0.0042587817,0.0076548206,0.012739667,0.01968197,0.028335627,0.03820644,0.048537713,0.058477476,0.06724853,0.07425548,0.07911125,0.081607595,0.08166801,0.07931442,0.074662514,0.11909704
18,Mick Schumacher,0.00021364549,0.0005133996,0.0011445031,0.002363967,0.0045212824,0.008009268,0.013158886,0.020102747,0.028666014,0.03834783,0.04841449,0.058062922,0.06657774,0.073423125,0.078256935,0.08089423,0.08125751,0.07934332,0.075219296,0.1274744
19,Nikita Mazepin,3.444632e-05,0.00010568624,0.0002958895,0.00075498654,0.0017546086,0.0037150772,0.0071760607,0.012677987,0.02056487,0.03078211,0.042772826,0.055534355,0.067810684,0.07833282,0.08602232,0.09011955,0.090243034,0.0864062,0.079010375,0.10562503
