,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.10812657,0.11941706,0.12365331,0.12004676,0.10926994,0.09325159,0.074613474,0.055973664,0.0393691,0.025961673,0.016051492,0.009304726,0.0050570485,0.0025768906,0.0012311197,0.00055145525,0.00023159292,9.11897e-05,3.3664433e-05,0.09518767
1,Max Verstappen,0.0052910643,0.009632938,0.016391868,0.026070667,0.038755193,0.05384699,0.06992735,0.08487633,0.09628977,0.10210044,0.10118804,0.093731284,0.081151016,0.06566853,0.04966778,0.03511122,0.023199102,0.014326846,0.008269583,0.024504034
2,Charles Leclerc,0.049793303,0.059858445,0.06848659,0.0745781,0.07729342,0.07624287,0.07157835,0.06395724,0.054390512,0.044023264,0.033913054,0.024864346,0.017350532,0.01152323,0.00728385,0.0043820124,0.002509062,0.0013673352,0.0007091927,0.2558953
3,Sergio Perez,0.090992264,0.10540928,0.113982596,0.11504925,0.10839628,0.095330164,0.07825852,0.05996785,0.042893417,0.028638376,0.017848074,0.010382928,0.0056381137,0.0028578073,0.0013521275,0.0005971561,0.00024617472,9.4729316e-05,3.4025983e-05,0.12203089
4,Pierre Gasly,0.028350089,0.036605038,0.045102686,0.053032137,0.059504695,0.063714564,0.06510304,0.06348033,0.059068,0.05244942,0.04444309,0.035937108,0.027730465,0.02041957,0.0143486615,0.00962169,0.006156962,0.003759731,0.0021909007,0.30898187
5,Lando Norris,0.09784195,0.10261476,0.10408181,0.10209874,0.09686041,0.08886947,0.07885685,0.067671604,0.05616348,0.045079805,0.03499373,0.02627115,0.019074284,0.013393615,0.009095527,0.005973626,0.0037942748,0.0023307733,0.0013847771,0.043549366
6,Yuki Tsunoda,0.013024814,0.01962856,0.028116265,0.038280606,0.049539566,0.060936537,0.07124512,0.0791744,0.08363084,0.08396536,0.08012831,0.0726815,0.0626634,0.05135184,0.03999909,0.029613942,0.020839857,0.013939432,0.008862323,0.092378244
7,Esteban Ocon,0.027680751,0.036778264,0.046675693,0.056581777,0.065516196,0.072461456,0.076551154,0.07724717,0.07445601,0.06854934,0.060282733,0.050637122,0.040628534,0.031137208,0.022793682,0.01593807,0.010644934,0.0067910464,0.004138247,0.15451065
8,Antonio Giovinazzi,0.00019063734,0.00048367775,0.0011356168,0.0024673764,0.004960965,0.009230487,0.01589317,0.025323521,0.037339177,0.050948706,0.0643323,0.07517135,0.08128364,0.08133575,0.075316,0.06453875,0.051177755,0.03755515,0.025502648,0.29581335
9,Daniel Ricciardo,0.074564435,0.08424419,0.09133952,0.095036015,0.094891705,0.09092408,0.08360651,0.07377548,0.062473305,0.050767705,0.039590526,0.029628217,0.021277975,0.01466445,0.009698657,0.006155574,0.0037491738,0.0021913603,0.0012291422,0.070191845
10,Kimi Raikkonen,0.003080102,0.0051504704,0.008226544,0.01255097,0.018290516,0.025460321,0.0338525,0.04299391,0.052156936,0.060437474,0.06689439,0.070723236,0.071420625,0.06889287,0.06347664,0.055865366,0.046963494,0.03771094,0.028924333,0.22692834
11,Fernando Alonso,0.02865578,0.036183577,0.043884654,0.05112293,0.05720325,0.06147909,0.06346528,0.06292841,0.05993206,0.054824356,0.04817146,0.040654443,0.032955516,0.025659613,0.01918995,0.013784774,0.009511022,0.006303136,0.0040122503,0.28007847
12,George Russell,0.003388474,0.0056696115,0.009032015,0.013699281,0.019783016,0.027200026,0.035606407,0.0443781,0.05266125,0.059497073,0.064000264,0.065546565,0.06391458,0.059337843,0.052450005,0.04414091,0.035368674,0.026982255,0.01959835,0.29774532
13,Carlos Sainz,0.004880443,0.008012888,0.012558274,0.018788073,0.026831541,0.036578033,0.047599953,0.059129428,0.0701152,0.07936553,0.08575569,0.08845148,0.08708807,0.08185089,0.073434375,0.062890716,0.051414423,0.040123124,0.02988929,0.035242576
14,Nicholas Latifi,0.0014382283,0.0025834246,0.0044041653,0.007125762,0.01094206,0.015946548,0.022056378,0.028953547,0.0360719,0.042651698,0.047863398,0.05097657,0.05152734,0.049431596,0.045006115,0.03889003,0.031893704,0.024823984,0.018337412,0.4690761
15,Sebastian Vettel,0.013279566,0.017978916,0.023404323,0.029294197,0.035254937,0.04079541,0.045389503,0.04855708,0.049946222,0.049397573,0.04697444,0.042950727,0.03776002,0.031918835,0.025942665,0.020273797,0.015233811,0.011006139,0.007645649,0.40699625
16,Lance Stroll,0.01676141,0.024029512,0.03293329,0.043149997,0.054048307,0.06472009,0.07408867,0.08108116,0.08482889,0.08484439,0.08112567,0.074156456,0.064803004,0.05413737,0.043236915,0.033011682,0.024095532,0.016813608,0.011216071,0.036917996
17,Mick Schumacher,3.2468157e-05,0.00011172916,0.00034790274,0.0009802394,0.0024991299,0.0057653855,0.012035122,0.022732925,0.03885462,0.06009147,0.08409407,0.10648801,0.122016534,0.12650834,0.1186868,0.10075536,0.07739565,0.0537957,0.03383462,0.032973878
18,Nikita Mazepin,2.7093724e-06,1.3304837e-05,5.7585832e-05,0.00021967695,0.00073861016,0.0021888146,0.0057169585,0.013160847,0.02670329,0.04775386,0.07526875,0.104564294,0.12803085,0.13816829,0.13142097,0.11017509,0.08140758,0.05301622,0.030430907,0.050961293
