Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.049520813,0.0574606,0.06482383,0.07110187,0.075824484,0.0786176,0.07925234,0.07767592,0.0740189,0.06857737,0.06177334,0.05410076,0.04606674,0.03813762,0.030697409,0.024023259,0.018278642,0.013521908,0.009725547,0.0068009864
1,Max Verstappen,0.039110433,0.04792429,0.056814,0.06516165,0.07230451,0.077620305,0.08061617,0.08100385,0.07874553,0.07405987,0.06738708,0.059320822,0.050521273,0.041627303,0.033183258,0.025591549,0.019094607,0.013783562,0.009626076,0.0065038973
2,Valtteri Bottas,0.034456704,0.041852403,0.049438827,0.05679582,0.063454956,0.068947,0.07285613,0.07487169,0.07482898,0.072731555,0.06875064,0.06320208,0.056504972,0.04912956,0.0415432,0.034163136,0.027322235,0.021250805,0.016074434,0.011824877
3,Charles Leclerc,0.021675592,0.028201677,0.03557659,0.043515023,0.051605932,0.059339717,0.06615713,0.07151438,0.074954115,0.07616984,0.07505093,0.07169925,0.066413835,0.059646893,0.051940072,0.04385337,0.035899524,0.028494406,0.02192887,0.01636283
4,Esteban Ocon,0.00918671,0.013205613,0.018359512,0.024686983,0.032105464,0.040382594,0.049126234,0.05780119,0.065775536,0.07239293,0.077060536,0.079336315,0.078998044,0.07607899,0.0708626,0.06383719,0.055620454,0.046870496,0.038200468,0.030112168
5,Carlos Sainz,0.014906745,0.020474005,0.02719064,0.034916632,0.043355253,0.052053228,0.060429636,0.06783422,0.073628195,0.07727443,0.0784195,0.076950006,0.073011264,0.06698344,0.059421215,0.05096969,0.04227456,0.033903353,0.026290711,0.019713277
6,Daniel Ricciardo,0.017687792,0.02356241,0.030422386,0.038070984,0.046176646,0.054284763,0.06185303,0.068307936,0.07311537,0.07585315,0.07627213,0.07433366,0.07021541,0.06428456,0.057043802,0.049061097,0.040897213,0.03304283,0.02587547,0.019639332
7,Sergio Perez,0.018245058,0.024956476,0.03290109,0.041804757,0.05119528,0.06042583,0.068739116,0.07536573,0.07964022,0.08111098,0.07961877,0.07532512,0.06868358,0.06036073,0.05112634,0.041737236,0.032839086,0.024902744,0.018200854,0.012821097
8,Lando Norris,0.018389903,0.025443107,0.03384589,0.043289945,0.053236984,0.06294846,0.07156519,0.078228295,0.08221877,0.08308519,0.080727465,0.07541614,0.06774112,0.058504038,0.048580766,0.03878719,0.029775396,0.021977173,0.015596654,0.010642315
9,Fernando Alonso,0.004422313,0.0070050806,0.010674721,0.015648734,0.022068925,0.02994075,0.039077222,0.049064115,0.059263017,0.068862505,0.07697708,0.08277887,0.08563611,0.085226335,0.08159622,0.075152904,0.06658873,0.056759067,0.046542455,0.03671492
10,Lance Stroll,0.0029217603,0.004983568,0.008125833,0.01266563,0.01887196,0.02688058,0.036600895,0.047640488,0.059277784,0.07050814,0.08017111,0.087142095,0.09054602,0.089937806,0.08539775,0.07751436,0.06725882,0.055788893,0.04423618,0.033530414
11,Pierre Gasly,0.0025092836,0.0044339243,0.0074620205,0.011960646,0.01825925,0.02654856,0.036764517,0.048489384,0.060910806,0.072873875,0.083038464,0.09011905,0.09315019,0.091702424,0.08598203,0.076782905,0.06530573,0.05290149,0.040814478,0.029990977
12,Sebastian Vettel,0.00091151515,0.001789757,0.0033349185,0.0058970754,0.009895748,0.015758727,0.023815207,0.034154512,0.046483878,0.06003675,0.073585555,0.085591085,0.09447678,0.09896513,0.09837841,0.09280641,0.08308387,0.070585586,0.05690834,0.043540794
13,Antonio Giovinazzi,0.00017677419,0.0004411079,0.0010264461,0.0022273725,0.0045072907,0.008505582,0.014967804,0.024562793,0.037589226,0.053643163,0.07138898,0.08859593,0.102532595,0.11065624,0.11136672,0.104520306,0.09147695,0.074660026,0.056823816,0.040330946
14,George Russell,9.4007686e-05,0.00025385103,0.0006361828,0.001479697,0.003194116,0.0063990583,0.011897861,0.020530945,0.032880336,0.048871,0.06741452,0.08630643,0.10254631,0.113079645,0.11572742,0.10991965,0.096895084,0.07927124,0.060188968,0.042413622
15,Yuki Tsunoda,0.0003478656,0.00081018783,0.0017641854,0.0035915887,0.0068361755,0.012165325,0.02024037,0.03148452,0.04578887,0.062259674,0.07914762,0.094070375,0.10453266,0.10860134,0.105487846,0.09579739,0.08133719,0.06456671,0.047919486,0.03325063
16,Kimi Raikkonen,0.000102260485,0.00027478387,0.0006851228,0.0015850374,0.003402546,0.0067773885,0.012526062,0.021481305,0.03418223,0.050470047,0.06914502,0.08789855,0.10368035,0.1134762,0.11524098,0.10859327,0.09494948,0.077032864,0.05799001,0.040506434
17,Mick Schumacher,2.2912749e-05,7.284157e-05,0.00021300635,0.000572951,0.0014176001,0.003226275,0.0067539876,0.013005611,0.02303628,0.037532337,0.05624838,0.077540025,0.09832258,0.11468111,0.12303874,0.12142364,0.110223964,0.09203651,0.07068961,0.049941614
18,Nicholas Latifi,6.0822854e-06,2.2826993e-05,7.798322e-05,0.00024250602,0.00068645785,0.0017687865,0.0041486504,0.008857437,0.017213883,0.03045228,0.04903777,0.07188054,0.09590952,0.11648826,0.12878712,0.12960823,0.11873055,0.09900622,0.07515056,0.051924426
19,Nikita Mazepin,2.2259264e-06,9.47705e-06,3.643445e-05,0.000126481,0.0003964731,0.0011222204,0.002868255,0.006619617,0.01379504,0.025959037,0.044109236,0.06767775,0.09376431,0.11730179,0.13250944,0.1351651,0.12449665,0.103544235,0.07776242,0.052733753
