Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.1483397,0.13096255,0.11390188,0.097545914,0.08230648,0.068545334,0.056506105,0.04628369,0.037836786,0.031026931,0.02566253,0.021535393,0.018446159,0.01622057,0.014719039,0.01384189,0.01353236,0.0137796225,0.01462372,0.009127774
1,Max Verstappen,0.018770166,0.028564785,0.040665355,0.0541313,0.06741489,0.0786898,0.086335815,0.08937477,0.087685764,0.08194409,0.07334644,0.06325128,0.05286835,0.043079,0.034397356,0.027028589,0.020966215,0.01608567,0.01221381,0.0034886242
2,Charles Leclerc,0.10546905,0.101431474,0.09577223,0.08874127,0.080739,0.07225783,0.06379474,0.055773117,0.048500206,0.042162403,0.03684413,0.032555826,0.029262666,0.02691106,0.025452254,0.024862727,0.025162771,0.026434982,0.028845685,0.032684274
3,Pierre Gasly,0.09059807,0.091319114,0.08998711,0.0866513,0.0815828,0.07523552,0.06815578,0.060880665,0.053863145,0.04743776,0.041819096,0.03711928,0.03337385,0.030570438,0.028676925,0.027666062,0.027536348,0.028329132,0.03014381,0.08293545
4,Fernando Alonso,0.08202388,0.08534612,0.08654107,0.08547833,0.08228814,0.0773461,0.071189135,0.06440286,0.057524264,0.050984252,0.04508771,0.040019684,0.035866566,0.03264478,0.03033136,0.0288917,0.028302029,0.028565943,0.02972603,0.003998859
5,Sergio Perez,0.12480916,0.121216536,0.11479303,0.10595165,0.09536542,0.08385661,0.072243944,0.061210353,0.05123258,0.042574547,0.035321098,0.02942763,0.024769679,0.021185393,0.018507611,0.016584815,0.015292463,0.014536981,0.014255151,0.0068995855
6,Lando Norris,0.17001806,0.14232734,0.11730731,0.09514928,0.0759945,0.05987246,0.046665397,0.036118302,0.027884485,0.021581704,0.016838146,0.013321241,0.01075089,0.008902266,0.007602552,0.0067246505,0.006180049,0.0059122,0.005891319,0.07315336
7,Lance Stroll,0.018548276,0.025177797,0.032710966,0.040656548,0.04837062,0.055184744,0.06054765,0.0641295,0.065862685,0.065921426,0.06465726,0.062512636,0.059935674,0.057316188,0.054952797,0.053048346,0.05172297,0.051032685,0.05098434,0.03759248
8,Yuki Tsunoda,0.014068283,0.02053698,0.02844638,0.037369117,0.046585027,0.055207696,0.06237744,0.06744838,0.07010839,0.07040572,0.06868832,0.06548644,0.06137913,0.056885026,0.052399796,0.04817973,0.04435703,0.040968217,0.037983004,0.1065444
9,Sebastian Vettel,0.024525559,0.03156853,0.039056793,0.046424303,0.05304611,0.058370464,0.062032413,0.063910455,0.06411966,0.06295949,0.060838696,0.0581974,0.055442106,0.052904822,0.050829586,0.04938017,0.048659023,0.048727315,0.049619302,0.0054952083
10,Lewis Hamilton,0.009714622,0.015444075,0.023106307,0.03251855,0.043074183,0.053797256,0.06353524,0.07122339,0.07612412,0.077964775,0.07693943,0.07359192,0.068635575,0.06277889,0.05660692,0.050531905,0.044798374,0.03951691,0.03470549,0.008144597
11,Esteban Ocon,0.044058394,0.053889938,0.06315641,0.07088552,0.07623956,0.078715205,0.07824318,0.075159825,0.07008336,0.0637556,0.05689766,0.050107066,0.043806616,0.038240504,0.033504028,0.029587539,0.02641918,0.02389745,0.021911735,0.10314022
12,George Russell,0.0030443112,0.005308688,0.008732554,0.013544154,0.019818524,0.027407642,0.03592591,0.04480442,0.053401027,0.061133433,0.06759368,0.0726086,0.076231025,0.07867642,0.08023664,0.081201725,0.081805415,0.08219526,0.082419485,0.025950063
13,Mick Schumacher,0.0007657511,0.0015580552,0.0029715085,0.0053096986,0.008894362,0.013992101,0.020731445,0.02903995,0.03862965,0.04904432,0.0597582,0.07029163,0.08029979,0.08960595,0.098178744,0.106073044,0.11335997,0.120061815,0.12609886,0.07163081
14,Nicholas Latifi,0.0011056522,0.002203104,0.004108536,0.0071676183,0.01170446,0.017922089,0.02580719,0.03507922,0.0452121,0.055531476,0.06535844,0.07414786,0.081571184,0.08752332,0.09206739,0.095352456,0.09753533,0.09872327,0.09894076,0.015734417
15,Antonio Giovinazzi,0.00048315403,0.0010574869,0.0021568297,0.004097394,0.0072544427,0.011991567,0.018560026,0.02699936,0.037079975,0.048319276,0.06007515,0.071683474,0.08258478,0.092394315,0.10090226,0.10802291,0.113723524,0.1179581,0.12061981,0.12140875
16,Kimi Raikkonen,0.0010901557,0.0021291247,0.0039054526,0.0067251143,0.010877732,0.016556153,0.02378031,0.032355964,0.041889813,0.051863793,0.061747573,0.07111017,0.07969056,0.087408274,0.094322465,0.10056425,0.10626689,0.11150688,0.11625867,0.12035651
17,Nikita Mazepin,4.692933e-05,0.0001431496,0.0003973357,0.001003107,0.0023046844,0.0048275054,0.0092456015,0.016251396,0.026334675,0.039539497,0.05530935,0.07250811,0.08961942,0.10503951,0.117350355,0.12550075,0.12888385,0.12733987,0.121119656,0.17160477
18,Daniel Ricciardo,0.14252082,0.13981523,0.13228297,0.12064978,0.10613905,0.09022391,0.07432257,0.05955438,0.04662724,0.035849474,0.027217058,0.020524425,0.015466067,0.011713179,0.008961935,0.006956815,0.0054961694,0.004427666,0.0036393595,0.000109785266
