,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.007757587,0.012453239,0.01900966,0.027593246,0.03808618,0.049988266,0.062388603,0.07404207,0.08355802,0.08966731,0.09149899,0.088783994,0.08191991,0.071875446,0.05996636,0.04757418,0.035889804,0.025745844,0.017562218,0.014639161
1,Sergio Perez,0.05374775,0.066120274,0.07741246,0.08625597,0.09146805,0.092310615,0.08866168,0.08104424,0.07050346,0.058371462,0.045993123,0.034489516,0.02461406,0.016717887,0.010806413,0.0066478867,0.0038921346,0.0021686722,0.0011500116,0.08762439
2,Charles Leclerc,0.03959997,0.047942664,0.055922642,0.06284799,0.06805079,0.07099262,0.071356125,0.06910153,0.06447362,0.05795818,0.050197896,0.041888457,0.033677638,0.026087163,0.0194693,0.01399948,0.009698659,0.0064736577,0.004163184,0.18609841
3,Carlos Sainz,0.0035709532,0.006127245,0.010009949,0.015569818,0.023057945,0.03251192,0.043646555,0.05578818,0.0678922,0.0786652,0.086782195,0.09115149,0.091155335,0.08679318,0.07868178,0.06791224,0.055809356,0.04366679,0.032529756,0.02867787
4,Daniel Ricciardo,0.06511651,0.07553539,0.083649576,0.08843636,0.08925897,0.08600563,0.079114445,0.06947661,0.058247235,0.046619307,0.03562135,0.025984166,0.018095113,0.012030056,0.0076353285,0.004626384,0.0026761452,0.0014778542,0.00077912584,0.14961442
5,Lando Norris,0.08557345,0.09004816,0.09160527,0.090089895,0.085652806,0.078725785,0.06995235,0.060089353,0.049900245,0.04006064,0.031091584,0.023328014,0.016920866,0.011865266,0.008043442,0.0052712844,0.0033396513,0.002045481,0.0012111552,0.15518534
6,Pierre Gasly,0.032004487,0.04170998,0.052051038,0.06219839,0.07116874,0.0779758,0.08180703,0.08218298,0.079055764,0.07281911,0.064227,0.054243833,0.04386754,0.0339701,0.025188966,0.01788482,0.012159596,0.007916152,0.004934794,0.082633816
7,Valtteri Bottas,0.06969705,0.07791526,0.08351783,0.085838914,0.08459364,0.07993551,0.07242531,0.06292009,0.052412737,0.04186324,0.032061026,0.023543473,0.01657723,0.011191851,0.007245034,0.0044970466,0.0026764732,0.0015273795,0.000835756,0.18872507
8,Yuki Tsunoda,0.010946682,0.017114421,0.025392633,0.035753526,0.047774475,0.06058128,0.07290325,0.08325706,0.090232044,0.092803925,0.09058112,0.08390245,0.07375259,0.061524183,0.04870571,0.036591467,0.026088282,0.017651303,0.011333754,0.013109805
9,Esteban Ocon,0.021363948,0.029643964,0.039217975,0.049468394,0.05949282,0.068217404,0.07457956,0.077738896,0.077259324,0.073207796,0.06613901,0.056970768,0.046788633,0.036637224,0.027352605,0.019470125,0.013213955,0.008550487,0.005275248,0.14941184
10,Antonio Giovinazzi,9.091267e-05,0.00025937887,0.00068119087,0.0016467441,0.0036644307,0.007506038,0.014152661,0.024563424,0.03924305,0.057711225,0.07812339,0.09734763,0.11165877,0.11789184,0.11457716,0.10250276,0.084410526,0.0639854,0.04464663,0.035336826
11,Lance Stroll,0.012676536,0.018794233,0.026622586,0.03603106,0.046591315,0.057561792,0.06794618,0.07662966,0.0825715,0.085008934,0.08361812,0.07858462,0.07056282,0.06053624,0.04961995,0.038859624,0.029076507,0.020786772,0.0141981905,0.043723334
12,Nicholas Latifi,0.0024992854,0.0043832376,0.0073165866,0.011624003,0.017576672,0.025295982,0.034649763,0.045173384,0.056053028,0.066198654,0.07441035,0.07960699,0.08105931,0.078557655,0.07246159,0.06361523,0.053155508,0.042273585,0.03199809,0.15209101
13,Kimi Raikkonen,0.0011816296,0.0022786565,0.004161856,0.0071995575,0.011796001,0.01830519,0.026904443,0.037452817,0.04938047,0.061664693,0.07293368,0.08170156,0.08668481,0.08710959,0.082908556,0.07473831,0.0638113,0.051601507,0.03952188,0.13866349
14,Mick Schumacher,3.069843e-05,0.00010036248,0.0002995356,0.0008161062,0.002029864,0.0046090195,0.0095537,0.018078234,0.031229284,0.049248092,0.07089869,0.093176976,0.11178934,0.122437246,0.12241885,0.11173893,0.09310693,0.07082412,0.04918149,0.038432498
15,Nikita Mazepin,2.8634618e-06,1.2885277e-05,5.1775263e-05,0.00018576869,0.0005951751,0.0017027003,0.004349638,0.009921771,0.020209074,0.036755737,0.059693232,0.08656583,0.112095706,0.1296143,0.13382524,0.123379916,0.10157158,0.07466573,0.04901078,0.055790346
16,Sebastian Vettel,0.012724554,0.017497119,0.023140425,0.029434567,0.036010165,0.04237149,0.047951665,0.052193325,0.054639585,0.05501501,0.053276565,0.04962181,0.044451866,0.038299125,0.031737216,0.025294742,0.019389767,0.014295408,0.010136819,0.3425187
17,Fernando Alonso,0.020203035,0.026564723,0.03350856,0.040547892,0.047069833,0.052417804,0.055998556,0.057390064,0.056423284,0.053215984,0.048149012,0.041792154,0.034798775,0.027796812,0.021300403,0.015658224,0.011042292,0.007470295,0.004848171,0.34380406
