,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.017637247,0.02298106,0.02901905,0.035511557,0.04211431,0.048401996,0.05391013,0.058190346,0.060870264,0.061706778,0.060622517,0.05771766,0.05325459,0.04761884,0.041264273,0.034653176,0.028202347,0.022243408,0.01700163,0.2070788
1,Sergio Perez,0.010931881,0.015190149,0.020364491,0.026340844,0.03287234,0.039580043,0.045979716,0.051534854,0.055728912,0.05814395,0.05852928,0.05684424,0.05326531,0.048155632,0.04200435,0.03534973,0.028702697,0.022485571,0.016995328,0.28100067
2,Lando Norris,0.0039398395,0.0063371477,0.009731349,0.014266435,0.019967416,0.026680369,0.034034993,0.041449845,0.048193,0.05349444,0.056688756,0.05735204,0.055394236,0.051079158,0.044966247,0.037791423,0.030322405,0.023227233,0.016986156,0.36809748
3,Lewis Hamilton,0.019674389,0.025172342,0.031205216,0.037481077,0.043619227,0.049184125,0.053734496,0.05688038,0.0583382,0.057972852,0.055818405,0.052072864,0.047068078,0.0412214,0.034978427,0.028758012,0.022908598,0.017681513,0.013222747,0.2530077
4,George Russell,0.022342503,0.02867472,0.035605222,0.042773582,0.04971466,0.055903688,0.060819615,0.0640168,0.065191545,0.064229704,0.061224826,0.05646332,0.05037934,0.043489616,0.036321674,0.029348997,0.022943921,0.017353592,0.012698669,0.18050401
5,Daniel Ricciardo,0.0024674684,0.0041642683,0.006693137,0.010245301,0.0149356425,0.020736098,0.02741788,0.034525886,0.041405667,0.047291,0.05144005,0.053287826,0.052572526,0.049396195,0.044201013,0.03766819,0.03057182,0.023630448,0.017395077,0.42995456
6,Esteban Ocon,0.009638088,0.013679045,0.018687662,0.024574742,0.03110695,0.03790186,0.044452704,0.05018459,0.054535203,0.057045076,0.057437297,0.055667825,0.05193369,0.04663678,0.04031276,0.03354217,0.026864218,0.020710561,0.015368944,0.30971986
7,Carlos Sainz,0.035871733,0.043354142,0.05074712,0.05753002,0.06316554,0.06716893,0.06917658,0.0690005,0.066657305,0.062365726,0.056512766,0.049596343,0.042155582,0.034702685,0.027667735,0.021364193,0.015977241,0.011572303,0.008117837,0.14729571
8,Pierre Gasly,0.0021663632,0.003784028,0.0062723057,0.009866193,0.014727269,0.020861443,0.02804248,0.035771597,0.0433022,0.04974295,0.054225408,0.056094974,0.05506744,0.05129979,0.045350946,0.038045786,0.030288434,0.022882158,0.01640464,0.41580358
9,Valtteri Bottas,0.008154095,0.01219078,0.017486816,0.024066525,0.031778935,0.040261414,0.04893976,0.057076614,0.063867204,0.068567924,0.07062975,0.06980358,0.06618981,0.060218234,0.05256399,0.044022247,0.035373595,0.027271556,0.020172698,0.1813645
10,Yuki Tsunoda,0.003993277,0.0066678952,0.010586169,0.015980098,0.022935657,0.03129924,0.04061135,0.050101645,0.058768857,0.0655441,0.06950417,0.07007757,0.06717969,0.061233327,0.053067513,0.043728095,0.03425967,0.025520945,0.018075949,0.25086477
11,Zhou Guanyu,0.003775672,0.0061273254,0.00948702,0.014014299,0.01975129,0.026558401,0.03407148,0.04170253,0.048698585,0.054256644,0.057672907,0.05848889,0.056592304,0.052242484,0.04601218,0.03866379,0.030996911,0.023709087,0.01730191,0.35987625
12,Mick Schumacher,0.004559175,0.0070978166,0.010584842,0.015120447,0.020690253,0.027119888,0.034051064,0.040953822,0.0471823,0.052069638,0.0550441,0.05573884,0.054066207,0.05023598,0.044712048,0.0381202,0.031131975,0.024354478,0.018250389,0.36891648
13,Kevin Magnussen,0.0077196183,0.011616591,0.01673923,0.02309756,0.03051902,0.038614366,0.046784405,0.05427842,0.060301356,0.06415062,0.065350406,0.06374847,0.059547722,0.053264048,0.045622304,0.037419155,0.029388996,0.022102898,0.015917972,0.2538169
14,Sebastian Vettel,0.008204212,0.012148646,0.017272929,0.023580402,0.030908894,0.03890119,0.04700988,0.054545965,0.06076916,0.065005615,0.066767566,0.06584569,0.062349968,0.05668814,0.049487464,0.041480634,0.03338431,0.025798047,0.019141592,0.2207097
15,Nicholas Latifi,0.000611368,0.0013577464,0.0028091297,0.0054145404,0.009722732,0.016264929,0.025348512,0.036803566,0.049781073,0.06273001,0.073641606,0.080539346,0.082059674,0.07789119,0.06887852,0.056743488,0.043549705,0.031138048,0.020741215,0.25397357
