,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Sergio Perez,0.06541693,0.07671567,0.086259656,0.092995346,0.09612677,0.09527028,0.090531595,0.08248457,0.07205683,0.060354166,0.04846958,0.03732166,0.02755385,0.01950446,0.013237776,0.008614416,0.005374853,0.003217266,0.01498178,0.0035125925
1,Max Verstappen,0.077600956,0.09601601,0.11085763,0.1194353,0.12007294,0.112642646,0.098606534,0.08054783,0.061397042,0.0436703,0.028984793,0.01795145,0.010374665,0.0055949213,0.0028155227,0.0013221152,0.0005793287,0.00024574867,0.009155431,0.0021287906
2,Carlos Sainz,0.04891268,0.057526942,0.06552882,0.07229439,0.07724816,0.07994346,0.08012884,0.077786826,0.07313657,0.0666,0.05873881,0.050174978,0.04151076,0.03326176,0.025813164,0.019402072,0.014124288,0.009958565,0.043388322,0.004520533
3,George Russell,0.044245787,0.052197933,0.059696846,0.06618601,0.07113736,0.07412183,0.07487059,0.073315054,0.06959721,0.06404824,0.057139877,0.049418356,0.041433733,0.033677228,0.026536005,0.020269895,0.015010125,0.010775407,0.09126334,0.005059214
4,Pierre Gasly,0.0027735312,0.0046881763,0.007565078,0.011653657,0.017137598,0.024058955,0.032243535,0.041252248,0.050383896,0.058745526,0.06538784,0.06947974,0.070478804,0.068249255,0.063092284,0.055679306,0.04690839,0.037726454,0.25126544,0.02123022
5,Lewis Hamilton,0.033836454,0.04076748,0.047761504,0.054409806,0.06027144,0.06492037,0.06799637,0.069250904,0.068580456,0.06604051,0.061838016,0.056303564,0.049848408,0.042914286,0.03592424,0.029242096,0.023145389,0.017813766,0.09943334,0.009701598
6,Yuki Tsunoda,0.0028307785,0.004829009,0.007844892,0.01213647,0.017880304,0.025086131,0.033517305,0.04264631,0.051673803,0.05962604,0.06552066,0.06856418,0.06832706,0.0648433,0.058602225,0.0504359,0.041337304,0.032264218,0.27505916,0.016974974
7,Sebastian Vettel,0.003098545,0.004993221,0.0077267434,0.011481647,0.01638342,0.022449011,0.029538078,0.037321527,0.045282368,0.05275834,0.059026286,0.06341503,0.06542312,0.06481307,0.061657574,0.056325186,0.04940957,0.04162094,0.2811251,0.026151149
8,Fernando Alonso,0.010235713,0.0147533845,0.020519117,0.027537163,0.035659347,0.044557527,0.05372324,0.062502444,0.07016576,0.076005846,0.07944424,0.08012557,0.07797825,0.07322669,0.066352725,0.058015194,0.04894611,0.039846316,0.036680244,0.023725143
9,Lando Norris,0.02748161,0.0339917,0.04082298,0.04760337,0.053897936,0.059252646,0.06324768,0.06555151,0.06596629,0.0644559,0.06115112,0.05633101,0.05038389,0.04375598,0.036896408,0.030208705,0.024014939,0.018536683,0.14634001,0.010109664
10,Daniel Ricciardo,0.01737929,0.022912577,0.029318757,0.036412213,0.04389126,0.05134979,0.058308143,0.06426127,0.06873835,0.07136392,0.07190978,0.07032778,0.0667568,0.06150265,0.054994825,0.047728688,0.040203795,0.032868817,0.06968464,0.020086642
11,Esteban Ocon,0.015128177,0.020942498,0.027914185,0.035824154,0.04426714,0.052667335,0.06033312,0.066546425,0.07067214,0.07226468,0.0711473,0.06744432,0.061558325,0.05409817,0.04577548,0.0372939,0.029254803,0.022095874,0.13352066,0.0112512885
12,Zhou Guanyu,0.0041753184,0.006577129,0.009951993,0.014464731,0.020194706,0.027082685,0.034887716,0.0431698,0.05131147,0.058583543,0.06424861,0.06768283,0.06848888,0.06657151,0.06215608,0.055744957,0.048023544,0.039740182,0.23282526,0.024119113
13,Valtteri Bottas,0.02044047,0.026758522,0.03385959,0.041414205,0.048962668,0.055953756,0.061807547,0.06599363,0.06810998,0.0679466,0.06551984,0.061069746,0.055020895,0.04791565,0.040334385,0.032818716,0.025811654,0.019622684,0.1503975,0.010242074
14,Kevin Magnussen,0.0039201025,0.0065920386,0.010551452,0.016075883,0.023313496,0.032181796,0.04228469,0.05288423,0.06295631,0.07133827,0.076944195,0.07899496,0.07719567,0.07180531,0.06357558,0.053578943,0.042980183,0.032818016,0.16350783,0.016501013
15,Alexander Albon,0.00081573566,0.0016083213,0.0030021002,0.0053052693,0.008876032,0.014059174,0.02108289,0.029931597,0.040230818,0.0511938,0.061674446,0.07034325,0.07595724,0.07765065,0.075153716,0.0688629,0.05973784,0.049061745,0.2573711,0.02808138
16,Nicholas Latifi,0.00026856008,0.00060766604,0.001292521,0.0025843987,0.0048577017,0.008583242,0.014256775,0.022260783,0.03267449,0.045084428,0.05847817,0.07130339,0.08172893,0.08806244,0.08919799,0.08493145,0.07602061,0.06396519,0.21622157,0.037619747
17,Lance Stroll,0.0009998877,0.0019480155,0.0035968968,0.006294451,0.0104395775,0.016409757,0.024446467,0.03451633,0.046187848,0.05857676,0.0704073,0.080205575,0.08659362,0.08860576,0.08592759,0.0789765,0.06879511,0.056795254,0.14732344,0.03295373
18,Mick Schumacher,0.0011096086,0.0020839435,0.0037211282,0.006317354,0.010196897,0.01564852,0.02283235,0.0316738,0.041775525,0.05238608,0.06245715,0.070797935,0.07630115,0.07818328,0.07616736,0.07054985,0.062129166,0.052019615,0.23230734,0.031342026
