,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Sergio Perez,0.048300587,0.11621842,0.18961157,0.2097714,0.15741003,0.0802292,0.028043043,0.007293878,0.0024946274,0.0025505256,0.0038597991,0.0057883044,0.008281063,0.011281159,0.014632775,0.018071927,0.021251371,0.023794359,0.025366805,0.025749117
1,Fernando Alonso,0.02525046,0.03297179,0.04148245,0.050284583,0.05872918,0.06608785,0.07165358,0.07485189,0.07533836,0.073059745,0.068263546,0.061453722,0.05330352,0.04454638,0.035868842,0.0278273,0.020800471,0.014980428,0.09629615,0.0069497875
2,Lewis Hamilton,0.04987309,0.06642916,0.08184223,0.09326575,0.09830893,0.0958495,0.08643961,0.07210442,0.055633582,0.039704356,0.026209898,0.01600368,0.00904029,0.004763205,0.0028429558,0.0053644017,0.019634232,0.04870695,0.070145555,0.057838198
3,George Russell,0.052236315,0.07411422,0.09452034,0.10835369,0.11164953,0.10341057,0.086092964,0.0644266,0.043336865,0.026202608,0.014240599,0.0069582607,0.0030802859,0.0014784385,0.0023340697,0.008860182,0.026177363,0.05128562,0.06585983,0.055381604
4,Alexander Albon,9.6515025e-05,0.0002468221,0.00058697304,0.0012980669,0.0026694427,0.0051049246,0.009078264,0.015012778,0.023086833,0.033015076,0.04390413,0.05429291,0.06243467,0.06676569,0.06639355,0.06139644,0.05279652,0.042219434,0.4378909,0.02171006
5,Daniel Ricciardo,0.019583326,0.025629275,0.032447543,0.039739545,0.04708246,0.053962383,0.059829928,0.06417137,0.066582434,0.06683031,0.06489075,0.060951926,0.055384424,0.048683688,0.04139753,0.03405346,0.027098373,0.020860313,0.15963005,0.011190834
6,Lance Stroll,0.00042128246,0.0009145554,0.0018628039,0.0035599617,0.006383293,0.010739026,0.016951425,0.025105478,0.034886032,0.045483693,0.05563918,0.06385969,0.0687692,0.06948355,0.06587051,0.05858966,0.048895847,0.038286336,0.36490968,0.019388782
7,Sebastian Vettel,0.0030251858,0.005169943,0.008409412,0.0130194295,0.019185094,0.02690807,0.035920884,0.045641292,0.055196922,0.06353574,0.06960932,0.07258769,0.07204513,0.068060085,0.0611965,0.052372918,0.042661197,0.033075448,0.23523666,0.0171431
8,Nicholas Latifi,7.098298e-05,0.0001896202,0.00047016723,0.0010820753,0.0023115324,0.0045833183,0.00843524,0.014409606,0.022847781,0.03362587,0.045934647,0.058243107,0.068546616,0.07487985,0.07592438,0.07145537,0.062420294,0.050612077,0.37734875,0.026608665
9,Kevin Magnussen,0.0024762324,0.0046708887,0.008259971,0.013693926,0.021283757,0.03101268,0.042364396,0.05425417,0.065138265,0.07331788,0.07736674,0.07653661,0.07098308,0.061717916,0.050308146,0.038444664,0.027542572,0.0184988,0.25525337,0.006875964
10,Valtteri Bottas,0.015043129,0.021571264,0.029549476,0.038668785,0.048340153,0.05772874,0.06585869,0.07177459,0.07472485,0.07431836,0.07060962,0.06408676,0.055566054,0.046024334,0.03641682,0.027526649,0.019876568,0.013710909,0.16291668,0.0056875567
11,Max Verstappen,0.33376667,0.42149833,0.15545547,0.017026328,0.0010247885,0.0007222473,0.0010022525,0.0013674583,0.0018223241,0.0023719582,0.0030154844,0.0037443547,0.0045411508,0.0053792824,0.0062237447,0.0070331297,0.0077627315,0.008368553,0.008811608,0.009062104
12,Charles Leclerc,0.09117496,0.12428691,0.1467,0.14993043,0.13267967,0.10166557,0.067452684,0.038751505,0.019281378,0.008329761,0.0032100985,0.00140029,0.0014739594,0.0030874265,0.0064854864,0.011757214,0.018098105,0.023617515,0.026123982,0.02449297
13,Esteban Ocon,0.026138468,0.0351699,0.045185,0.055430647,0.06492885,0.07262027,0.077555075,0.079085164,0.07700377,0.07159144,0.063553974,0.053871177,0.04360163,0.033696212,0.024865182,0.017520022,0.011787175,0.007572115,0.13610354,0.0027203776
14,Lando Norris,0.03283339,0.043147713,0.054072924,0.06462221,0.073648505,0.080043465,0.082959846,0.08199549,0.07728441,0.06946626,0.059543714,0.048671853,0.037940234,0.02820342,0.01999327,0.01351592,0.008713399,0.005356852,0.11623132,0.0017558839
15,Zhou Guanyu,0.0021471702,0.0038020993,0.0063874037,0.010180507,0.015394278,0.02208478,0.03005878,0.03881448,0.0475511,0.05526774,0.060943455,0.06375684,0.06328062,0.059588045,0.05323432,0.04511996,0.036281902,0.027679326,0.34467027,0.013756867
16,Mick Schumacher,0.0025925564,0.0046147048,0.0077864453,0.012454131,0.01888283,0.027139382,0.036975335,0.047753323,0.05846209,0.067846,0.0746369,0.0778327,0.07693958,0.07209696,0.06404177,0.053924847,0.043042134,0.032567024,0.2045301,0.015881237
