,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.107722834,0.13797878,0.15663762,0.1576011,0.14054056,0.11107682,0.07780805,0.04830641,0.026580589,0.012962939,0.005603013,0.0021464427,0.0007287792,0.0002193071,5.8626883e-05,2.4975925e-05,0.00029230196,0.0023809874,0.006204801,0.005125018
1,Charles Leclerc,0.061617758,0.08196684,0.10080012,0.11459735,0.120442264,0.11702373,0.105113745,0.08728425,0.06700434,0.04755112,0.03119673,0.018921182,0.01060909,0.0054991883,0.0026351772,0.001167379,0.00047823452,0.0007359106,0.019186595,0.0061690034
2,Sergio Perez,0.06191961,0.08821251,0.113166,0.1307331,0.13600005,0.12740205,0.107472576,0.081639946,0.055845946,0.034400456,0.019081876,0.009531506,0.0042873174,0.0017365755,0.0006334271,0.0002129347,0.00038093078,0.0045253974,0.013755889,0.009061928
3,Lewis Hamilton,0.04233841,0.05132525,0.060117148,0.06803564,0.07439528,0.07860042,0.08023711,0.07914006,0.07542031,0.0694466,0.061785202,0.0531115,0.044112686,0.035400495,0.027448948,0.020564245,0.014885757,0.010411908,0.048312616,0.0049103466
4,Lando Norris,0.029955035,0.037849978,0.046179034,0.054401055,0.061880384,0.06796447,0.072076574,0.07380564,0.07297402,0.0696675,0.06422075,0.057161544,0.049126487,0.040767178,0.032665458,0.02527262,0.018879697,0.013618311,0.105155595,0.006378651
5,Fernando Alonso,0.016197393,0.02230385,0.029596733,0.037847433,0.046639968,0.05538715,0.06338533,0.06990327,0.07429083,0.07608551,0.07509266,0.071420394,0.06545998,0.057817396,0.049211897,0.040365532,0.031906575,0.02430405,0.08016401,0.012620101
6,George Russell,0.051569074,0.064319216,0.0763824,0.08636683,0.09298261,0.09531421,0.0930282,0.08645156,0.07649483,0.06444547,0.05169565,0.039483573,0.028713107,0.019881302,0.013107227,0.008227688,0.004917519,0.0028255922,0.04211773,0.0016761457
7,Zhou Guanyu,0.0043540415,0.0070464103,0.010900993,0.016120821,0.022789301,0.030796248,0.039782107,0.049124744,0.05798771,0.06543263,0.070579045,0.072774634,0.07173106,0.06758609,0.060873788,0.052411467,0.043136515,0.03393804,0.20428424,0.018350124
8,Nicholas Latifi,0.00014003372,0.00034476622,0.0007928844,0.0017032913,0.003417917,0.0064066024,0.011217279,0.018345961,0.028027685,0.039997026,0.053316504,0.06638792,0.07721651,0.08389281,0.08513987,0.08071134,0.071471006,0.059117857,0.27938583,0.032966834
9,Pierre Gasly,0.004476741,0.007462725,0.011822818,0.017800512,0.025470193,0.0346354,0.0447606,0.05497434,0.06416705,0.07117907,0.07503788,0.07517908,0.07158159,0.06477299,0.055702493,0.04552431,0.03535903,0.026100287,0.20178613,0.012206737
10,Valtteri Bottas,0.023701292,0.030961493,0.039004147,0.047384772,0.055514447,0.06272087,0.068337224,0.07180285,0.07275539,0.07109313,0.06699297,0.060879327,0.053351868,0.045088768,0.03674737,0.028881738,0.021890685,0.01600053,0.119224556,0.0076665883
11,Yuki Tsunoda,0.0019498792,0.0036952393,0.006608014,0.011150435,0.017754387,0.02667551,0.037819203,0.0505947,0.06386905,0.076079704,0.08551456,0.09069939,0.090774,0.08572576,0.076393135,0.064237714,0.05097047,0.038162794,0.1033514,0.017974714
12,Daniel Ricciardo,0.017139915,0.022946516,0.0297096,0.03720047,0.045047633,0.052755427,0.05974949,0.06544447,0.06932399,0.07101757,0.070359044,0.06741334,0.06246597,0.055977434,0.048512567,0.040659983,0.032957315,0.025835002,0.11112484,0.014359419
13,Esteban Ocon,0.020457618,0.027217006,0.03487892,0.043054935,0.051194113,0.058634672,0.06468835,0.06874403,0.07036897,0.06938485,0.0659,0.060289733,0.05312985,0.045099437,0.03687574,0.029043421,0.022033932,0.016101765,0.15521768,0.007685079
14,Alexander Albon,0.00037453015,0.0008212613,0.0016913909,0.0032717108,0.005943932,0.010142404,0.016254604,0.024466949,0.034590084,0.045929484,0.05727954,0.067092784,0.07381086,0.07626634,0.074013956,0.067462526,0.05775369,0.046437096,0.31152323,0.024873693
15,Kevin Magnussen,0.0018600331,0.0035793716,0.0064852103,0.0110629685,0.017768485,0.026869519,0.03825603,0.051282696,0.06472506,0.07691391,0.086053416,0.090648785,0.0899056,0.083954155,0.07381226,0.061100613,0.047620412,0.03494394,0.117453136,0.015704397
16,Sebastian Vettel,0.004273039,0.0068326844,0.010463896,0.0153477,0.021559617,0.02900591,0.037374873,0.046123337,0.054514166,0.061708633,0.06690062,0.06946437,0.06907834,0.06579144,0.06001292,0.052428532,0.04386707,0.035152573,0.23026961,0.019830687
17,Mick Schumacher,0.00046318903,0.0009767963,0.0019414857,0.0036370412,0.0064216545,0.0106863575,0.01676087,0.024776941,0.03452097,0.04533174,0.056105603,0.06544766,0.071955875,0.07456285,0.07282209,0.06703287,0.058156297,0.047554307,0.3142242,0.026621265
18,Lance Stroll,0.0008483471,0.0016798772,0.0031438742,0.005560788,0.009295895,0.014686879,0.021930661,0.03094976,0.041280653,0.052037872,0.061997753,0.06980974,0.07429159,0.07472174,0.07102934,0.06381346,0.054183923,0.04348226,0.28161559,0.023639936
