,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Fernando Alonso,0.012872024,0.0183007,0.025062542,0.03306125,0.042009786,0.051418353,0.060620915,0.068843625,0.075308084,0.07935168,0.08053923,0.07873999,0.07415153,0.06726384,0.05877326,0.049466897,0.040103875,0.03131804,0.035724767,0.017069526
1,Carlos Sainz,0.042595394,0.053809356,0.0650187,0.07514579,0.08307236,0.087840356,0.0888418,0.08594611,0.0795281,0.07038835,0.05958907,0.048252292,0.03737274,0.027687116,0.019619413,0.013297807,0.00862104,0.0053492943,0.046045028,0.001979981
2,Lewis Hamilton,0.037947427,0.04536842,0.052692875,0.059453424,0.06516715,0.069391675,0.07178155,0.072134875,0.07042134,0.06678675,0.061532315,0.055073503,0.047886074,0.040448505,0.033191185,0.026458776,0.020490076,0.015415019,0.08036016,0.007998859
3,Kevin Magnussen,0.0020044714,0.003692815,0.0064274548,0.010569246,0.016419973,0.024100423,0.033419542,0.043782443,0.05419049,0.06336798,0.070006795,0.07306917,0.072052956,0.06712634,0.059082348,0.049129944,0.038597412,0.02864798,0.27100357,0.013308722
4,Mick Schumacher,0.0006985508,0.0014118275,0.0026971474,0.0048704264,0.008313204,0.013412489,0.020454528,0.02948552,0.040176075,0.05174465,0.062994495,0.07249015,0.07884874,0.08106806,0.07878508,0.072373174,0.062842056,0.051577758,0.23641309,0.029342989
5,Esteban Ocon,0.014995014,0.020947587,0.028108118,0.036227666,0.0448497,0.053332206,0.06091583,0.06683156,0.07042772,0.07128801,0.06931066,0.06472828,0.05806294,0.05002816,0.041403864,0.0329138,0.025131915,0.018432489,0.16327752,0.008786845
6,George Russell,0.047489822,0.057488475,0.06695647,0.0750301,0.08089282,0.083910376,0.083743796,0.080412,0.07428831,0.06603153,0.056469448,0.046462998,0.03678171,0.02801484,0.02052937,0.014474194,0.009818484,0.006408051,0.06236479,0.0024324039
7,Daniel Ricciardo,0.016544834,0.022175563,0.028770916,0.03613258,0.043924935,0.051688008,0.05887558,0.0649153,0.06928285,0.07157658,0.07157855,0.06928853,0.06492419,0.058886822,0.051700726,0.043938134,0.03614542,0.028782703,0.09431437,0.01655342
8,Zhou Guanyu,0.0024303966,0.0041957363,0.006905488,0.010835171,0.016208105,0.02311445,0.03142609,0.040733512,0.050334826,0.059298065,0.06659895,0.07130983,0.07279248,0.070840016,0.06572428,0.058133755,0.049021408,0.039409272,0.23861882,0.022069301
9,Valtteri Bottas,0.01716038,0.023438063,0.030780897,0.03886918,0.047194783,0.05509947,0.06185367,0.066764876,0.06929398,0.06915243,0.06635659,0.06122451,0.054316435,0.0463342,0.038004678,0.02997345,0.022730093,0.016574115,0.17704424,0.007833983
10,Alexander Albon,0.00048150963,0.0010240143,0.0020495085,0.0038604324,0.0068432926,0.011416593,0.017924653,0.026485462,0.036830455,0.04820023,0.05936546,0.0688115,0.07506386,0.077062555,0.07445582,0.067701176,0.057934426,0.04665731,0.29260778,0.025223965
11,Sergio Perez,0.0686472,0.08924481,0.107273094,0.119219236,0.122503795,0.116385885,0.102234825,0.08303191,0.06235034,0.04328928,0.027788782,0.016493248,0.009050876,0.004592221,0.0021542825,0.00093439454,0.0003757589,0.0009073571,0.015327306,0.008195346
12,Pierre Gasly,0.0045969635,0.007566711,0.011873704,0.01776265,0.025332157,0.034441285,0.0446405,0.05515967,0.06497661,0.07296844,0.07811883,0.07972953,0.07757563,0.07195721,0.063630596,0.053641424,0.043109946,0.03302914,0.14309071,0.016798299
13,Sebastian Vettel,0.0033968943,0.005534384,0.008633821,0.01289684,0.018446354,0.025262965,0.033128746,0.041597955,0.05001335,0.05757665,0.06346784,0.06698962,0.067703046,0.065517224,0.0607085,0.05386295,0.045759097,0.037223004,0.2606576,0.021623174
14,Lance Stroll,0.0008053678,0.0016234809,0.0030898277,0.005552066,0.0094190985,0.015086828,0.022814984,0.0325744,0.043910313,0.055884387,0.06715037,0.07617985,0.08159542,0.082513556,0.07878049,0.07101433,0.06043761,0.048562635,0.21661781,0.026387239
15,Nicholas Latifi,0.0001474734,0.00036504792,0.00084370415,0.0018206829,0.0036684503,0.0069013652,0.012122477,0.01988161,0.030444996,0.043529544,0.058110736,0.07243237,0.08429715,0.09160034,0.092936285,0.088039495,0.077870645,0.064309336,0.21497677,0.03570149
16,Yuki Tsunoda,0.0019358852,0.0035660327,0.006213393,0.010240227,0.015963493,0.02353878,0.032830488,0.043312013,0.05404765,0.06379444,0.071224004,0.07521549,0.07513214,0.070987485,0.06344178,0.053629838,0.042882003,0.03243255,0.243912,0.015700221
