,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.07801705,0.15148179,0.2071842,0.19961655,0.13550828,0.06488608,0.02209205,0.005734618,0.00189389,0.0018825266,0.0029245866,0.004523429,0.0066445,0.009245561,0.012185325,0.015211523,0.017986206,0.020143654,0.021368224,0.02146991
1,Carlos Sainz,0.06100492,0.10619184,0.14786966,0.16471507,0.14678124,0.104656786,0.05975992,0.027467763,0.010500832,0.0040749633,0.002925258,0.004120871,0.006617981,0.010141238,0.014487659,0.01925206,0.023793027,0.027347041,0.029231997,0.02905993
2,Lewis Hamilton,0.04509783,0.06692416,0.08869724,0.10498736,0.1109849,0.10478294,0.08835215,0.06653414,0.044749163,0.02688914,0.0144835515,0.0072153932,0.0041432288,0.00487326,0.010021213,0.020364078,0.034762174,0.048642986,0.05560266,0.051892504
3,Sergio Perez,0.037880596,0.23004904,0.36236748,0.14322275,0.018794125,0.006972603,0.0076669496,0.00872086,0.009825827,0.010963688,0.01211495,0.013257582,0.014367616,0.015419936,0.016389214,0.017250884,0.017982168,0.0185631,0.018977383,0.01921321
4,George Russell,0.057473112,0.08462164,0.10857472,0.121396594,0.118280925,0.10042789,0.07430708,0.04791642,0.026950283,0.013306943,0.0060643353,0.0034154693,0.00412247,0.007947018,0.015161106,0.025505621,0.037230164,0.04705553,0.05148361,0.048759058
5,Lando Norris,0.03545153,0.045718815,0.056388937,0.06651683,0.07504266,0.0809699,0.08355605,0.082465254,0.07784004,0.07027066,0.06067136,0.05009936,0.03956577,0.029884499,0.021587934,0.014914727,0.009855034,0.006228047,0.090786815,0.002185775
6,Mick Schumacher,0.0037598282,0.006262518,0.00995104,0.015084359,0.021813445,0.030092632,0.03960362,0.049721997,0.059552632,0.06804436,0.07416894,0.07712424,0.07650652,0.07240103,0.065362684,0.056292925,0.046250526,0.036250837,0.17242117,0.01933471
7,Yuki Tsunoda,0.0011181415,0.0022762797,0.004354026,0.007825149,0.013213891,0.020965474,0.031254705,0.043778636,0.057616305,0.07124668,0.08277906,0.090367526,0.09269168,0.089331664,0.080892146,0.06882458,0.055019546,0.04132632,0.12577817,0.019339947
8,Pierre Gasly,0.0030915146,0.005457602,0.009131983,0.014483089,0.02177158,0.031020682,0.0418934,0.053625643,0.06506274,0.07482124,0.081554905,0.084257424,0.082508534,0.07658126,0.06737189,0.05617819,0.044400677,0.033261675,0.13763122,0.015894664
9,Esteban Ocon,0.030711865,0.040510233,0.051080305,0.061570555,0.07094517,0.07814537,0.082283795,0.082823895,0.079694346,0.07330438,0.06445592,0.054178394,0.043533146,0.033438303,0.024552695,0.017233932,0.011563795,0.00741772,0.08978102,0.002775157
10,Fernando Alonso,0.029947108,0.038489025,0.047653317,0.05683599,0.065302245,0.07227816,0.07706551,0.07915664,0.07832291,0.07465598,0.068551116,0.060637113,0.05166982,0.042414024,0.033539474,0.025549198,0.018748755,0.0132538425,0.059861396,0.006068384
11,Zhou Guanyu,0.0029800707,0.0049883905,0.007964594,0.012129335,0.01761895,0.02441141,0.03226082,0.04066568,0.04889341,0.05607152,0.061334427,0.06399352,0.06368505,0.060451757,0.05473309,0.04726732,0.03893514,0.030590907,0.3146374,0.016387131
12,Alexander Albon,0.00029409386,0.0006601546,0.0013913914,0.0027535749,0.0051166886,0.0089274,0.014625317,0.022497263,0.032493632,0.04406677,0.056113586,0.06709174,0.07532068,0.07939692,0.07858456,0.073032275,0.06372894,0.052215897,0.29267108,0.029017976
13,Valtteri Bottas,0.015415805,0.021692425,0.029257193,0.037821583,0.0468629,0.055654626,0.06335134,0.06911827,0.072279066,0.07244605,0.069598414,0.06408652,0.056560908,0.047846336,0.038793895,0.03014816,0.022456424,0.01603257,0.1633818,0.0071957386
14,Daniel Ricciardo,0.02020536,0.026334932,0.03324038,0.040631976,0.04809925,0.055141304,0.061218657,0.06582016,0.06853338,0.06910571,0.0674829,0.06381782,0.05844647,0.051837374,0.044524174,0.03703541,0.029833663,0.023273632,0.12255316,0.012864249
15,Kevin Magnussen,0.003978934,0.006898474,0.011314251,0.017554343,0.025764976,0.035773467,0.046987113,0.05838251,0.06862352,0.07630439,0.08026241,0.07986586,0.07517898,0.066944964,0.056393057,0.0449386,0.033876613,0.024158308,0.17639855,0.010400602
16,Sebastian Vettel,0.005593598,0.008649236,0.012829561,0.01825548,0.024918538,0.032628674,0.04098489,0.049385075,0.057084132,0.06329692,0.06732829,0.06870053,0.067246564,0.06314338,0.056876536,0.049145766,0.040736765,0.032391768,0.22272538,0.018078975
17,Nicholas Latifi,9.457377e-05,0.00023855257,0.00056113885,0.0012309181,0.0025180285,0.004803574,0.008545574,0.014177195,0.021933718,0.031645108,0.042576868,0.05342116,0.062506564,0.06820408,0.06940133,0.06585637,0.058277447,0.048092328,0.4193545,0.02656098
