,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.13570422,0.172742,0.18638028,0.17045093,0.13212842,0.086814135,0.048348386,0.022822918,0.00913184,0.003097191,0.0008919195,0.00022816093,0.000104917046,0.00025993408,0.0008299523,0.0021364116,0.0043171127,0.00683998,0.008496564,0.008274802
1,Sergio Perez,0.06661454,0.09416733,0.11891282,0.1341388,0.13516903,0.12167386,0.09783961,0.070279576,0.04509629,0.025849357,0.013236022,0.006055193,0.0024864057,0.0010163581,0.0009879048,0.0029736506,0.008212862,0.01582626,0.02081485,0.01864928
2,Lewis Hamilton,0.045281943,0.058919217,0.07248601,0.08431729,0.09273518,0.09643567,0.09481922,0.08814957,0.07748353,0.064396776,0.050603922,0.037598398,0.026413139,0.017544301,0.011018371,0.0065428065,0.0036746277,0.0035194368,0.043879736,0.02418079
3,Lando Norris,0.034397446,0.042196933,0.050083295,0.057512525,0.063898265,0.068686776,0.07143556,0.071880855,0.069979236,0.06591475,0.060069412,0.052964076,0.045182128,0.03729147,0.029778957,0.023007367,0.01719815,0.012438092,0.12019263,0.005892096
4,George Russell,0.046737693,0.0655288,0.0847355,0.10105709,0.111156896,0.11276499,0.105506785,0.091044694,0.072459824,0.053187303,0.036007017,0.022481972,0.012946419,0.006875962,0.0033681036,0.0015216202,0.0006474926,0.00432312,0.047048144,0.020600576
5,Fernando Alonso,0.022629403,0.02957453,0.037366547,0.045642406,0.053898167,0.061531838,0.06791192,0.07246234,0.07474789,0.074542835,0.07186757,0.06698543,0.060359806,0.05258183,0.04428368,0.03605555,0.028380543,0.021596802,0.06628069,0.011300245
6,Yuki Tsunoda,0.0012715029,0.002480849,0.004561009,0.007901317,0.0128978025,0.019838547,0.0287529,0.039267346,0.050531153,0.06127237,0.070008054,0.075371854,0.07646246,0.07309119,0.065835446,0.055876892,0.04468714,0.033675242,0.2602176,0.015999287
7,Daniel Ricciardo,0.021700507,0.028013704,0.035083633,0.04262574,0.050242692,0.057452247,0.06373452,0.068592325,0.07161597,0.07254002,0.07128182,0.06795374,0.062846534,0.05638746,0.04908144,0.04144625,0.03395367,0.026984949,0.06289989,0.015562936
8,Esteban Ocon,0.027999561,0.035429478,0.043330353,0.051219277,0.05851791,0.06461868,0.06896699,0.07114402,0.07093319,0.068355665,0.063666865,0.05731475,0.04986929,0.041938625,0.034088578,0.02678044,0.020334817,0.014923712,0.12331018,0.007257581
9,Valtteri Bottas,0.021016484,0.027897988,0.035685696,0.04398695,0.052247107,0.059801087,0.06595753,0.07010166,0.07179608,0.07085681,0.06738622,0.061754566,0.054535024,0.046407755,0.03805521,0.030070893,0.022897443,0.016801039,0.13465054,0.008093938
10,Sebastian Vettel,0.004008863,0.006402541,0.00979167,0.014339522,0.020108785,0.027002912,0.034722324,0.042754374,0.050411038,0.056917287,0.06153698,0.06370912,0.06315976,0.059958763,0.054505263,0.047445785,0.039548527,0.03156721,0.29445016,0.017659107
11,Alexander Albon,0.00038859269,0.000850485,0.0017501053,0.0033860058,0.0061593833,0.010534459,0.016939994,0.0256118,0.036407664,0.04865991,0.061147053,0.072244644,0.080253065,0.083819196,0.08230971,0.07599491,0.065969594,0.053842954,0.24391948,0.029811008
12,Pierre Gasly,0.0031295829,0.0054225107,0.008912164,0.013894203,0.02054719,0.028823027,0.03835261,0.048408132,0.05795756,0.065821834,0.070908464,0.072459355,0.07023588,0.064579055,0.056323897,0.04659742,0.036567844,0.02722106,0.25096405,0.0128742205
13,Lance Stroll,0.0006816362,0.0013940174,0.0026904426,0.004900254,0.008422742,0.013662426,0.020914234,0.030213125,0.041189738,0.052993435,0.06434205,0.07372372,0.079718545,0.081348784,0.0783398,0.07119567,0.061061066,0.04942137,0.23657659,0.027210386
14,Zhou Guanyu,0.004479743,0.0072867516,0.011325025,0.016817769,0.023862816,0.03235185,0.041908354,0.05187121,0.061344568,0.06931862,0.07484243,0.07720936,0.076105535,0.07167811,0.06450315,0.0554625,0.045566116,0.035769176,0.15906976,0.01922714
15,Mick Schumacher,0.0038457883,0.006230531,0.009654822,0.014310117,0.020287177,0.02750928,0.035679307,0.044262223,0.052520562,0.059608083,0.064708345,0.0671885,0.06672816,0.06338738,0.05759383,0.050052825,0.04160646,0.03308052,0.26344687,0.018299276
16,Nicholas Latifi,0.0002791468,0.000646638,0.00140478,0.0028620309,0.005468383,0.009798558,0.016465854,0.025949277,0.038351733,0.05315735,0.06909721,0.08423185,0.09629661,0.10324391,0.10380939,0.097887576,0.08656398,0.071790285,0.09196871,0.04072665
