,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Carlos Sainz,0.061128147,0.08272115,0.10233988,0.11575131,0.11969053,0.11314793,0.09778811,0.077264234,0.055811476,0.036857136,0.022252172,0.012282194,0.00619775,0.002860846,0.0012604144,0.0013102992,0.00637053,0.021638462,0.03557521,0.027752278
1,Charles Leclerc,0.08138497,0.10994549,0.13224633,0.14163254,0.13505657,0.11466781,0.0866843,0.058346212,0.03496697,0.018658489,0.00886478,0.0037500632,0.0014139315,0.00050046545,0.00043105189,0.0019193001,0.007356471,0.017244443,0.024318146,0.020611605
2,Lando Norris,0.03421095,0.04263474,0.05124236,0.059396617,0.06639895,0.07158595,0.07443233,0.074638434,0.07218224,0.06732328,0.06055739,0.05253348,0.043951362,0.03546301,0.027595976,0.020710142,0.01498951,0.010463063,0.115117155,0.0045730183
3,Esteban Ocon,0.029356055,0.037028383,0.045098465,0.05303703,0.060226355,0.066036545,0.06991529,0.07147436,0.070553474,0.067247614,0.0618907,0.055000197,0.047194686,0.039103203,0.03128395,0.024166904,0.018026471,0.0129834665,0.13431334,0.006063464
4,Fernando Alonso,0.028542299,0.035443466,0.042751532,0.05008823,0.057001717,0.06300988,0.067654654,0.07055944,0.0714794,0.07033559,0.06722605,0.062412053,0.056281753,0.04929868,0.04194414,0.034663767,0.027825851,0.02169649,0.06969641,0.012088621
5,Lewis Hamilton,0.049679086,0.06398851,0.07759249,0.088578254,0.095197156,0.09631867,0.09174588,0.082272016,0.06945562,0.055201657,0.04130345,0.029094452,0.019294066,0.01204555,0.0070797685,0.0039183884,0.0023491324,0.013386874,0.06251373,0.038985197
6,Valtteri Bottas,0.019360777,0.025959209,0.033533614,0.041733958,0.05004019,0.057805397,0.06433366,0.06898082,0.0712588,0.07092005,0.068001695,0.06281895,0.055909034,0.047939476,0.039602723,0.031519316,0.024168462,0.017854236,0.1395463,0.008713378
7,Daniel Ricciardo,0.023632431,0.029991446,0.036978517,0.044296,0.051551636,0.058288567,0.06403055,0.06833671,0.07085719,0.07138003,0.06986063,0.066428006,0.061366707,0.05507792,0.048026968,0.040687002,0.033487994,0.026778463,0.063240804,0.015702453
8,Max Verstappen,0.18217412,0.24427061,0.23713268,0.16666614,0.08480853,0.031244406,0.008335311,0.0016156673,0.00024580458,8.3803956e-05,0.00016301569,0.0003847042,0.0008266995,0.001602196,0.002799868,0.0044117556,0.0062681152,0.0080299685,0.009275617,0.009661023
9,Sergio Perez,0.07969416,0.10337094,0.121287204,0.12872894,0.12358962,0.107332766,0.08431941,0.059919607,0.038518958,0.02240854,0.011838801,0.005842231,0.003213607,0.0031950683,0.005625686,0.010466609,0.016933735,0.02299823,0.026071012,0.024644852
10,Zhou Guanyu,0.0041124187,0.0066790655,0.010375535,0.015416379,0.021909438,0.02978223,0.038722187,0.048154816,0.057279114,0.06516732,0.0709154,0.07381218,0.07348393,0.06997353,0.06373121,0.05551973,0.046261504,0.036869626,0.19134171,0.020492641
11,Kevin Magnussen,0.003675197,0.006342539,0.010360163,0.016017355,0.02343884,0.03246402,0.042558804,0.052807722,0.062019236,0.068940796,0.072534904,0.07223352,0.06808499,0.060741406,0.05129078,0.040993463,0.031010652,0.022203842,0.25262958,0.009652176
12,Lance Stroll,0.0008050225,0.0015764484,0.0029238279,0.005135984,0.008544682,0.013463807,0.02009279,0.028399626,0.038017634,0.048201174,0.05788023,0.06582683,0.070904806,0.072335005,0.069891065,0.06395796,0.055432923,0.045503102,0.30505827,0.026048798
13,Mick Schumacher,0.0034378206,0.0056017917,0.008725588,0.012992325,0.018492825,0.025161913,0.032727167,0.04069091,0.04836268,0.05494748,0.059677325,0.06195768,0.061490078,0.058336336,0.0529051,0.04586487,0.038009048,0.0301105,0.32400218,0.01650641
14,Yuki Tsunoda,0.0011591741,0.0022549415,0.0041390066,0.007168534,0.011714889,0.018064246,0.02628302,0.036083143,0.04674197,0.057132524,0.06589212,0.071706295,0.07362998,0.071338825,0.06521847,0.056258634,0.045791138,0.03516797,0.2868291,0.017426094
15,Alexander Albon,0.0003168683,0.000698753,0.0014499709,0.002831301,0.005202402,0.008995247,0.014635677,0.022408053,0.032283925,0.043768276,0.055837236,0.06703158,0.07572268,0.08049401,0.08051788,0.075790025,0.067130975,0.0559532,0.27654254,0.032389343
16,Sebastian Vettel,0.0036555359,0.0058128713,0.008861132,0.012949308,0.018141065,0.02436341,0.031366926,0.038713727,0.045805417,0.051955022,0.056493327,0.058887836,0.058845464,0.056371454,0.05176837,0.045575187,0.03846372,0.031119535,0.34290448,0.01794624
17,Nicholas Latifi,0.00024671634,0.0005748041,0.001256747,0.0025785903,0.0049650474,0.008971619,0.015213336,0.024209434,0.036153577,0.050666887,0.066635184,0.08224117,0.095253594,0.10353326,0.10560511,0.10108721,0.09080586,0.076548725,0.08849538,0.044957846
