,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,George Russell,0.040540192,0.09084095,0.14504261,0.16504161,0.1339188,0.0777095,0.032764938,0.011123481,0.005032421,0.0052925744,0.0077606593,0.011394904,0.01601789,0.021484189,0.02748994,0.033555683,0.03907473,0.043407395,0.046001185,0.04650632
1,Lando Norris,0.03700733,0.04784414,0.059037287,0.06953134,0.078161195,0.083860725,0.08587813,0.08393886,0.07830691,0.06972586,0.05925763,0.04806744,0.037214693,0.027500123,0.019395951,0.013057032,0.0083894655,0.0051586726,0.086490825,0.002176399
2,Daniel Ricciardo,0.01956282,0.02591052,0.033174653,0.04106029,0.04912739,0.056821242,0.06353068,0.06866603,0.07174408,0.0724629,0.070750766,0.0667778,0.06092827,0.053739186,0.045819372,0.037765276,0.030089986,0.023175914,0.09647254,0.012420204
3,Pierre Gasly,0.0023728407,0.004403072,0.0077087367,0.012733593,0.019845366,0.029181514,0.04048526,0.052993957,0.06544799,0.07626172,0.08384118,0.08696584,0.085109934,0.07858728,0.0684644,0.056275293,0.043642636,0.031933367,0.13938671,0.014359309
4,Max Verstappen,0.045784745,0.04403857,0.044933904,0.045800924,0.046637256,0.047440656,0.04820888,0.048939817,0.049631372,0.050281614,0.05088865,0.05145072,0.051966183,0.052433506,0.052851323,0.053218365,0.053533558,0.053795923,0.05400472,0.054159246
5,driver_de_vries,0.003266315,0.0055421116,0.008952046,0.01376572,0.020151418,0.028082876,0.03725697,0.04705471,0.056575503,0.06475651,0.07056157,0.07319523,0.072281435,0.06795177,0.060814098,0.05181288,0.04202432,0.032448415,0.22681557,0.01669045
6,Zhou Guanyu,0.002875712,0.0048371446,0.007755139,0.011850785,0.01726082,0.023962537,0.03170743,0.039989527,0.048071586,0.055079196,0.060151104,0.062611856,0.06211931,0.05874264,0.052946508,0.045486026,0.03724566,0.029069025,0.33290565,0.015332411
7,Nicholas Latifi,8.221479e-05,0.00021216854,0.0005099196,0.0011413343,0.0023791115,0.004618562,0.008350049,0.014059246,0.02204577,0.03219427,0.04378471,0.055457056,0.06541562,0.07186151,0.07351934,0.07004825,0.062156036,0.051364116,0.3924682,0.02833242
8,Sebastian Vettel,0.003951388,0.0064278683,0.009975745,0.014770152,0.020863429,0.028115604,0.03614685,0.044335797,0.05187999,0.057917017,0.061684176,0.06267615,0.06075641,0.056187935,0.04957413,0.04172807,0.033509083,0.025671903,0.32074457,0.013083758
9,Lance Stroll,0.00083889114,0.0016713758,0.0031440784,0.0055842246,0.0093644755,0.014827043,0.022165433,0.031285904,0.04169381,0.05246207,0.062326077,0.069910884,0.074040696,0.074036665,0.069899455,0.062309094,0.05244205,0.041673362,0.28817466,0.022149732
10,Sergio Perez,0.014276382,0.35532272,0.2788452,0.01624214,0.016787123,0.017479483,0.018155204,0.018810207,0.019440446,0.020041892,0.020610658,0.021142915,0.021635039,0.022083644,0.022485578,0.022837954,0.023138251,0.023384288,0.023574237,0.02370671
11,Esteban Ocon,0.028148687,0.03868959,0.050479032,0.06251849,0.07349992,0.08202498,0.08689327,0.087378986,0.08340817,0.07557725,0.06500616,0.05307604,0.041136123,0.030264204,0.02113566,0.014011457,0.008817216,0.005332336,0.08829266,0.004309747
12,Valtteri Bottas,0.013579601,0.01947721,0.026743073,0.035151243,0.044229757,0.053276185,0.06143224,0.067811646,0.07165672,0.072486,0.07019338,0.06507029,0.057744943,0.049055744,0.039894268,0.031058164,0.02314653,0.016513549,0.17410569,0.0073736683
13,Kevin Magnussen,0.003054224,0.0055208653,0.009406748,0.015107672,0.022870807,0.032635592,0.043896247,0.05565305,0.06650842,0.07491869,0.079548076,0.079615034,0.075108014,0.066788785,0.055981755,0.044229858,0.032939002,0.02312231,0.20355253,0.009542249
14,Mick Schumacher,0.00393645,0.0065971785,0.010539195,0.016049149,0.023296578,0.032235008,0.042516626,0.05345463,0.06406299,0.07318545,0.079696216,0.08272681,0.08185592,0.07720572,0.069413565,0.059488732,0.048598245,0.037844416,0.11742021,0.019877005
15,Carlos Sainz,0.021190593,0.08702014,0.19525792,0.23883405,0.1595513,0.05913767,0.013956905,0.005005928,0.0053242873,0.0070719626,0.009248744,0.011762457,0.014542984,0.017480256,0.020425862,0.023203393,0.02562484,0.02751119,0.028714158,0.029135428
16,Lewis Hamilton,0.041898575,0.072879285,0.10535572,0.12658209,0.12641019,0.10495843,0.07254346,0.041958414,0.020824237,0.009959546,0.006544315,0.0075824065,0.011289239,0.016852943,0.023762973,0.031349707,0.0386483,0.044517267,0.047909457,0.048173472
