,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.019530462,0.41460556,0.21006125,0.015250996,0.015262156,0.01620681,0.01714602,0.018072246,0.018977718,0.019854499,0.020694584,0.021490047,0.022233153,0.022916475,0.023533018,0.024076331,0.024540648,0.02492095,0.0252131,0.025413878
1,Carlos Sainz,0.00881806,0.038521994,0.38796994,0.18760157,0.016512677,0.015004167,0.016414985,0.017852657,0.019299688,0.020738782,0.02215143,0.02351827,0.024819572,0.026035665,0.0271474,0.028136704,0.028987028,0.029683776,0.030214842,0.030570786
2,Sergio Perez,0.035192132,0.25671318,0.03621541,0.036700275,0.037166063,0.037611898,0.03803691,0.038440306,0.038821258,0.03917904,0.039512936,0.039822314,0.040106498,0.04036495,0.040597167,0.040802628,0.040980946,0.04113177,0.041254748,0.041349657
3,Esteban Ocon,0.035588793,0.045434017,0.05559453,0.06520283,0.07329662,0.078974135,0.081558436,0.08073023,0.07659259,0.06964993,0.06070686,0.05071519,0.040608943,0.031166542,0.022926556,0.016164873,0.010924185,0.0072357655,0.081937715,0.014991324
4,Lewis Hamilton,0.013183455,0.05243059,0.12758772,0.1865208,0.16374621,0.08773394,0.031619787,0.012403587,0.010397515,0.012534964,0.015498053,0.01880936,0.022352811,0.02600845,0.029629309,0.033048555,0.03609172,0.03859109,0.040400874,0.04141128
5,Fernando Alonso,0.033865824,0.042885542,0.052262925,0.06129286,0.06917664,0.075135045,0.07853426,0.07899673,0.076470286,0.07123765,0.063864574,0.05509901,0.04574684,0.03655206,0.028105814,0.020797618,0.014810338,0.010160898,0.06539755,0.019607518
6,George Russell,0.014017742,0.07584128,0.19168462,0.2025792,0.09140101,0.023665871,0.012123185,0.013430832,0.01596522,0.018751238,0.021713825,0.024790483,0.027904578,0.030967632,0.033883072,0.036551006,0.038873907,0.040762335,0.042140707,0.042952333
7,Sebastian Vettel,0.0077863634,0.011307617,0.015812656,0.02129296,0.02760989,0.034473944,0.041449036,0.04798833,0.053500056,0.057434168,0.059372295,0.059101004,0.05665044,0.05228887,0.046474293,0.039775327,0.03278024,0.026014049,0.29426017,0.014628239
8,Lando Norris,0.050164845,0.061865706,0.07278034,0.081675544,0.08743466,0.08928719,0.08697781,0.08082422,0.071645394,0.06058275,0.04886786,0.03760204,0.027600285,0.019325437,0.012908001,0.008224359,0.004999506,0.0048625628,0.06513329,0.027238218
9,Daniel Ricciardo,0.029602129,0.037060402,0.04497065,0.05289081,0.060292467,0.06661591,0.071338646,0.07404634,0.07449279,0.07263682,0.06864854,0.06288368,0.055831127,0.048044827,0.040072728,0.032395393,0.025383363,0.01927735,0.046919666,0.016596343
10,Valtteri Bottas,0.013889985,0.019516695,0.026345553,0.0341669,0.042569675,0.050955623,0.058597695,0.06473898,0.06871443,0.070069164,0.06864402,0.06460636,0.05841773,0.050747067,0.042352002,0.033957362,0.026157163,0.019357271,0.17679611,0.009400298
11,Yuki Tsunoda,0.000754421,0.0015883215,0.0031328953,0.00578943,0.010023244,0.016257873,0.02470594,0.035174016,0.046916425,0.058628727,0.06864024,0.07528867,0.0773683,0.07448676,0.06718585,0.05677527,0.04494931,0.0333403,0.28391019,0.015083784
12,Zhou Guanyu,0.002905964,0.0048746048,0.0077975905,0.011894686,0.017302828,0.02400232,0.031751256,0.040053476,0.048182726,0.055273138,0.060465634,0.063077554,0.06274985,0.059528146,0.053852215,0.046457592,0.038219184,0.02998318,0.32562566,0.016002417
13,Mick Schumacher,0.0032370423,0.005469414,0.008811088,0.013533625,0.0198196,0.027673995,0.036842152,0.046764288,0.05659521,0.06530423,0.0718454,0.07536208,0.07537075,0.071870215,0.06534182,0.056640837,0.04681277,0.03688884,0.19596274,0.01985385
14,Alexander Albon,0.00032580225,0.00070055184,0.001419554,0.0027107487,0.00487811,0.008272553,0.013220643,0.019910922,0.028258914,0.03779593,0.047638696,0.05658484,0.06333819,0.066812344,0.066416055,0.06221785,0.05492653,0.04569565,0.3924072,0.026468918
15,Pierre Gasly,0.0038765825,0.0066519254,0.010829361,0.016726917,0.024512436,0.034081157,0.044957258,0.056265578,0.06681026,0.075266376,0.0804482,0.08158101,0.078490905,0.07164849,0.06205149,0.050986458,0.03974796,0.029398995,0.15193327,0.013735359
16,Kevin Magnussen,0.0026807298,0.0048663924,0.008343635,0.013511333,0.020665007,0.029851576,0.040728033,0.052482437,0.063874744,0.07342409,0.07971547,0.0817412,0.07916512,0.07241378,0.06256089,0.051048044,0.039341394,0.028636163,0.18216701,0.012782876
17,Lance Stroll,0.0028524247,0.004807583,0.007723005,0.011824764,0.017256211,0.024001878,0.031819377,0.040205434,0.048419975,0.055579033,0.06080571,0.06340513,0.063016035,0.059693158,0.053894535,0.046377964,0.038038667,0.029736208,0.3248087,0.015734272
