,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,George Russell,0.0096500935,0.05022886,0.24906817,0.21022657,0.037737127,0.016936297,0.018446637,0.020402234,0.02240855,0.02444021,0.026469842,0.02846775,0.03040256,0.032242034,0.03395391,0.03550688,0.036871474,0.03802101,0.038932487,0.0395873
1,Lewis Hamilton,0.005006085,0.031137563,0.18785863,0.28468537,0.10139875,0.017478436,0.012711748,0.014605459,0.01674861,0.019009665,0.021354591,0.023742659,0.026126953,0.028455714,0.030674063,0.032726113,0.034557227,0.036116414,0.03735868,0.038247205
2,Sergio Perez,0.048670355,0.0488573,0.049036738,0.04920857,0.04937272,0.049529128,0.049677692,0.049818363,0.04995102,0.050075646,0.05019219,0.050300557,0.0504007,0.050492562,0.05057613,0.050651334,0.05071814,0.05077653,0.050826427,0.050867885
3,Carlos Sainz,0.014434052,0.015821062,0.25511584,0.28300557,0.01945422,0.020305544,0.021504799,0.022692429,0.023858983,0.024994688,0.026089685,0.027134078,0.028118126,0.029032378,0.029867861,0.030616159,0.031269606,0.031821396,0.03226572,0.032597806
4,Valtteri Bottas,0.0128376605,0.01849294,0.0255205,0.03373929,0.042731296,0.051846497,0.060263764,0.06710525,0.071584664,0.073155485,0.07162048,0.067172416,0.060354277,0.05195035,0.0428383,0.03384072,0.025610028,0.0185671,0.16218875,0.008580289
5,Charles Leclerc,0.018014021,0.55408275,0.0371575,0.01876737,0.019419663,0.020056784,0.020675711,0.021273518,0.021847317,0.022394257,0.022911584,0.023396632,0.023846861,0.024259893,0.024633508,0.024965689,0.025254605,0.025498658,0.025696503,0.025847018
6,Lando Norris,0.054573808,0.06923089,0.082737125,0.09315069,0.09879993,0.098721586,0.09292929,0.08240963,0.06884753,0.054185554,0.040175743,0.028062668,0.018466271,0.011447597,0.006685509,0.0036782364,0.0019195558,0.0043393527,0.049763463,0.039875556
7,Fernando Alonso,0.0395646,0.050888646,0.062375735,0.07286031,0.08110482,0.08603653,0.08697604,0.08379088,0.076926224,0.06730272,0.056113996,0.044585153,0.033759017,0.024359586,0.016750602,0.010976689,0.0068547777,0.0043138433,0.044507105,0.049952738
8,Esteban Ocon,0.040094286,0.053189445,0.06661622,0.078767374,0.087927416,0.092664614,0.09219667,0.08660205,0.07679851,0.06429677,0.050820272,0.03792248,0.026715787,0.017768497,0.011156939,0.006613805,0.003702487,0.0035048174,0.055633083,0.04700836
9,Daniel Ricciardo,0.025818318,0.03416184,0.043453638,0.05313521,0.06246115,0.07058443,0.07667951,0.08007945,0.08039598,0.07759238,0.07199049,0.06421,0.0550556,0.04538076,0.03595949,0.027392175,0.020059075,0.01412109,0.045099825,0.016369585
10,Zhou Guanyu,0.0024910169,0.0043024025,0.007068055,0.011044443,0.016415061,0.023205776,0.03120358,0.039908674,0.048549555,0.056176916,0.061828002,0.064724326,0.06444728,0.061037447,0.054984856,0.047113393,0.038397294,0.029765395,0.3219445,0.015392108
11,Yuki Tsunoda,0.0006167523,0.0013619553,0.0028066044,0.0053971633,0.009685366,0.01621931,0.025346309,0.03696266,0.05030114,0.06387904,0.07570158,0.08371776,0.08639652,0.08320339,0.07477418,0.062708825,0.04907626,0.035841018,0.22046968,0.015534458
12,Pierre Gasly,0.0038076413,0.0066487016,0.011005042,0.017267127,0.025681617,0.036207475,0.048389122,0.061301503,0.07361532,0.08379901,0.09042395,0.09249148,0.08967959,0.08242508,0.07181229,0.059307806,0.04642999,0.034455568,0.04908943,0.016162239
13,Mick Schumacher,0.003095782,0.0053534275,0.00880806,0.013788461,0.020537047,0.02910364,0.03924131,0.050341547,0.061446402,0.071359776,0.07884921,0.08289496,0.082917415,0.07891334,0.071456544,0.0615631,0.05046448,0.039358452,0.12988642,0.020620702
14,Sebastian Vettel,0.011603549,0.016220694,0.021860443,0.028402714,0.03557718,0.042962983,0.050018225,0.05614011,0.06074761,0.06337182,0.06373447,0.06179646,0.05776487,0.052056514,0.045226954,0.03788183,0.030589703,0.023813915,0.2272977,0.0129322745
15,Alexander Albon,0.00026538345,0.00059343694,0.0012466079,0.002460028,0.0045604217,0.007941901,0.012992678,0.019967679,0.028827785,0.03909756,0.04981298,0.059619784,0.06703363,0.07080271,0.07025249,0.06548293,0.0573389,0.047165584,0.36808047,0.026457042
16,Nicholas Latifi,0.00016754902,0.00039185878,0.00085895206,0.0017646541,0.0033978333,0.0061319103,0.010371483,0.01644136,0.024427881,0.03401616,0.044395242,0.05430489,0.062257662,0.0668957,0.06736823,0.06358629,0.056250095,0.046637416,0.4139405,0.026394365
17,Kevin Magnussen,0.0029918908,0.005429661,0.009304167,0.015054298,0.02299965,0.03317877,0.045193624,0.058126234,0.07059031,0.0809461,0.087644555,0.089604914,0.08650013,0.07884599,0.067861035,0.055149224,0.04231909,0.030662747,0.10404577,0.013551736
18,Lance Stroll,0.003661368,0.0061070016,0.009700896,0.0146755595,0.02114349,0.029010678,0.03790864,0.047175635,0.055910878,0.06310651,0.06783457,0.06944279,0.06770212,0.06286034,0.055584043,0.046808288,0.037540026,0.028672501,0.26070672,0.014447905
