,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Carlos Sainz,0.038541213,0.046077583,0.053370047,0.059889324,0.06510961,0.06857795,0.06997902,0.06918229,0.06626221,0.061486624,0.055276334,0.04814393,0.040624484,0.0332107,0.026303397,0.020183176,0.015004136,0.010806285,0.007540248,0.14443141
1,Max Verstappen,0.045247752,0.052887578,0.059944905,0.06588597,0.070222385,0.07257723,0.072738975,0.070692904,0.06662337,0.06088629,0.0539578,0.04636937,0.03864114,0.031225609,0.02446886,0.018593391,0.013700797,0.009789819,0.0067833727,0.11876251
2,Sergio Perez,0.040539104,0.048121434,0.0553058,0.06154182,0.0663037,0.069162816,0.06985144,0.06830394,0.06466714,0.059277426,0.0526093,0.045206744,0.03761074,0.030296193,0.023628261,0.017841991,0.013044345,0.00923356,0.006328244,0.16112599
3,Valtteri Bottas,0.014434904,0.019533433,0.025536602,0.032252826,0.039354295,0.046391327,0.052832507,0.05812804,0.061786003,0.0634475,0.06294465,0.06032861,0.05586086,0.049970295,0.04318532,0.03605625,0.029083364,0.022663599,0.017062126,0.20914754
4,Lewis Hamilton,0.02604144,0.032242406,0.038698733,0.045026954,0.05078728,0.05553208,0.058862634,0.060484212,0.060249183,0.058179073,0.05446143,0.04942174,0.043476406,0.037076257,0.030651016,0.024564078,0.019083701,0.014372464,0.010493171,0.23029579
5,Pierre Gasly,0.00440781,0.0070164003,0.010669338,0.01549858,0.02150691,0.028509894,0.03610313,0.04367425,0.050470505,0.05571618,0.05875659,0.05919205,0.056964144,0.052368656,0.04599099,0.038583856,0.030922167,0.02367368,0.017313834,0.34266102
6,Lando Norris,0.02592328,0.032543726,0.039552245,0.046537336,0.053010114,0.0584578,0.062409822,0.06450449,0.06454366,0.062523596,0.05863552,0.053235874,0.046792317,0.039817266,0.032801583,0.026160432,0.020198613,0.015098195,0.0109258415,0.18632826
7,Yuki Tsunoda,0.0046494366,0.007465946,0.011441022,0.01673172,0.023351368,0.0311014,0.039531473,0.047951482,0.055508148,0.06132072,0.064647764,0.06504223,0.06245011,0.05722248,0.050037548,0.041756205,0.033253837,0.025273096,0.018330341,0.28293365
8,Fernando Alonso,0.004460459,0.006902798,0.010235231,0.0145411,0.019793546,0.025815293,0.03225947,0.03862465,0.044309698,0.048703473,0.05129181,0.05175629,0.050038595,0.046352584,0.041140534,0.034985874,0.028506402,0.022254566,0.016646495,0.4113811
9,George Russell,0.035699505,0.042515557,0.049116608,0.05504315,0.05983746,0.06310121,0.0645501,0.06405468,0.06165943,0.057576194,0.052153207,0.045826204,0.03906082,0.03229711,0.025904821,0.020155445,0.015212433,0.01113781,0.007910349,0.19718783
10,Daniel Ricciardo,0.014501378,0.019201836,0.024615446,0.03054952,0.036705654,0.042696573,0.048082255,0.052421357,0.05533035,0.056539286,0.055933103,0.053569693,0.0496708,0.04458766,0.038748953,0.032601465,0.026554972,0.020940464,0.015986681,0.2807626
11,Mick Schumacher,0.0021024093,0.0036979949,0.0061757164,0.0097922,0.014741628,0.021070873,0.028595112,0.036844544,0.04507405,0.05235426,0.057736393,0.060453195,0.060098134,0.056725036,0.050834734,0.043253236,0.034942064,0.026800977,0.01951753,0.3691899
12,Kevin Magnussen,0.0072167055,0.011140689,0.016449058,0.023228768,0.031373825,0.040528927,0.05007475,0.05917368,0.06687975,0.072296426,0.07474726,0.073914535,0.069906965,0.06323644,0.054710478,0.045271985,0.03582986,0.027121685,0.019635608,0.15726267
13,Zhou Guanyu,0.0046777423,0.007282005,0.010857832,0.015506487,0.021211011,0.02778994,0.034873165,0.041915357,0.04825397,0.053207222,0.056193497,0.056843325,0.055074528,0.051109318,0.04542837,0.03867516,0.031536616,0.024630642,0.0184253,0.35650858
14,Alexander Albon,0.0009736513,0.0019186442,0.0035567556,0.0062027248,0.010176072,0.015705306,0.022802463,0.03114481,0.040018313,0.048372727,0.05500615,0.058842465,0.05921602,0.056060445,0.04992783,0.041830957,0.03297021,0.024446376,0.017052038,0.42377606
15,Nicholas Latifi,0.000598941,0.0013152529,0.0026979297,0.005169486,0.009252513,0.01546919,0.024158556,0.03524275,0.04802466,0.061130013,0.07268422,0.08072744,0.08375255,0.081165284,0.07347476,0.062130045,0.049075022,0.036208868,0.024955437,0.23276703
