Unnamed: 0,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Sergio Perez,0.05827274,0.06066536,0.0621931,0.0629222,0.0629606,0.0624402,0.061500907,0.06027758,0.05889172,0.05744649,0.05602537,0.054692622,0.053495184,0.052464943,0.051621083,0.050971977,0.050516598,0.050245084,0.05013887,0.043882784
1,Charles Leclerc,0.15227675,0.13042232,0.11163641,0.0957039,0.082350455,0.07127592,0.062179986,0.054780412,0.048824012,0.04409224,0.040402897,0.037609287,0.035598274,0.03428793,0.033625323,0.03358519,0.034169354,0.035407256,0.03735757,0.017274471
2,Carlos Sainz,0.13645844,0.120113306,0.10542716,0.09247387,0.081233144,0.07161816,0.06350082,0.056733247,0.051164012,0.046649538,0.043061275,0.040289685,0.03824613,0.036863342,0.036095247,0.035916727,0.036323387,0.037331667,0.03897936,0.02339328
3,Max Verstappen,0.043272156,0.0471747,0.050501093,0.053200748,0.05527173,0.056752343,0.057710048,0.058229253,0.058400966,0.05831427,0.05805059,0.057680123,0.057260174,0.05683462,0.05643409,0.05607661,0.055768035,0.05550224,0.055261437,0.043919493
4,Esteban Ocon,0.07726031,0.0758968,0.07378557,0.07114332,0.06817961,0.06508189,0.06200719,0.05907937,0.056390777,0.05400651,0.051969755,0.05030747,0.049035516,0.048162874,0.047694925,0.04763575,0.047989544,0.048760884,0.049954254,0.012285057
5,George Russell,0.096774526,0.09181915,0.08636038,0.08069351,0.07506695,0.06967423,0.06465471,0.060099114,0.05605866,0.05255464,0.049587738,0.047145784,0.04521018,0.043760385,0.04277717,0.04224471,0.04215155,0.042490758,0.043259293,0.02108385
6,Fernando Alonso,0.061148014,0.06275932,0.06353065,0.063567,0.063003756,0.06198907,0.060669236,0.05917828,0.057631947,0.05612527,0.054732945,0.053511243,0.05250085,0.051729638,0.051215235,0.050966945,0.050987,0.05127081,0.05180665,0.04182042
7,Valtteri Bottas,0.070479296,0.07028378,0.0693015,0.0677108,0.06569673,0.06343489,0.061080363,0.05876247,0.0565835,0.05462083,0.052930538,0.0515519,0.050511766,0.04982836,0.049514428,0.049579386,0.050030656,0.050873972,0.052112762,0.029414885
8,Pierre Gasly,0.03328622,0.03755742,0.04154185,0.045140665,0.04829318,0.050976105,0.05319873,0.054995302,0.05641648,0.05752144,0.05837109,0.059022937,0.05952756,0.059926137,0.060249027,0.06051499,0.060730383,0.06088893,0.06097114,0.06322332
9,driver_kevin_magnussen,0.05832442,0.060483117,0.061801765,0.062356833,0.062262602,0.06165347,0.0606689,0.05944132,0.058088668,0.056710303,0.055386133,0.054177552,0.053129565,0.052273124,0.05162742,0.051201876,0.050997153,0.05100578,0.051211875,0.042113677
10,Lando Norris,0.027834805,0.032461,0.037010524,0.041343957,0.045348734,0.048945438,0.052088775,0.054764207,0.05698183,0.058769297,0.060164414,0.061208945,0.061943423,0.06240331,0.06261619,0.06260017,0.062362812,0.06190078,0.061199937,0.06605365
11,Zhou Guanyu,0.03797145,0.0420648,0.045729395,0.04889013,0.051515598,0.053613745,0.055223484,0.056405015,0.057230074,0.0577738,0.058108322,0.058298472,0.058399208,0.058453985,0.058494322,0.058539476,0.058596365,0.05865949,0.058710575,0.03197447
12,Lance Stroll,0.021637553,0.026400346,0.031375203,0.036397588,0.041305795,0.045954626,0.050224833,0.0540274,0.057303708,0.06002216,0.062172983,0.063762255,0.06480623,0.06532626,0.06534483,0.06488297,0.06395838,0.06258495,0.060773354,0.08098552
13,Daniel Ricciardo,0.021214757,0.025708707,0.030389579,0.03511601,0.0397525,0.044180457,0.04830517,0.052058287,0.055396955,0.058300048,0.060763046,0.062792644,0.06440146,0.065603524,0.06641065,0.06682993,0.06686178,0.06649936,0.06572858,0.09610096
14,Lewis Hamilton,0.0653562,0.06611477,0.066047646,0.0652976,0.064026706,0.062398873,0.060566813,0.058663905,0.056800496,0.055063665,0.053519372,0.052215647,0.051186208,0.050453924,0.050033525,0.049933832,0.05015887,0.050708205,0.05157641,0.04038105
15,Alexander Albon,0.015146841,0.019377887,0.02408384,0.029141676,0.03440452,0.039715163,0.04491876,0.04987302,0.05445485,0.058563586,0.062121183,0.06507042,0.06737187,0.06900036,0.06994177,0.070190385,0.06974704,0.06861831,0.06681661,0.11201343
16,Nico Hulkenberg,0.013396009,0.017259993,0.021615027,0.026366659,0.03139655,0.03657324,0.0417629,0.04683811,0.051683985,0.056201488,0.06030813,0.06393674,0.06703343,0.069554456,0.07146378,0.072730735,0.07332839,0.07323302,0.07242484,0.11816827
17,Nicholas Latifi,0.009889536,0.013437309,0.017669266,0.022533463,0.027930846,0.03372208,0.039738312,0.045793638,0.051697318,0.057264477,0.062324382,0.06672624,0.07034295,0.073072925,0.074840926,0.07559827,0.075322725,0.07401848,0.07171649,0.11591147
