,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Sergio Perez,0.022294922,0.48209542,0.025958436,0.02409949,0.02466831,0.025217552,0.02574534,0.026249828,0.02672922,0.027181802,0.02760593,0.028000029,0.028362645,0.02869242,0.028988088,0.029248534,0.02947276,0.029659888,0.029809216,0.02992012
1,Lewis Hamilton,0.037110575,0.08737111,0.14493147,0.16941191,0.13976207,0.08193089,0.03527948,0.013247494,0.007495016,0.008115247,0.010675718,0.014011123,0.017865926,0.022086704,0.026468981,0.030749798,0.03462948,0.03780492,0.04000823,0.041043937
2,Carlos Sainz,0.03000036,0.15387076,0.29609382,0.20565155,0.054663006,0.010978619,0.008130236,0.009399296,0.010908776,0.012511394,0.014178145,0.015875105,0.01756296,0.019198257,0.020735275,0.022127973,0.023332246,0.024308346,0.025022913,0.025450936
3,Fernando Alonso,0.033005897,0.04288108,0.0533667,0.063621685,0.07265575,0.07948131,0.0832895,0.08360759,0.08039543,0.07405379,0.06534211,0.055229288,0.04471732,0.03468265,0.025767898,0.018339003,0.012502674,0.00816732,0.057860896,0.011032177
4,Lando Norris,0.045342393,0.056339156,0.06698795,0.076218985,0.082986966,0.086464345,0.08620741,0.08224931,0.07509316,0.06560677,0.054850094,0.043881975,0.03359506,0.024611896,0.017254205,0.011575113,0.007430799,0.0046345885,0.07453275,0.0041369707
5,Pierre Gasly,0.0036191582,0.0062165647,0.010120129,0.015614007,0.022831546,0.03164093,0.041558105,0.051731516,0.061030533,0.06823889,0.072311856,0.07262392,0.06912622,0.062358927,0.053314716,0.04320045,0.033175856,0.024146205,0.24625173,0.01088881
6,Max Verstappen,0.04692916,0.047362953,0.04778022,0.048180457,0.048563138,0.048927784,0.04927399,0.049601283,0.049909264,0.050197575,0.050465822,0.050713688,0.050940882,0.05114704,0.051331967,0.051495392,0.051637147,0.051756978,0.0518548,0.05193047
7,Kevin Magnussen,0.0034294967,0.006047063,0.010073591,0.015854418,0.023574503,0.03311776,0.043954708,0.05511578,0.06529391,0.07307951,0.07727601,0.07720045,0.07286536,0.06497534,0.05473965,0.043569416,0.032763295,0.0232766,0.21388571,0.0099074505
8,Yuki Tsunoda,0.0012685675,0.002517847,0.0046979277,0.008240313,0.013587587,0.021062102,0.030691769,0.042043895,0.054143332,0.065546244,0.074595295,0.07980607,0.08026411,0.07588703,0.06744888,0.056356322,0.044266127,0.032685943,0.23008515,0.014805499
9,Lance Stroll,0.00088589103,0.001734463,0.0032070314,0.005600085,0.009235049,0.014382595,0.021153802,0.029382775,0.03854347,0.047748722,0.055863246,0.061722532,0.06440428,0.06346568,0.059063133,0.051909547,0.043085523,0.033772938,0.37736067,0.017478472
10,Mick Schumacher,0.0037547639,0.006209184,0.009792991,0.014730738,0.021133069,0.028915387,0.037733242,0.046962153,0.055744275,0.06310755,0.06813823,0.07016637,0.06891216,0.06454926,0.05766539,0.04913239,0.039925385,0.03094276,0.24636094,0.016123693
11,Sebastian Vettel,0.0045074774,0.0071473005,0.0108370995,0.01571254,0.021784237,0.028880225,0.036611807,0.04438173,0.051445793,0.057024024,0.06044051,0.061257742,0.059368506,0.055019133,0.048756637,0.041315805,0.033478126,0.025939902,0.32247475,0.013616654
12,Zhou Guanyu,0.003515137,0.0058634887,0.009319926,0.014115996,0.020372903,0.02801799,0.0367167,0.045849305,0.054556247,0.061858412,0.06683373,0.068807386,0.06750205,0.063101746,0.056209333,0.047710937,0.03858959,0.029741632,0.26603192,0.015285572
13,Valtteri Bottas,0.014502021,0.020606078,0.028049624,0.03657834,0.045696814,0.054690644,0.062705435,0.06887511,0.07247441,0.07305874,0.07055448,0.06527431,0.057852875,0.049121637,0.039956342,0.031136064,0.023243789,0.016623214,0.16152483,0.0074752662
14,Daniel Ricciardo,0.021591926,0.028554654,0.03647629,0.045008324,0.053644292,0.061759353,0.06867998,0.07377449,0.076547414,0.07671907,0.07427189,0.06945349,0.06273532,0.054736692,0.046131067,0.03755404,0.029530345,0.022429964,0.04873599,0.011665362
15,Esteban Ocon,0.034680035,0.04551839,0.0569586,0.06795118,0.07728584,0.083804645,0.08663662,0.08538862,0.080235,0.07187749,0.061388526,0.049985804,0.038803533,0.028718464,0.020263596,0.013631286,0.0087422365,0.0053975545,0.075058945,0.0076737544
16,Alexander Albon,0.00027397618,0.00060809124,0.0012674235,0.0024806843,0.0045595123,0.007869777,0.012755667,0.019415164,0.027750837,0.037248425,0.04695012,0.055572834,0.061771102,0.06447705,0.06320071,0.058174904,0.05028594,0.04081824,0.42224747,0.02227208
17,Nicholas Latifi,0.00019436493,0.00046336415,0.0010338594,0.0021589112,0.0042193187,0.0077176383,0.013211754,0.021167578,0.03174065,0.04454459,0.058507074,0.07192105,0.08274428,0.08909517,0.08978517,0.08468168,0.07474955,0.06175354,0.22575854,0.03455188
