,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.05578105,0.062282793,0.0679377,0.07239608,0.07536693,0.0766493,0.076154746,0.07391748,0.070090465,0.06492805,0.05875802,0.051947344,0.04486639,0.03785649,0.03120478,0.02512831,0.019768208,0.015192615,0.011406682,0.008366572
1,Carlos Sainz,0.043722957,0.050311666,0.056583405,0.06219716,0.06682107,0.07016449,0.07200826,0.07222851,0.07081025,0.06784921,0.06354106,0.058160137,0.05203045,0.045493674,0.038878135,0.03247292,0.026509298,0.021151252,0.016494352,0.012571748
2,George Russell,0.04232853,0.04903539,0.055490054,0.061340783,0.06623879,0.06987219,0.071998775,0.07247275,0.071261205,0.06844795,0.06422389,0.058865614,0.05270544,0.046097595,0.039384905,0.032870777,0.026799044,0.021343105,0.016604448,0.012618861
3,Sergio Perez,0.047745626,0.054484874,0.0607312,0.066121295,0.07031769,0.07304345,0.074112535,0.07345065,0.071103856,0.06723328,0.06209679,0.056020573,0.049365025,0.042489823,0.035722684,0.02933572,0.02353116,0.018436702,0.014109666,0.010547369
4,Lewis Hamilton,0.03499051,0.04117929,0.047407467,0.05338928,0.058816742,0.06338514,0.06682102,0.06890939,0.06951574,0.06860051,0.06622335,0.062536605,0.057769265,0.052203424,0.046146687,0.039904475,0.03375531,0.027932009,0.022610057,0.017903617
5,Valtteri Bottas,0.02222044,0.028322415,0.035119355,0.042364437,0.049715873,0.056758013,0.06303735,0.068109445,0.07159048,0.07320518,0.07282275,0.07047433,0.06634883,0.060767904,0.05414446,0.046932347,0.03957574,0.03246568,0.02590947,0.020115526
6,Kevin Magnussen,0.006736689,0.010357368,0.015299461,0.021713369,0.029607559,0.03878842,0.04882315,0.059043717,0.068603404,0.07658469,0.08214146,0.0846461,0.083806135,0.07972027,0.07285946,0.06397752,0.05397504,0.043750457,0.034071915,0.025493803
7,Daniel Ricciardo,0.02125107,0.026621215,0.03257186,0.038924642,0.0454333,0.051795438,0.057673506,0.06272328,0.06662674,0.06912513,0.07004724,0.06932878,0.06701987,0.06327925,0.058356125,0.052562878,0.0462423,0.03973446,0.03334746,0.027335411
8,Mick Schumacher,0.0015672162,0.0028268239,0.0048705405,0.00801612,0.012602601,0.018926263,0.027150529,0.0372049,0.048700225,0.0608934,0.07273079,0.08298033,0.09043585,0.09414878,0.09362623,0.08893836,0.08070292,0.0699517,0.05791831,0.045808088
9,Lando Norris,0.028898144,0.035844017,0.04323649,0.050719082,0.0578601,0.064191006,0.06925583,0.072665036,0.07414497,0.07357409,0.07099949,0.06663045,0.060810305,0.053972036,0.046585143,0.03910327,0.03192023,0.025339948,0.019562874,0.014687456
10,Esteban Ocon,0.015193961,0.020619277,0.027106088,0.03451843,0.04258201,0.05088529,0.058904592,0.06605368,0.07175229,0.0755032,0.07696368,0.075997144,0.07269415,0.06735856,0.060461212,0.05257166,0.044281006,0.036130525,0.028557608,0.021865549
11,Yuki Tsunoda,0.004270294,0.006954682,0.010851653,0.016222343,0.023234341,0.03188204,0.041914206,0.05279291,0.063707255,0.07365486,0.08158551,0.086581245,0.08803063,0.08575172,0.080029696,0.071558036,0.061300635,0.050311897,0.039561752,0.029804321
12,Pierre Gasly,0.004574055,0.0072784317,0.011128064,0.016347315,0.023073778,0.031292222,0.0407755,0.051051393,0.061413147,0.070983976,0.07883236,0.08411901,0.08624404,0.084959,0.0804146,0.07313172,0.06390313,0.053651724,0.043280337,0.03354616
13,Zhou Guanyu,0.005177765,0.007999703,0.0119122155,0.01709616,0.023647856,0.03152625,0.040507928,0.05016431,0.059873827,0.068875745,0.07636299,0.08159934,0.08403839,0.08341727,0.079803415,0.07358242,0.065390415,0.056006856,0.04623336,0.036783848
14,Sebastian Vettel,0.0032295282,0.005317589,0.008406546,0.012759932,0.01859544,0.026019078,0.03495465,0.045086388,0.055835903,0.06639096,0.07579349,0.083077274,0.08742994,0.08834166,0.08570348,0.079828635,0.07139151,0.061300203,0.05053644,0.040001374
15,Lance Stroll,0.0007778991,0.0015616051,0.0029704527,0.0053540044,0.00914406,0.014798015,0.022691967,0.03297195,0.0453964,0.059224613,0.07321285,0.08575836,0.09518527,0.10010764,0.09976285,0.09420512,0.08429161,0.07146581,0.057413824,0.043705758
16,Alexander Albon,0.0007527275,0.0015253559,0.0029258092,0.005312051,0.009128926,0.014849738,0.02286436,0.033322748,0.04596888,0.06002449,0.07418812,0.08679239,0.09611038,0.10073964,0.09994751,0.09386093,0.083433226,0.07019961,0.05590772,0.042145398
17,Nicholas Latifi,0.00020574077,0.000485926,0.0010773744,0.0022423833,0.004381268,0.008035934,0.013836278,0.022363963,0.0339332,0.04833339,0.06462734,0.081120744,0.095585965,0.105731145,0.10978881,0.10701876,0.09792834,0.084120765,0.06783356,0.05134906
18,Fernando Alonso,0.0074576875,0.010873895,0.015346565,0.020964388,0.027720314,0.035478026,0.04395068,0.052700747,0.06116642,0.06871543,0.07472064,0.07864516,0.08012138,0.07900779,0.07541129,0.06967035,0.062302373,0.053927004,0.045180693,0.03663909
