,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.1995882,0.17292792,0.13577178,0.10386065,0.07869379,0.032049976,0.030627046,0.01984248,0.014545623,0.012142522,0.012060065,0.008820852,0.008874605,0.013183595,0.010257863,0.011514842,0.015671743,0.019257309,0.020349007,0.07996
1,Lewis Hamilton,0.3462934,0.20121974,0.11631916,0.078390434,0.056228373,0.018709127,0.01793628,0.010542881,0.0068693687,0.0047959946,0.0052578165,0.0035921503,0.0032615312,0.0060533835,0.0041475627,0.0046814764,0.0077363285,0.011470861,0.011518823,0.08497533
2,Nico Hulkenberg,0.00041974676,0.0032219507,0.011253347,0.026704326,0.04211491,0.061663292,0.09198242,0.088788815,0.083056204,0.07359167,0.07230092,0.0549531,0.054365262,0.044064328,0.036802527,0.029290162,0.031989206,0.029921716,0.0327387,0.13077742
3,Max Verstappen,0.1525821,0.15472355,0.13704388,0.1101973,0.08531612,0.037626013,0.03590987,0.024173938,0.01856253,0.016625587,0.015882907,0.011933048,0.012500903,0.017011818,0.0139162345,0.015587703,0.019653894,0.022428531,0.024180489,0.07414356
4,Daniel Ricciardo,0.015375093,0.03949421,0.067429595,0.08355338,0.08415937,0.06275854,0.06870693,0.055647817,0.04960607,0.050562594,0.04528431,0.03591897,0.03988683,0.039128557,0.035406657,0.035494987,0.037046857,0.03455683,0.038871866,0.08111055
5,Lance Stroll,0.0006030374,0.004396441,0.015565305,0.03189764,0.04392943,0.059487127,0.077402376,0.07673903,0.07958362,0.09038354,0.076913044,0.06396794,0.07409134,0.05159213,0.05098361,0.044559672,0.038914867,0.029840559,0.034860637,0.054288615
6,Pierre Gasly,0.0015959159,0.0072619296,0.015336497,0.027047101,0.03612855,0.04535744,0.056892335,0.058576018,0.056795776,0.059863735,0.06286897,0.05129546,0.059840407,0.057616238,0.05018074,0.04590135,0.05024822,0.048502013,0.05162042,0.15707092
7,Charles Leclerc,0.13810295,0.14786777,0.13654506,0.11170639,0.08713197,0.039498866,0.03768075,0.025704315,0.020056834,0.018406333,0.017349325,0.013156333,0.013976294,0.018451832,0.015357771,0.017189505,0.021108424,0.023480255,0.025490612,0.071738414
8,Alexander Albon,0.03333599,0.06457191,0.09018392,0.098372884,0.09182282,0.058467135,0.06164395,0.04714616,0.04002611,0.03891516,0.03570667,0.027778534,0.030153906,0.032845944,0.028668622,0.029643709,0.03300808,0.032949146,0.036511157,0.08824812
9,Lando Norris,0.0068103997,0.022011282,0.04272378,0.06402902,0.07471686,0.06558593,0.08108114,0.06703643,0.057485506,0.05086478,0.049548857,0.03739269,0.03776613,0.038350105,0.031617966,0.029061018,0.03393388,0.034726467,0.03769688,0.1375609
10,Sebastian Vettel,0.1993013,0.17283335,0.13579029,0.10390421,0.07873641,0.0320818,0.030657247,0.019866355,0.014566958,0.012165182,0.0120799085,0.00883671,0.008892597,0.01320376,0.0102764685,0.011535588,0.015693182,0.019275561,0.020370616,0.07993246
11,Carlos Sainz,0.008193317,0.025477573,0.048853707,0.0692926,0.077107705,0.06524932,0.07713685,0.063998796,0.056410164,0.05363189,0.050103128,0.038802642,0.041044503,0.040133,0.034727495,0.032926224,0.03610242,0.03496566,0.038675252,0.10716781
12,Romain Grosjean,0.00018406016,0.0012375142,0.0026384895,0.0057239807,0.009270758,0.019164408,0.024500357,0.034751344,0.03940359,0.051900804,0.063894704,0.05780842,0.08240178,0.079346076,0.072199866,0.065952696,0.06979755,0.06568494,0.06642403,0.1877146
13,Esteban Ocon,0.0026112953,0.011718532,0.028879413,0.049560327,0.062396284,0.06548128,0.083446346,0.07403102,0.0679726,0.065251596,0.06085984,0.047432378,0.05001938,0.04418193,0.03867952,0.034608126,0.036580272,0.033849932,0.037657402,0.104782455
14,George Russell,0.0052176774,0.00956882,0.006734141,0.006647202,0.006602635,0.008041938,0.0065408526,0.009819022,0.012050402,0.024409952,0.031028189,0.033167507,0.06885424,0.090406016,0.096267134,0.12496586,0.12109144,0.11227475,0.11183903,0.11447317
15,Daniil Kvyat,0.0008126582,0.0043208734,0.009550233,0.017144753,0.023120943,0.03395978,0.04025002,0.04730276,0.051416777,0.06689317,0.06860324,0.06090309,0.08274258,0.0723818,0.070162855,0.06692388,0.0638843,0.054585893,0.059195295,0.10584516
16,Kevin Magnussen,6.299312e-05,0.0005912604,0.0015984217,0.003951231,0.0068770885,0.017144198,0.022387784,0.034462977,0.04231864,0.061902948,0.072651446,0.06850812,0.10369001,0.086076215,0.08420179,0.075378135,0.071106516,0.059703063,0.062034935,0.12535219
17,Nicholas Latifi,0.0029930202,0.008991824,0.011467856,0.015730724,0.018591363,0.023066841,0.024106918,0.029268324,0.03116183,0.04288567,0.049866557,0.045490324,0.06762602,0.07637809,0.071466744,0.07589225,0.080684,0.07827944,0.08027058,0.16578165
18,Antonio Giovinazzi,0.0007846147,0.0034580508,0.005591754,0.009206317,0.012263991,0.019562887,0.021557327,0.02909439,0.033292137,0.04922852,0.057105586,0.05375907,0.083536364,0.08397303,0.08179872,0.083379135,0.08263166,0.074453734,0.07699189,0.13833077
19,Kimi Raikkonen,0.0029323085,0.012072851,0.026536928,0.044781763,0.05685518,0.060071617,0.07659081,0.069250956,0.06264846,0.05881589,0.05829119,0.04518229,0.047652703,0.045607124,0.038520217,0.034624614,0.03891585,0.03828513,0.04148727,0.1408769
