,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.066145055,0.08521785,0.113270864,0.09339912,0.09051269,0.06964016,0.055055056,0.03422079,0.030584458,0.022646096,0.018348688,0.01628513,0.014129494,0.018874811,0.016431512,0.018033,0.025297923,0.03235321,0.029737057,0.14981702
1,Max Verstappen,0.19129969,0.15331915,0.15115242,0.0978189,0.077252984,0.04313402,0.032004155,0.018274236,0.015840666,0.012893452,0.010281888,0.008982744,0.008544853,0.012101198,0.011021628,0.013050012,0.017784338,0.02303858,0.021930927,0.0802742
2,Lando Norris,0.0065907794,0.020076316,0.045242637,0.05699216,0.073014304,0.089731,0.08156692,0.062801704,0.06080059,0.045969933,0.037635304,0.03388376,0.028677417,0.030945797,0.026889496,0.026438836,0.033352684,0.036367096,0.034399062,0.1686243
3,Alexander Albon,0.024772152,0.0478546,0.08117515,0.08128684,0.087087825,0.08040002,0.06844697,0.048023872,0.044938795,0.035864893,0.029019685,0.02580487,0.02321783,0.027048085,0.024171846,0.025427708,0.032157097,0.036433358,0.035018403,0.1418501
4,Lewis Hamilton,0.27178514,0.16829862,0.14345565,0.08294247,0.06561283,0.035358313,0.024590679,0.012452156,0.010300708,0.006967584,0.0056348066,0.0049673123,0.004172223,0.006961044,0.0058889985,0.0070229936,0.01145094,0.017658632,0.015297248,0.09918166
5,Sergio Perez,0.0012090729,0.006627113,0.021283383,0.035559565,0.052903216,0.085102975,0.08603725,0.07875755,0.08141374,0.06804753,0.055645704,0.05026816,0.044568732,0.039622188,0.035636675,0.032912116,0.035969883,0.03309892,0.03327012,0.12206605
6,Charles Leclerc,0.19139777,0.15334867,0.15115346,0.09780534,0.077239856,0.04312302,0.031993706,0.018265946,0.015832704,0.012884913,0.010275185,0.008976944,0.008538456,0.012094124,0.011014499,0.013041819,0.0177761,0.023031758,0.021922605,0.08028301
7,Carlos Sainz,0.011207662,0.028809961,0.058260214,0.067190535,0.079234876,0.08580027,0.07644242,0.057460014,0.055166766,0.04403017,0.035773147,0.031977873,0.028391272,0.030931134,0.027545882,0.02791114,0.0342687,0.037003417,0.035788476,0.14680609
8,Lance Stroll,0.0010429265,0.005761315,0.016251167,0.02720686,0.037932903,0.059651416,0.05905304,0.063896626,0.070313714,0.07533548,0.06505291,0.061396085,0.06565402,0.05605571,0.055156484,0.05309871,0.050915796,0.04169344,0.043853648,0.09067777
9,Daniel Ricciardo,0.039479584,0.06540768,0.10024974,0.09232727,0.08969676,0.071801536,0.060394544,0.042089712,0.039329104,0.03458137,0.0276612,0.024351522,0.023703061,0.027117217,0.025277594,0.02751379,0.032636575,0.0354303,0.035553873,0.10539754
10,Sebastian Vettel,0.27489668,0.17194931,0.14683375,0.08490118,0.06544528,0.034212776,0.024019929,0.012429021,0.010371715,0.0074596107,0.005998201,0.0052645938,0.0046244883,0.0074379356,0.006454284,0.007755246,0.012008184,0.017701287,0.015795212,0.08444126
11,Pierre Gasly,0.01089763,0.02623651,0.04457705,0.050519135,0.059827395,0.06862716,0.057460345,0.0477827,0.04753651,0.040416285,0.03555359,0.033841625,0.03173783,0.0378681,0.03414261,0.035477504,0.045220684,0.050471034,0.046303038,0.19550328
12,Daniil Kvyat,0.007690472,0.021003729,0.036297157,0.043434586,0.050024487,0.057763297,0.049472082,0.04662636,0.048653223,0.05002933,0.044677157,0.043090526,0.04630883,0.050221153,0.048668697,0.051262707,0.05681727,0.05560375,0.05439105,0.13796419
13,Esteban Ocon,0.009665311,0.026327623,0.05507377,0.06523025,0.07749955,0.08541152,0.0770486,0.059194747,0.057312425,0.04690807,0.038051274,0.03398708,0.030657094,0.03248894,0.029216679,0.029486543,0.0352475,0.03702642,0.03629062,0.13787603
14,Romain Grosjean,0.002452702,0.009264806,0.01891315,0.026962461,0.03706889,0.05687688,0.049665987,0.05048152,0.054069173,0.050020117,0.04657973,0.046541598,0.04564124,0.05038414,0.046326373,0.04616326,0.055405613,0.056501336,0.051573865,0.19910721
15,Kevin Magnussen,0.00048262652,0.0031468382,0.008791751,0.016214373,0.02475727,0.047002148,0.04556745,0.056183375,0.064774804,0.07126825,0.06621479,0.066314444,0.07206746,0.06406498,0.06281687,0.059776507,0.05913628,0.048910815,0.04879126,0.11371769
16,George Russell,0.07101216,0.07547951,0.056723095,0.04313279,0.03497635,0.025559358,0.01754655,0.017125022,0.018070277,0.024655877,0.024687128,0.025918392,0.036193397,0.05101177,0.054784898,0.06894709,0.07740185,0.08192115,0.0776546,0.11719876
17,Antonio Giovinazzi,0.0064390316,0.01729171,0.026754722,0.032165438,0.037954755,0.04721246,0.03867096,0.039408807,0.042260382,0.044650376,0.042460877,0.04304722,0.047417153,0.055319805,0.053624835,0.057153378,0.06608315,0.0669339,0.06231669,0.17283429
18,Kimi Raikkonen,0.018755157,0.03966805,0.07136221,0.07498889,0.084512606,0.084135026,0.07227537,0.051149484,0.04799539,0.036718316,0.029869856,0.026688924,0.02317736,0.027065264,0.023739181,0.024527403,0.03182004,0.036584448,0.034526166,0.16044076
19,Nicholas Latifi,0.038356077,0.061276883,0.08212417,0.0750685,0.07282951,0.06092419,0.048967566,0.037508,0.036250763,0.034344338,0.029274119,0.027102813,0.02803856,0.033997577,0.03230989,0.035938986,0.043076593,0.04715445,0.045815032,0.1296419
