,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.30157313,0.20148186,0.1386035,0.07504988,0.068792194,0.027354416,0.021192657,0.012711126,0.00782589,0.006736786,0.0064191967,0.0050718826,0.004045104,0.005729553,0.0055141887,0.0070947,0.009654914,0.014131112,0.013523853,0.06749417
1,Valtteri Bottas,0.13795863,0.15166754,0.14742918,0.10262328,0.09312935,0.045014985,0.03754832,0.025406264,0.01855924,0.018646909,0.016483542,0.013534904,0.012944641,0.015012409,0.015049327,0.018291198,0.02075435,0.023865853,0.024681764,0.06139819
2,Max Verstappen,0.13016456,0.14760597,0.14660327,0.10365687,0.09400869,0.04599571,0.038543206,0.026275907,0.019399982,0.01968011,0.017315796,0.0142523935,0.013785852,0.015790202,0.015869262,0.019219508,0.021562237,0.024425248,0.025382524,0.0604626
3,Daniel Ricciardo,0.0050593438,0.019053442,0.043295253,0.061583664,0.07108675,0.070650175,0.072562404,0.06625749,0.059835754,0.070064224,0.054720953,0.047885913,0.05078038,0.04238537,0.043099444,0.04368187,0.03954264,0.034263708,0.03690222,0.06728911
4,Alexander Albon,0.020597927,0.049217936,0.081776194,0.08831299,0.09030596,0.066800244,0.06333449,0.05175767,0.044341017,0.05045228,0.040940538,0.035128206,0.037397802,0.034546353,0.035313893,0.038467035,0.036837123,0.03411143,0.036863513,0.063497245
5,Esteban Ocon,0.0008184177,0.00523189,0.01709154,0.034122046,0.04780688,0.07023801,0.07957442,0.08269789,0.0761468,0.08808446,0.06661233,0.05927006,0.05840975,0.04477861,0.0444827,0.041121293,0.03645177,0.031117266,0.032392703,0.083551034
6,Carlos Sainz,0.001580594,0.008342391,0.023891684,0.04231554,0.05574493,0.071639486,0.07839418,0.07774625,0.07060472,0.08143097,0.06242781,0.055157065,0.055200074,0.043874748,0.043832224,0.041837327,0.037639596,0.032633495,0.03422494,0.08148194
7,Sergio Perez,0.00028083954,0.0024918495,0.010207992,0.02455125,0.036254946,0.06387505,0.07640377,0.085993074,0.08454747,0.10288484,0.07508071,0.06803968,0.06995927,0.048785735,0.048829906,0.04308465,0.035616998,0.02781851,0.02946511,0.0658283
8,Lance Stroll,0.00046287957,0.0036098817,0.013543889,0.029671567,0.0405501,0.06320846,0.07360531,0.080254324,0.08044011,0.100772694,0.073601246,0.066667564,0.072587855,0.05071506,0.051556397,0.046739694,0.037860405,0.028637925,0.031116754,0.054397836
9,Lando Norris,0.001474525,0.0076969774,0.021844903,0.03936483,0.05533884,0.075048275,0.08250133,0.081635185,0.070154235,0.07625144,0.059441794,0.05207228,0.04770418,0.03965385,0.038752522,0.036667746,0.03497885,0.032912336,0.03321041,0.11329553
10,Daniil Kvyat,0.00022185841,0.0019462884,0.006559992,0.015707808,0.02311864,0.04457824,0.051252335,0.06602688,0.06937494,0.097481,0.077282615,0.07459878,0.08506086,0.06308769,0.06594346,0.059264544,0.047947988,0.03721097,0.038640093,0.07469499
11,Pierre Gasly,0.00035044755,0.0028525502,0.010917848,0.025331382,0.03827016,0.06669602,0.07880295,0.08736374,0.08223111,0.09623243,0.07173339,0.06458064,0.06286748,0.046096347,0.045579884,0.04051106,0.03514694,0.02933451,0.03026577,0.08483522
12,Charles Leclerc,0.05976934,0.0946953,0.11843134,0.1019279,0.099377,0.059510943,0.052803617,0.039052553,0.030373326,0.03192637,0.027205888,0.02276443,0.022439761,0.023608766,0.02376459,0.02736641,0.029046148,0.030721955,0.03215112,0.07306326
13,Sebastian Vettel,0.1267251,0.1457444,0.14617687,0.10409231,0.09437687,0.046431527,0.03898977,0.026671125,0.019787263,0.020160928,0.017701248,0.014585523,0.014180736,0.016150905,0.016250497,0.019649563,0.021931648,0.024674783,0.025698142,0.060020655
14,George Russell,0.0019229495,0.005577756,0.004133069,0.005115974,0.0056064464,0.007812682,0.0063572614,0.010885091,0.013199488,0.030906888,0.03739558,0.04443683,0.0774005,0.09324491,0.11743194,0.13442805,0.11381702,0.10064318,0.09720896,0.0924753
15,Kimi Raikkonen,0.00086646463,0.0053946055,0.017247442,0.03411499,0.048366982,0.071157634,0.08034062,0.083149344,0.07527231,0.08571749,0.06533707,0.057997223,0.055869322,0.0436353,0.0431233,0.03992593,0.036064647,0.031599257,0.03253847,0.092281714
16,Romain Grosjean,5.138044e-05,0.00055129896,0.0015177975,0.0042690295,0.007307801,0.020924002,0.023504926,0.04084019,0.04593451,0.07802465,0.07215808,0.077922545,0.09411433,0.078948736,0.086229466,0.07618931,0.06264169,0.052230697,0.049403813,0.12723576
17,Antonio Giovinazzi,0.00026013952,0.0017687395,0.0034902622,0.0072736233,0.01030435,0.02086942,0.021408167,0.033771493,0.038300645,0.06808505,0.06498826,0.06984775,0.09355472,0.08383104,0.0945482,0.09091044,0.07451272,0.061252184,0.060288467,0.10073429
18,Nicholas Latifi,0.0008807415,0.0042004804,0.006548579,0.011054588,0.014417361,0.023335664,0.022555547,0.03242968,0.03486237,0.059594776,0.05854495,0.061697323,0.08124724,0.07915267,0.08911957,0.09041181,0.078276925,0.06873579,0.06744437,0.11548954
19,Kevin Magnussen,3.2635326e-05,0.00039881654,0.0011956797,0.003630641,0.0063931784,0.019850167,0.022780277,0.040988546,0.0471145,0.08141109,0.07450446,0.08109365,0.09889215,0.080378346,0.087931074,0.07621214,0.061296884,0.04976209,0.047171988,0.118961684
