,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.48371297,0.18578784,0.08277515,0.04592838,0.04328664,0.015740065,0.016537204,0.0061122035,0.0044214013,0.0027850813,0.0030167503,0.0020676635,0.0020311405,0.0027200384,0.0030053002,0.003620822,0.004703067,0.0106627345,0.007705059,0.073380396
1,Valtteri Bottas,0.27969933,0.17483549,0.116547816,0.07729525,0.07323471,0.032506324,0.029976243,0.014442209,0.011860386,0.0079598455,0.007916182,0.0059053497,0.006182835,0.007468022,0.0079846615,0.010106727,0.011896719,0.019260503,0.016617654,0.08830369
2,Max Verstappen,0.20965363,0.15902153,0.12440583,0.08856474,0.084088236,0.040400308,0.035374727,0.018935537,0.01635426,0.011255669,0.01082055,0.008348199,0.008964589,0.010393128,0.010968114,0.014157948,0.016026286,0.022697669,0.021011986,0.08855699
3,Charles Leclerc,0.053149033,0.062235136,0.07157372,0.0811835,0.090427704,0.065786384,0.07062635,0.041580647,0.036488906,0.028194461,0.027784336,0.02082119,0.022224644,0.021887999,0.023362102,0.02558835,0.028134016,0.035628382,0.03360535,0.15971781
4,Lando Norris,0.007978431,0.01488276,0.025851421,0.047860187,0.062963285,0.07094663,0.09383337,0.061449815,0.055020127,0.048042025,0.048465062,0.035318118,0.037530094,0.031098848,0.033556532,0.031018931,0.032996293,0.036845457,0.035611924,0.18873072
5,Lance Stroll,0.0011406515,0.004424543,0.014088549,0.034234963,0.04548485,0.06937026,0.0757145,0.07372804,0.07978861,0.07669063,0.068130285,0.05631785,0.06581131,0.046656176,0.047942698,0.047606513,0.043706637,0.029487722,0.03713983,0.08253532
6,Carlos Sainz,0.0059537077,0.013277454,0.026600424,0.04953243,0.06335159,0.07334011,0.08688987,0.06445619,0.061613824,0.054434378,0.05218669,0.040036157,0.044084948,0.0356635,0.037722327,0.036973514,0.037505645,0.03568474,0.037817545,0.14287496
7,Daniel Ricciardo,0.0050639473,0.011734729,0.024316687,0.0470257,0.060897976,0.07294414,0.087687254,0.06569687,0.0629542,0.05615412,0.053894613,0.041286886,0.045468878,0.036284726,0.038401,0.037180047,0.03759449,0.035345666,0.037576627,0.14249153
8,Esteban Ocon,0.0017097213,0.0052920645,0.013916426,0.03356067,0.0464638,0.06882944,0.08685152,0.07213908,0.07182803,0.06805648,0.06498522,0.05028104,0.056229163,0.041282214,0.043602224,0.0400786,0.039199382,0.03267995,0.03638955,0.1266255
9,Sebastian Vettel,0.21860796,0.16148253,0.12359498,0.08713874,0.082710594,0.03931014,0.034665007,0.01829026,0.0156884,0.010760271,0.010392424,0.0079810675,0.008540717,0.0099573955,0.010527043,0.013552206,0.015422899,0.022246508,0.020396871,0.08873388
10,Pierre Gasly,0.00069430715,0.0028255812,0.005694886,0.012643523,0.020506494,0.037079602,0.047189657,0.046089564,0.050580677,0.049093,0.059314538,0.048495304,0.06079166,0.0535725,0.059968494,0.0553709,0.057123188,0.053167135,0.052579068,0.2272199
11,Alexander Albon,0.020986704,0.03566208,0.055949524,0.074878834,0.084980555,0.07364096,0.07375704,0.052474134,0.050274745,0.04100496,0.038217586,0.030254876,0.03370593,0.030470887,0.031838767,0.035506718,0.036409944,0.03628353,0.038677786,0.12502445
12,Kevin Magnussen,4.885798e-06,7.833889e-05,0.00027934072,0.0011051289,0.0025417167,0.01122825,0.014839424,0.027117908,0.039974585,0.048417516,0.07110492,0.06735046,0.10445664,0.08573716,0.09969592,0.08424534,0.07935493,0.049047474,0.05384433,0.15957566
13,Antonio Giovinazzi,7.076796e-05,0.0005873602,0.0011643338,0.0026414755,0.0051865024,0.013820056,0.015825192,0.023305764,0.031942766,0.033443127,0.050261766,0.04718536,0.07170886,0.073269606,0.08571192,0.0835009,0.08499873,0.069190934,0.068284705,0.23789994
14,Kimi Raikkonen,0.0012078398,0.003849558,0.008221778,0.01974277,0.03059475,0.050649803,0.07124412,0.058491487,0.05805847,0.055697888,0.06218109,0.047330458,0.05436172,0.04381182,0.048396565,0.04196785,0.043619774,0.0431018,0.04220717,0.21526325
15,Romain Grosjean,2.6925554e-05,0.0002462977,0.00058995775,0.0018698071,0.004092725,0.013735281,0.019954318,0.027342452,0.03516134,0.03933094,0.060372822,0.05256203,0.07555797,0.068162836,0.08097203,0.06673943,0.06878057,0.05851861,0.055068083,0.27091563
16,Nicholas Latifi,0.0002912998,0.0017394507,0.0027605041,0.0047954004,0.008435421,0.017024282,0.017634936,0.023439487,0.031014184,0.030148275,0.04373573,0.041051622,0.0612459,0.067639396,0.07831,0.08308223,0.08626126,0.076365046,0.07432226,0.25070328
17,Daniil Kvyat,0.00013651661,0.0009775654,0.0025627178,0.006450025,0.011193204,0.026331956,0.029622685,0.03966774,0.05107607,0.05304423,0.0651529,0.059068765,0.082457975,0.07132028,0.07926876,0.07705933,0.07410294,0.052644923,0.0585719,0.15928957
18,George Russell,0.00010920397,0.001021605,0.0013031638,0.0016625728,0.0030787666,0.006742947,0.0051766993,0.010062151,0.016757278,0.01620024,0.027622173,0.030923238,0.056507286,0.07956934,0.09428981,0.12178823,0.124483354,0.09711706,0.09749267,0.20809224
