,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.22316608,0.17176232,0.1346482,0.08744015,0.073004775,0.031738568,0.027568478,0.016765296,0.012278472,0.01033635,0.01153509,0.008282495,0.007917778,0.009492218,0.010544122,0.010982137,0.014188627,0.023726804,0.020724617,0.093897395
1,Lewis Hamilton,0.46046963,0.18578787,0.092816986,0.04719747,0.036625236,0.012820037,0.0124027245,0.0061260783,0.0037172192,0.0031018627,0.004183563,0.0026283674,0.0022525839,0.0030518002,0.0037319849,0.0033411323,0.0051540453,0.013206469,0.009604633,0.09178034
2,Max Verstappen,0.16813836,0.15642056,0.1399579,0.09765288,0.08330157,0.038593784,0.03247921,0.020995127,0.01624917,0.013714345,0.01447708,0.010810492,0.0106712235,0.012342117,0.013328479,0.01451269,0.01779918,0.026260203,0.024204474,0.08809118
3,Charles Leclerc,0.019620763,0.033828724,0.055468734,0.06728383,0.0737413,0.06324738,0.0691827,0.051721618,0.043355282,0.042502582,0.043949943,0.032222718,0.031090496,0.028896743,0.03324436,0.030453514,0.03166522,0.041787244,0.041290313,0.1654465
4,Alexander Albon,0.007406031,0.022748826,0.052936576,0.072583735,0.080432214,0.07404164,0.06589316,0.060291134,0.06162231,0.058350753,0.048535835,0.041899294,0.04631547,0.039789535,0.040090058,0.0462615,0.04099723,0.033788346,0.04059679,0.065419525
5,Daniel Ricciardo,0.004723868,0.013782714,0.03363807,0.05266782,0.06324067,0.06952558,0.074266694,0.06516154,0.06256,0.06332103,0.057715453,0.04598585,0.047429614,0.039197013,0.042848635,0.041996434,0.037823465,0.037137784,0.04182038,0.105157405
6,Esteban Ocon,0.0008004784,0.0036580795,0.013360704,0.029217413,0.040505257,0.06387411,0.07637931,0.075342596,0.07830722,0.08575506,0.07441143,0.060352184,0.06290592,0.045317456,0.050184898,0.046414755,0.037039053,0.031482223,0.038138952,0.08655285
7,Lando Norris,0.0020452733,0.0060594836,0.016631166,0.03181204,0.042713717,0.060538262,0.08055721,0.068763904,0.06240075,0.068849035,0.06887776,0.050374456,0.048210222,0.037339274,0.044757094,0.03629019,0.032631733,0.037983757,0.040288474,0.16287628
8,Sergio Perez,0.00045150492,0.0022983283,0.009411244,0.02302129,0.033636115,0.06024648,0.0767585,0.07746765,0.081255294,0.091967575,0.08013097,0.06432957,0.0663771,0.045799598,0.051667396,0.045660596,0.03540769,0.029938344,0.036526453,0.08764829
9,Carlos Sainz,0.0011023015,0.004483916,0.015045896,0.031279244,0.042637978,0.06412417,0.07760127,0.07381199,0.07431069,0.081015415,0.07250231,0.057576705,0.058995992,0.043538213,0.048901822,0.044297434,0.036493964,0.033296656,0.03911133,0.09987273
10,Sebastian Vettel,0.074484,0.09601623,0.11388687,0.09926842,0.09293074,0.05452681,0.048666235,0.034370832,0.028360298,0.025119701,0.025325574,0.019336104,0.01938995,0.020427702,0.022050189,0.023487533,0.026373945,0.034383252,0.03364534,0.10795037
11,Pierre Gasly,0.00071714853,0.002842459,0.009984987,0.023092823,0.033523183,0.05801055,0.080545,0.07451337,0.07178935,0.08237537,0.07875325,0.058983993,0.05744749,0.041052107,0.048979964,0.03928157,0.032643795,0.03375291,0.037872605,0.13383797
12,Daniil Kvyat,0.00013373763,0.00093945366,0.0050609983,0.015309046,0.024416504,0.054702003,0.07323907,0.08076751,0.09045414,0.107026085,0.0887844,0.07310294,0.076837145,0.04846336,0.054452367,0.04743555,0.033712022,0.025054941,0.032507565,0.06760108
13,Antonio Giovinazzi,1.227457e-05,0.00020129005,0.00050548365,0.0012021086,0.002957208,0.008713,0.009519745,0.022184445,0.028376717,0.045237754,0.06428663,0.06643207,0.09564492,0.08120412,0.109025195,0.115435556,0.07389721,0.062618144,0.07010937,0.14243667
14,Kevin Magnussen,2.3525595e-06,4.9797825e-05,0.00017521213,0.0005859467,0.001677039,0.007234885,0.009876849,0.023772575,0.030557422,0.05376877,0.07811673,0.076488525,0.10445788,0.07765072,0.11145335,0.099615104,0.05945417,0.05184801,0.05837217,0.1548425
15,Romain Grosjean,6.6898633e-06,9.835493e-05,0.00030218466,0.00091081805,0.0023954276,0.008927284,0.012740146,0.026143022,0.030738186,0.051914364,0.0770932,0.07028526,0.08947662,0.06864394,0.100082606,0.08376975,0.05457154,0.055661056,0.059023604,0.20721595
16,George Russell,2.4169716e-05,0.00043783427,0.00047450195,0.0006336686,0.0015931026,0.0032548953,0.0023789625,0.007813902,0.010643087,0.017344344,0.031548105,0.03940127,0.07160855,0.084529385,0.1137455,0.16701768,0.11113753,0.096769184,0.09977888,0.13986546
17,Nicholas Latifi,4.4327946e-05,0.00054661627,0.00086013996,0.0014600189,0.0033399358,0.0073448867,0.0070088543,0.016307715,0.01982566,0.030599672,0.04875076,0.05128554,0.07653743,0.07664427,0.10391595,0.11971577,0.08416655,0.082129456,0.08460037,0.18491614
18,Kimi Raikkonen,0.00027924,0.001421655,0.0049978644,0.012528801,0.02059438,0.042590078,0.061182257,0.06533757,0.064956784,0.08090784,0.08455492,0.06498335,0.065853976,0.04712345,0.058952965,0.046514038,0.03686531,0.038645234,0.0427049,0.15900537
