,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.4449939,0.1762431,0.1200494,0.055532463,0.039989386,0.018745344,0.012108385,0.006955324,0.0041950014,0.0027972036,0.0029590703,0.0029679078,0.0019289297,0.0032934733,0.0032790974,0.0033140962,0.0039564446,0.00853631,0.008921388,0.07923381
1,Valtteri Bottas,0.22066097,0.16420731,0.15229866,0.093298316,0.07232495,0.03819974,0.027973238,0.018161738,0.012907711,0.010637458,0.010216966,0.009765694,0.0079934355,0.01074799,0.01089598,0.011326229,0.012056208,0.018384904,0.020006744,0.07793572
2,Carlos Sainz,0.0027356525,0.01010444,0.029353278,0.049500376,0.05919503,0.07798785,0.08398211,0.07628211,0.06841898,0.06571647,0.06024562,0.052792467,0.043376055,0.037421282,0.03976479,0.031942077,0.029545572,0.030649569,0.036333315,0.11465292
3,Sergio Perez,0.00036790315,0.0024838094,0.011016186,0.027046988,0.037903182,0.069648966,0.0866126,0.089230366,0.08766032,0.08983682,0.08062691,0.06833357,0.056838665,0.041365653,0.04474096,0.032816183,0.028710002,0.02552466,0.03125865,0.08797761
4,Max Verstappen,0.2024202,0.16008173,0.15295936,0.096276626,0.07516635,0.04016008,0.029766856,0.01955589,0.014120323,0.0118770115,0.0113017345,0.010752485,0.008999141,0.011824637,0.012008342,0.0125164045,0.013176495,0.019431792,0.021228587,0.076376
5,Lando Norris,0.0027195548,0.009396976,0.027591988,0.04683606,0.057257585,0.0802148,0.08593609,0.07728375,0.066620775,0.059719607,0.056658633,0.05011749,0.03744873,0.03379534,0.035848595,0.027587827,0.026306188,0.030064117,0.035413887,0.15318206
6,Daniel Ricciardo,0.0068092933,0.020446958,0.04789836,0.06696889,0.07227659,0.07538106,0.076257266,0.06601504,0.059492495,0.0602528,0.05352054,0.047112215,0.04319168,0.038263775,0.040404167,0.035710335,0.032689825,0.03244996,0.03816761,0.08669108
7,Lance Stroll,0.00038050694,0.0028177958,0.012093236,0.028982464,0.038906395,0.06366257,0.079467565,0.08290414,0.08685547,0.099877395,0.08462153,0.07066518,0.06904581,0.04682205,0.050763294,0.04017547,0.03344111,0.025352187,0.03134882,0.051816996
8,Alexander Albon,0.03383676,0.060787883,0.09719244,0.096919954,0.09003883,0.068177454,0.060767345,0.047184534,0.039788935,0.039027147,0.03487939,0.031520903,0.029617544,0.03003255,0.03123582,0.030427,0.028942017,0.031799506,0.036417786,0.08140613
9,Pierre Gasly,0.00036677447,0.002379047,0.010643846,0.026285907,0.037386023,0.07155725,0.08874871,0.09090075,0.08709742,0.08542615,0.07836251,0.06680475,0.0522949,0.039141808,0.042291265,0.030168014,0.026905363,0.025432121,0.03102357,0.1067839
10,Daniil Kvyat,0.00015501706,0.0013237857,0.005808773,0.015830122,0.022891473,0.04750822,0.062832095,0.07547204,0.08094057,0.09833672,0.091689534,0.08071165,0.07821238,0.054241266,0.06165201,0.04550064,0.038361903,0.029738117,0.036697462,0.07209616
11,Esteban Ocon,0.0010614311,0.0051913843,0.018485144,0.03733354,0.04828368,0.07510514,0.08658863,0.083436504,0.07781277,0.076488085,0.06968364,0.06016064,0.049186237,0.039320428,0.042129453,0.03224424,0.029142238,0.028392786,0.034161005,0.105793044
12,Charles Leclerc,0.07829834,0.09581087,0.12423274,0.10254222,0.08973689,0.06089928,0.05008548,0.03604241,0.027810546,0.024541188,0.022983996,0.021343188,0.018050391,0.020961316,0.021561287,0.021060996,0.021287305,0.028038954,0.0313629,0.103349775
13,Kimi Raikkonen,0.0009632272,0.004688889,0.017139738,0.035378247,0.04663736,0.07610183,0.08812488,0.08500644,0.078023866,0.07425687,0.068782546,0.05957237,0.046413843,0.037657425,0.040346116,0.030072143,0.027532138,0.027980626,0.033609048,0.12171231
14,Kevin Magnussen,2.6434594e-05,0.00028578073,0.0011325674,0.0037350745,0.006022011,0.01899163,0.027874064,0.046488848,0.05378566,0.079863235,0.09192029,0.09258561,0.09800046,0.07230392,0.0923422,0.06193418,0.05302959,0.040864848,0.049986646,0.10882705
15,Romain Grosjean,6.6422464e-05,0.0005258229,0.0017584885,0.004958355,0.0075946995,0.021714943,0.029821167,0.046581857,0.05020217,0.068492875,0.08151108,0.083746344,0.08171936,0.06709685,0.08480557,0.057218023,0.05137268,0.045630187,0.054781433,0.16040175
16,Sebastian Vettel,0.16658966,0.14558224,0.14926572,0.10001727,0.08018857,0.045303453,0.034391813,0.023071164,0.016907776,0.014368406,0.013627723,0.012894548,0.010806256,0.013807508,0.01406319,0.014433435,0.015057918,0.02165925,0.023789337,0.08417468
17,Antonio Giovinazzi,0.0002607484,0.001521806,0.0035943459,0.0076557747,0.010053149,0.020510223,0.025742562,0.03828133,0.041888088,0.0633128,0.072799936,0.07611647,0.08925333,0.076646745,0.0968196,0.075501636,0.06668563,0.05501043,0.06520432,0.11314098
18,George Russell,0.0016137188,0.0044661965,0.003960373,0.0048419135,0.004907218,0.006846695,0.0073457276,0.012520992,0.01392573,0.028086249,0.03838406,0.048326116,0.079982534,0.09041486,0.1258318,0.119746536,0.11004428,0.09268397,0.10389988,0.10217116
19,Nicholas Latifi,0.0010195746,0.0038994378,0.0069434755,0.011524386,0.013697168,0.022800552,0.025959257,0.035458103,0.03611169,0.051331446,0.06054882,0.06498256,0.07363939,0.07183954,0.089709505,0.07342843,0.06791438,0.06385733,0.07391531,0.15141962
