,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.515878,0.20882617,0.076518826,0.034210015,0.030358713,0.01178256,0.007587784,0.0047194636,0.0022427884,0.0014138387,0.0021070938,0.0015614779,0.0013206815,0.0019230112,0.0023238456,0.0026275925,0.0032764897,0.008885657,0.005968641,0.07646724
1,Valtteri Bottas,0.2032322,0.18754451,0.13531552,0.08721856,0.08023876,0.03902857,0.025834639,0.019019043,0.012591773,0.008933667,0.010100567,0.008279803,0.008084413,0.009809372,0.010487104,0.013057496,0.01421789,0.022214817,0.019211631,0.08557962
2,Max Verstappen,0.17248076,0.17639977,0.13850032,0.09343988,0.0863494,0.043200485,0.028694488,0.021573355,0.014886087,0.01071833,0.011707842,0.009718917,0.009661107,0.011458831,0.012064701,0.015203449,0.016276928,0.023741342,0.0211893,0.08273462
3,Charles Leclerc,0.025065988,0.047918603,0.065917484,0.078966446,0.08675725,0.0731526,0.06084905,0.053518105,0.042809512,0.032916352,0.035835735,0.029526068,0.029203074,0.028579606,0.030151095,0.03360989,0.031945817,0.039284166,0.03691381,0.13707945
4,Sergio Perez,0.0011763164,0.005597064,0.016914492,0.038529046,0.04951143,0.071000114,0.071714215,0.077791855,0.08262674,0.0710264,0.06721359,0.05788265,0.06124319,0.04691452,0.046641152,0.04943586,0.039923713,0.03253783,0.03613355,0.07618618
5,Alexander Albon,0.013758799,0.04089409,0.078660294,0.096100606,0.098708436,0.07625107,0.05701088,0.053944465,0.054820724,0.04555278,0.03783391,0.034590144,0.03953896,0.036235854,0.033833995,0.044616126,0.039816625,0.03144898,0.036777478,0.049605742
6,Carlos Sainz,0.0031069994,0.011394856,0.027431618,0.05112704,0.06229867,0.075227685,0.07104308,0.072463505,0.07140951,0.059543215,0.057951495,0.049520552,0.051736586,0.04263551,0.04287547,0.046628326,0.03948621,0.035676546,0.03808159,0.09036139
7,Lando Norris,0.003012627,0.009682276,0.021298239,0.04208696,0.054007802,0.07224274,0.073627464,0.073938,0.066314,0.053744417,0.059318017,0.04824614,0.047089003,0.039115492,0.041649513,0.04128174,0.03549971,0.03864129,0.037474155,0.14173044
8,Pierre Gasly,0.0017572489,0.006680733,0.016952872,0.037205383,0.048817363,0.07087177,0.0741687,0.07731388,0.07340675,0.06079405,0.064777344,0.05332098,0.05296682,0.042159777,0.044211145,0.04380417,0.03658175,0.036499023,0.036736704,0.12097349
9,Esteban Ocon,0.0009885335,0.004948391,0.015617628,0.036779556,0.04761963,0.07013103,0.071484774,0.0784344,0.0847071,0.07328252,0.06869221,0.05934309,0.0630841,0.047691803,0.047220305,0.049990628,0.040012717,0.031806964,0.0356933,0.07247136
10,Daniil Kvyat,0.00019632971,0.0014038943,0.006119121,0.020394443,0.029429736,0.059758995,0.0702074,0.084403664,0.09847429,0.08830036,0.08376842,0.07165234,0.07537007,0.050880745,0.050759017,0.049451873,0.03694507,0.027093673,0.03101535,0.064375214
11,George Russell,3.971046e-05,0.00066944206,0.00049072923,0.00095984235,0.0014047192,0.0031620797,0.0017949053,0.006551578,0.009973041,0.014762834,0.02948737,0.037640646,0.059059005,0.09851676,0.11620996,0.1425687,0.12963717,0.11926712,0.10286068,0.12494371
12,Sebastian Vettel,0.09228515,0.12992513,0.13323371,0.10642507,0.10106497,0.056980316,0.038970966,0.03136162,0.024378274,0.018336136,0.018335372,0.0157073,0.016337622,0.01796631,0.018195119,0.023381326,0.023715233,0.028568253,0.02776557,0.077066526
13,Kimi Raikkonen,0.00032270962,0.0019015173,0.005260674,0.015436197,0.022806743,0.047002867,0.052493714,0.068540104,0.0714531,0.06491438,0.078408934,0.06656809,0.0679366,0.05407748,0.058906697,0.054396637,0.043567486,0.0425985,0.041541476,0.1418661
14,Antonio Giovinazzi,2.4269337e-05,0.00036922895,0.00065554056,0.0021105362,0.0034216964,0.0099651115,0.00859966,0.02203132,0.030914206,0.03847348,0.06193722,0.06600765,0.0857299,0.09339992,0.1067026,0.1079442,0.08695091,0.07486623,0.06994124,0.12995496
15,Romain Grosjean,1.3719188e-05,0.00019275672,0.0004584287,0.001962428,0.0035092696,0.012894617,0.0140681,0.031983953,0.040940043,0.047161583,0.07829481,0.07509995,0.08618218,0.079824075,0.09466177,0.08170969,0.06310687,0.06100302,0.054341797,0.17259094
16,Kevin Magnussen,4.4498593e-06,8.948169e-05,0.00021587487,0.001037424,0.0019385364,0.008338186,0.008803418,0.024170235,0.03463596,0.04367698,0.07578922,0.07722787,0.09480506,0.09111564,0.108200684,0.094847925,0.071587734,0.063014284,0.057055846,0.14344515
17,Nicholas Latifi,5.923008e-05,0.0007694608,0.0008576027,0.0020303586,0.003071287,0.0073005524,0.0052371332,0.014461412,0.01966832,0.025357628,0.045123104,0.050684046,0.06926414,0.091823384,0.10726654,0.1173161,0.10191454,0.097611606,0.08581771,0.15436584
