,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.37869313,0.23503458,0.08308804,0.066520385,0.046460975,0.025515547,0.01408796,0.009777686,0.0063082515,0.0041113473,0.0041115396,0.0037766504,0.0029596395,0.0050607026,0.003532583,0.004729878,0.007529908,0.012232653,0.011368126,0.0751002
1,Valtteri Bottas,0.17272703,0.18377227,0.11546718,0.10338619,0.0789243,0.04664695,0.031135963,0.022996856,0.017404651,0.014412319,0.013209884,0.011887043,0.011208443,0.0147557715,0.011913772,0.014889885,0.018901186,0.023235438,0.023414763,0.069709994
2,Max Verstappen,0.16709937,0.18105464,0.11599366,0.10425125,0.0798243,0.047296196,0.031772505,0.023516417,0.017894195,0.014938169,0.013651565,0.012275955,0.011647791,0.015199183,0.012332323,0.015377132,0.0193708,0.023589328,0.023836564,0.0690787
3,Alexander Albon,0.019502481,0.04967821,0.0692017,0.09075488,0.086979635,0.073040605,0.06305203,0.05297532,0.04651004,0.046506472,0.040953085,0.035193082,0.0361575,0.035296556,0.032267135,0.035218738,0.036470708,0.035012808,0.037580866,0.07764814
4,Charles Leclerc,0.03722678,0.073700584,0.07836148,0.097701624,0.08989002,0.07308554,0.057709012,0.047107622,0.03834644,0.034221467,0.031416733,0.027255725,0.0256337,0.028308941,0.02415282,0.02721944,0.03138064,0.03438285,0.03551194,0.10738657
5,Lance Stroll,0.0002619056,0.0024776165,0.010646289,0.027484339,0.03871418,0.062150173,0.07694398,0.07961146,0.082529016,0.09882603,0.0863445,0.068781935,0.071974166,0.047806393,0.049718134,0.0437272,0.036282506,0.026700227,0.030418327,0.058601685
6,Sergio Perez,0.00017386013,0.0017966689,0.007822577,0.023192935,0.034849055,0.065076865,0.080653965,0.085737035,0.08541189,0.094401345,0.08638777,0.0680624,0.06458676,0.044281323,0.04411541,0.037818864,0.033341814,0.02649213,0.029362187,0.08643507
7,Daniel Ricciardo,0.0052032266,0.020097073,0.03944182,0.06552575,0.07160216,0.07572382,0.072896115,0.06562719,0.060020097,0.06219794,0.055233415,0.046272945,0.046728797,0.04091568,0.038500287,0.039138764,0.03844916,0.03468165,0.037658557,0.08408553
8,Carlos Sainz,0.0012903706,0.007418701,0.019550115,0.042741973,0.05402519,0.075348735,0.079524785,0.07700408,0.071298786,0.07284411,0.06682881,0.054474093,0.051377684,0.041788664,0.03934355,0.037153736,0.036107343,0.03224481,0.034821987,0.10481255
9,Lando Norris,0.0015312143,0.008132575,0.019142522,0.042933524,0.05450736,0.07895462,0.08019121,0.07739659,0.0684035,0.06470902,0.061419148,0.050081987,0.04395373,0.038133208,0.034330104,0.03258594,0.033879127,0.032899518,0.03461119,0.14220384
10,Daniil Kvyat,0.00017342115,0.0017487118,0.0073277447,0.019904628,0.029042669,0.052547988,0.06536578,0.07423163,0.07831592,0.09755239,0.089715414,0.07337747,0.07789921,0.052919853,0.056327015,0.04905832,0.040687677,0.030113334,0.033861227,0.06982964
11,Kimi Raikkonen,0.0004420618,0.0030019765,0.0074446946,0.018882707,0.026282959,0.05022652,0.053559978,0.065057464,0.062239453,0.06860922,0.07182388,0.062206864,0.05945473,0.051434517,0.050679557,0.04653673,0.045804314,0.042190447,0.043898057,0.17022389
12,Sebastian Vettel,0.08626298,0.12375805,0.09887328,0.10584384,0.08910829,0.06279073,0.045224346,0.03514495,0.027258188,0.022956196,0.021262772,0.018776672,0.017323367,0.021208437,0.017397061,0.020639185,0.025407834,0.030136382,0.030530771,0.10009657
13,Romain Grosjean,2.6009322e-05,0.00027094892,0.00064784935,0.00205693,0.0034294426,0.0121090375,0.013813957,0.028926,0.032687888,0.050726082,0.06828274,0.069381826,0.08061671,0.07367994,0.08859203,0.0770865,0.06903347,0.05865462,0.058618326,0.21135974
14,Pierre Gasly,0.000464673,0.0035802855,0.011939886,0.031086428,0.04324063,0.07161848,0.08144033,0.082882695,0.078617044,0.081683114,0.075701036,0.060579833,0.055947132,0.042373654,0.040524375,0.036366366,0.03428834,0.029557606,0.0320896,0.10601846
15,Antonio Giovinazzi,0.00010918826,0.0007721194,0.0014196364,0.003224101,0.004548149,0.011583769,0.012256146,0.024288733,0.028318223,0.04838971,0.06181062,0.06542231,0.088228434,0.08386834,0.10554363,0.09956081,0.08516044,0.068206556,0.06990232,0.13738681
16,George Russell,0.00070965185,0.00209729,0.0014520355,0.0018618723,0.0020142768,0.003939097,0.0032543319,0.007970993,0.009715057,0.020727297,0.030408792,0.039335214,0.06923361,0.09046738,0.1263858,0.1414788,0.12459275,0.1054157,0.103434436,0.115505554
17,Nicholas Latifi,0.00042223354,0.001967183,0.0024523328,0.004621934,0.005846779,0.012665905,0.011847391,0.022348162,0.024400286,0.03855228,0.050434493,0.054855816,0.071686596,0.07879337,0.09405597,0.09474787,0.08897099,0.07986967,0.079408705,0.18205203
18,Kevin Magnussen,1.26396935e-05,0.00016445908,0.00048848125,0.0016650578,0.002911137,0.0109431865,0.01341081,0.029034542,0.034603782,0.05797505,0.07640462,0.076982945,0.09417733,0.07859816,0.09911476,0.08359121,0.06956037,0.054034207,0.055337336,0.16098997
