,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.12061983,0.108892195,0.09518682,0.0811197,0.065260075,0.038419534,0.038106076,0.029406594,0.020869477,0.015423879,0.017196212,0.01464875,0.01174708,0.016774466,0.0166428,0.018069914,0.021272836,0.035180155,0.03017045,0.20499311
1,Pierre Gasly,0.0005014217,0.0019511438,0.0069003757,0.018519532,0.0266497,0.05202378,0.07295704,0.08151592,0.0787405,0.065759465,0.067162916,0.064533055,0.051055476,0.043967705,0.046745263,0.035562128,0.031087507,0.03713214,0.033631843,0.18360303
2,Charles Leclerc,0.009494357,0.015816106,0.026828183,0.041306894,0.044404127,0.049038183,0.060715474,0.056836344,0.045626417,0.03522847,0.03954372,0.03573977,0.027260387,0.031350728,0.03303345,0.028805012,0.029614685,0.045709923,0.038653117,0.3049947
3,Antonio Giovinazzi,7.4249588e-06,0.00011091262,0.0006836775,0.0030841113,0.0070267012,0.02838995,0.042783815,0.072758086,0.08999614,0.08904266,0.09443473,0.10423635,0.08990325,0.06269534,0.07010285,0.046634965,0.03419146,0.031421203,0.0291071,0.1033892
4,Esteban Ocon,0.00027868155,0.0014300223,0.006005282,0.017525587,0.026632482,0.055997517,0.07644571,0.087508805,0.09026565,0.0778525,0.07419857,0.07217375,0.06009355,0.04727593,0.049042787,0.03796171,0.03177262,0.03289163,0.031475376,0.12317181
5,Fernando Alonso,0.0006712784,0.0023063612,0.0075040064,0.01922538,0.026896674,0.05027396,0.070929535,0.078155585,0.073331915,0.060397223,0.06341747,0.060556795,0.046986047,0.042158566,0.045208097,0.034316026,0.03061695,0.03879357,0.034378484,0.21387605
6,Daniel Ricciardo,0.008634118,0.02324152,0.046056647,0.066821344,0.07250128,0.07204888,0.0738772,0.06722703,0.06115728,0.050633296,0.04650048,0.04224433,0.038228184,0.03788842,0.036109045,0.036947977,0.035928067,0.038184926,0.038040936,0.107729055
7,George Russell,0.00042027334,0.0024031554,0.00969498,0.025057161,0.03647784,0.06618098,0.08033817,0.08804889,0.09397401,0.08294408,0.07240199,0.06990989,0.06318316,0.04827382,0.047486328,0.040811803,0.034084704,0.030366274,0.03126369,0.076678805
8,Lance Stroll,3.9934977e-05,0.00034928307,0.0023044506,0.009399805,0.017055232,0.050458867,0.07375298,0.093891464,0.10888113,0.098753326,0.088191,0.08904704,0.076308124,0.05008091,0.052033983,0.037306733,0.028237345,0.024662986,0.024761539,0.07448394
9,Lando Norris,0.0058222893,0.013928504,0.028694768,0.04719215,0.053499125,0.06193632,0.071827605,0.06837094,0.059951358,0.048424635,0.048805695,0.04467082,0.037072554,0.0379436,0.038241822,0.035068683,0.034203738,0.04263104,0.039308798,0.18240565
10,Yuki Tsunoda,9.2521885e-05,0.00045174468,0.002222646,0.008386417,0.014133862,0.040030897,0.06630165,0.0829672,0.083331734,0.070148736,0.07535001,0.07471727,0.055259053,0.0437087,0.049175207,0.03193246,0.026238998,0.03290229,0.028464282,0.21418424
11,Sebastian Vettel,0.0056976327,0.012952948,0.026384428,0.043994162,0.049979664,0.059015617,0.0701867,0.06718207,0.0581079,0.046565354,0.0480841,0.044012163,0.03576138,0.037173383,0.037946936,0.03405059,0.033383857,0.043488804,0.039309412,0.20672297
12,Mick Schumacher,7.242732e-05,0.00062205235,0.0021820469,0.0064166747,0.011952481,0.03171283,0.042686567,0.06508382,0.07109253,0.06727642,0.07665824,0.08150538,0.0695771,0.060260937,0.066759974,0.04979751,0.041048538,0.044582292,0.039461892,0.17125025
13,Nikita Mazepin,6.2364315e-06,0.0001378734,0.00042884878,0.001351233,0.0034857397,0.013463969,0.017275825,0.040023167,0.049977403,0.05531856,0.0763031,0.09275744,0.08576816,0.07905579,0.093909904,0.06783583,0.05289538,0.054442655,0.045296013,0.17026685
