,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.4341337,0.18376297,0.10304695,0.04758322,0.035383455,0.015932497,0.015191282,0.008417423,0.0047372254,0.0038194112,0.004196979,0.0032016523,0.0036028721,0.0045379475,0.0041524186,0.0044792825,0.00666609,0.014183758,0.011888243,0.09108244
1,Sergio Perez,0.07267186,0.105153315,0.12819989,0.104708664,0.093007445,0.058850143,0.051669113,0.037275914,0.029626852,0.024821535,0.022140203,0.018752156,0.021729302,0.02188446,0.019672116,0.023018729,0.026271109,0.030121356,0.03160024,0.07882568
2,Max Verstappen,0.2287779,0.17541917,0.13956071,0.0821003,0.065857716,0.033353947,0.029755138,0.018636514,0.012456945,0.010227159,0.010038283,0.008082199,0.009227793,0.010577811,0.009571746,0.010962954,0.014324239,0.022339318,0.02099002,0.08774024
3,Charles Leclerc,0.15084186,0.15519194,0.1468002,0.097352624,0.081077,0.043521468,0.037568104,0.025000961,0.018195726,0.0150732845,0.013990944,0.011569453,0.013304408,0.014556195,0.013099207,0.015454754,0.018933808,0.025320416,0.02517482,0.07797279
4,Pierre Gasly,0.005566246,0.015106117,0.030515714,0.046090353,0.051595166,0.06472354,0.07232047,0.06731149,0.059713136,0.052634515,0.050752185,0.044983216,0.054132923,0.04376971,0.040514156,0.039817378,0.0413012,0.04133593,0.044196017,0.13362052
5,Daniel Ricciardo,0.09486174,0.13003191,0.14563638,0.10856204,0.093783,0.053282827,0.04453978,0.031447526,0.02486998,0.02078334,0.018267248,0.015504419,0.01795468,0.018770317,0.016800739,0.020404028,0.023474528,0.027019098,0.028387569,0.06561892
6,Lando Norris,0.045654554,0.06498896,0.089395955,0.08601481,0.08027169,0.064264685,0.06473888,0.047752492,0.03679586,0.030879898,0.029382592,0.024424246,0.02824248,0.02657232,0.024206644,0.02546129,0.029439004,0.036151372,0.03671849,0.1286437
7,Valtteri Bottas,0.16629429,0.1603168,0.1459511,0.09425764,0.077850856,0.04125534,0.035872284,0.023554336,0.016823104,0.013908587,0.013070434,0.01074461,0.012336288,0.013636891,0.012286922,0.014401601,0.017896727,0.02476144,0.024313089,0.08046759
8,Esteban Ocon,0.0027054946,0.00976828,0.018835,0.031170992,0.03814591,0.053088747,0.058451504,0.063543655,0.060011175,0.055405185,0.055185795,0.052092154,0.06549411,0.053238302,0.04987348,0.049995773,0.05020249,0.047108352,0.05048001,0.13520348
9,Carlos Sainz,0.028446281,0.06019914,0.09713407,0.09973184,0.09508582,0.07192536,0.06417901,0.05063497,0.04441925,0.037684496,0.032115005,0.027946416,0.03266085,0.030036246,0.02695937,0.031322677,0.033026464,0.031858508,0.035505332,0.06912887
10,George Russell,0.00074945454,0.008160139,0.0023152644,0.0023353135,0.004363714,0.0043748626,0.002846549,0.008671708,0.010407326,0.0140391635,0.019876191,0.031601854,0.058172878,0.08582604,0.08786406,0.13998471,0.14091744,0.12863435,0.11714466,0.13171443
11,Nicholas Latifi,0.0011810428,0.009180072,0.0039769066,0.0044757947,0.007554316,0.00834199,0.0063197273,0.014930413,0.01649702,0.020316586,0.027123092,0.0377906,0.063472204,0.08157512,0.08206652,0.11457524,0.117416106,0.113357626,0.105205186,0.1646445
12,Fernando Alonso,0.010843254,0.02303947,0.030041566,0.03716574,0.04183778,0.04764991,0.052670505,0.051326025,0.04194513,0.038229447,0.04143284,0.03770022,0.047017157,0.043074142,0.040610414,0.040299784,0.045421302,0.055349674,0.05391021,0.22043535
13,Kimi Raikkonen,0.005103171,0.015409786,0.025626082,0.03711664,0.04354827,0.053677823,0.05742475,0.059519656,0.05389852,0.049419504,0.049741015,0.046451863,0.058146134,0.04982238,0.046598632,0.047638346,0.049551487,0.04989293,0.052248657,0.14916447
14,Antonio Giovinazzi,0.00028809218,0.0030477059,0.0024581982,0.004108474,0.0072808927,0.011296331,0.00980279,0.022796432,0.027185304,0.03240886,0.04011199,0.053664275,0.08669205,0.090419345,0.09021894,0.11330962,0.106101446,0.08572678,0.086285844,0.1267966
15,Mick Schumacher,0.0016332798,0.008378583,0.007485677,0.01055502,0.015501241,0.020690853,0.019812752,0.032395296,0.032401998,0.034797274,0.04182913,0.047936328,0.07007885,0.07120802,0.06967755,0.07949877,0.08192869,0.08209889,0.07982769,0.19226423
16,Nikita Mazepin,0.00014754267,0.0016967852,0.0015973208,0.0031129082,0.0057557635,0.010668671,0.010060522,0.024059355,0.028906928,0.03450835,0.04359094,0.057912484,0.093388654,0.09121224,0.091574736,0.107946075,0.09967982,0.07987723,0.080369756,0.13393395
