,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.21475767,0.18866009,0.13757025,0.097644135,0.068830505,0.037160963,0.026311768,0.015147706,0.012752774,0.0110734375,0.009550972,0.008496726,0.0077901967,0.010483315,0.011580943,0.011095097,0.015528933,0.018426213,0.01888631,0.078251965
1,Lewis Hamilton,0.3532718,0.20354375,0.114532925,0.07121008,0.046268284,0.023742128,0.0154312095,0.008126164,0.0064468635,0.0051525724,0.0045871236,0.0041264864,0.003467076,0.0053448165,0.00621732,0.005685096,0.009142227,0.012405791,0.012336996,0.08896131
2,Valtteri Bottas,0.07888445,0.11833656,0.12448539,0.112854265,0.09300245,0.05787493,0.046967015,0.030333111,0.027690472,0.025816975,0.021659994,0.018880665,0.018581973,0.021356916,0.02244079,0.02183764,0.026128896,0.02709939,0.028371686,0.07739644
3,Sergio Perez,0.029413084,0.062899105,0.087144755,0.09928953,0.09499297,0.0694596,0.063202284,0.04412074,0.042702507,0.04052331,0.033744544,0.02886395,0.028762333,0.03015784,0.031066816,0.029415797,0.03225971,0.031562436,0.033018805,0.087399915
4,Carlos Sainz,0.0012910048,0.006397896,0.017970223,0.039287552,0.057749465,0.06916766,0.085902005,0.07230576,0.08103462,0.0763744,0.06360871,0.05156227,0.049976774,0.04304861,0.04325804,0.036064688,0.033076588,0.029659702,0.030220894,0.11204306
5,Pierre Gasly,0.00014280123,0.0012177166,0.005401615,0.01801117,0.03496593,0.057669118,0.08759544,0.08320286,0.10251845,0.09614305,0.08009777,0.062707834,0.059663165,0.045275465,0.044782963,0.03436611,0.028091066,0.02382403,0.023858367,0.110465065
6,Charles Leclerc,0.010158621,0.027179759,0.0475298,0.07054081,0.08054667,0.07362437,0.07521305,0.05531334,0.056038965,0.050990902,0.043095153,0.03607099,0.0340374,0.034458518,0.03591173,0.031220801,0.03340102,0.033301257,0.033901013,0.13746579
7,Lando Norris,0.00057104055,0.003124142,0.010101124,0.0268141,0.044947837,0.064245306,0.08635875,0.07452242,0.08570358,0.07661487,0.06504362,0.051895164,0.04716715,0.04060065,0.04165145,0.032003604,0.029605303,0.027748955,0.027457295,0.16382352
8,Fernando Alonso,0.0002486581,0.0014516297,0.0039933547,0.011184331,0.02133559,0.03248145,0.046608716,0.05392996,0.06755493,0.07201962,0.067952536,0.060237523,0.06311627,0.059730083,0.062426437,0.04901578,0.042620596,0.039326575,0.036057275,0.2087086
9,Daniel Ricciardo,0.004312325,0.01667917,0.03670907,0.061602425,0.07590394,0.07305625,0.08063804,0.06411739,0.068454206,0.066754915,0.054942686,0.045515783,0.04618218,0.04157582,0.041477364,0.03740707,0.035511006,0.031592607,0.03296961,0.08459804
10,Esteban Ocon,4.5932033e-05,0.0004863575,0.0024428482,0.009842994,0.022308312,0.042986352,0.07219438,0.078577526,0.10306555,0.10106423,0.08732672,0.069667384,0.06813573,0.051075093,0.050729115,0.03760947,0.029068127,0.024266422,0.02347457,0.12563288
11,Sebastian Vettel,0.0021795097,0.008578032,0.020947551,0.042747192,0.060240977,0.07042057,0.08356532,0.06700119,0.07271037,0.06539457,0.05544557,0.04520671,0.04170122,0.03871418,0.04004332,0.032481253,0.03216582,0.031086683,0.031132229,0.15823764
12,Antonio Giovinazzi,4.1361833e-05,0.0002649045,0.0003910956,0.0009834833,0.0022633614,0.0032248306,0.0050229905,0.012936105,0.02000783,0.038081836,0.046887167,0.057080597,0.09870358,0.1201061,0.12767678,0.12021387,0.08535823,0.069682345,0.05393528,0.13713823
13,George Russell,0.00019151528,0.00058897596,0.00031723094,0.00044126547,0.00080928614,0.0007603214,0.00096001226,0.0034142365,0.005276991,0.013931293,0.020524181,0.03177497,0.0735212,0.12797529,0.1432562,0.16188279,0.12263523,0.10493253,0.07348853,0.11331796
14,Nicholas Latifi,0.00012014786,0.0004906206,0.00040698732,0.00071973726,0.0014294735,0.00158972,0.002171073,0.0065051634,0.009940846,0.02233231,0.030213581,0.041808102,0.08384794,0.12504183,0.13705643,0.14261144,0.10653847,0.09014496,0.066270515,0.13076064
15,Kimi Raikkonen,8.159346e-05,0.0005822139,0.0014568841,0.00432203,0.009369578,0.014847715,0.023043968,0.036648914,0.050785474,0.06733367,0.0693735,0.06821729,0.08633716,0.08524754,0.088560596,0.073707856,0.057079162,0.048776276,0.04224068,0.17198785
16,Nikita Mazepin,3.0381052e-05,0.00019254934,0.00026416633,0.0006716704,0.0016084005,0.0023393128,0.003705015,0.010469858,0.016597778,0.033279717,0.04259591,0.053777657,0.09678565,0.12297732,0.13216321,0.12469038,0.08769515,0.07205231,0.054181084,0.1439225
17,Lance Stroll,9.423153e-05,0.00080493535,0.0023583043,0.006799286,0.013852437,0.020402947,0.031330407,0.046096366,0.06317661,0.08379592,0.08047758,0.07583455,0.09809744,0.08600542,0.08522503,0.07490964,0.054591976,0.04253026,0.03918179,0.09443492
