,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.3690067,0.2040306,0.10294299,0.055412326,0.04984753,0.022306725,0.013636443,0.010511696,0.0074125435,0.0042402633,0.0054602996,0.0049336,0.0046436447,0.0072304695,0.006487538,0.007035171,0.010825011,0.019755771,0.013583091,0.08069756
1,Valtteri Bottas,0.094066694,0.13881715,0.1384749,0.10637189,0.101265006,0.057440236,0.039071236,0.0313947,0.026653642,0.018971885,0.01837777,0.01645059,0.017104715,0.020100707,0.017369453,0.020793743,0.02532336,0.028379157,0.02610167,0.057471473
2,Max Verstappen,0.28074697,0.19878928,0.11909063,0.07011317,0.063978426,0.03039257,0.019086087,0.014867247,0.010985845,0.00664012,0.007958816,0.0071741994,0.006924085,0.0100433575,0.0089263925,0.009924127,0.014396499,0.023236096,0.01719115,0.0795349
3,Sergio Perez,0.081746265,0.13059968,0.13765804,0.10882865,0.10407925,0.060178988,0.041289058,0.033288296,0.028688518,0.020784343,0.019675383,0.017598826,0.018446485,0.021189915,0.018255053,0.022029366,0.026325693,0.028361982,0.026706746,0.054269467
4,Pierre Gasly,0.0012994142,0.0049464386,0.014891397,0.030569747,0.044674676,0.07043681,0.07230233,0.081007876,0.08715793,0.0638363,0.06747014,0.05684128,0.05646219,0.048364438,0.04578008,0.036379725,0.03748819,0.03353242,0.03348942,0.113069244
5,Lando Norris,0.015794586,0.034746546,0.057276372,0.070183836,0.082547426,0.07690877,0.063822426,0.060434695,0.0569644,0.040424462,0.041856043,0.03636633,0.036659822,0.037568733,0.034091447,0.03293773,0.037567884,0.039069448,0.036598407,0.108180694
6,Charles Leclerc,0.06866928,0.10646222,0.11682664,0.09971819,0.10019922,0.06411324,0.04573491,0.03832899,0.033106197,0.023237703,0.023317048,0.02071527,0.021231068,0.024449877,0.021458715,0.024092624,0.029231807,0.033057246,0.030025525,0.07602428
7,Esteban Ocon,0.00020086233,0.0012980989,0.006243531,0.017943224,0.029421547,0.06307631,0.07353969,0.09001994,0.10845475,0.08575687,0.08437488,0.06990462,0.07095498,0.051698927,0.049356315,0.03690184,0.033969488,0.024692824,0.027583117,0.07460819
8,Fernando Alonso,0.0013812078,0.004725843,0.013603203,0.028014492,0.04169645,0.06748119,0.06986427,0.079428114,0.08406887,0.059415683,0.06632223,0.055742506,0.054269467,0.047789987,0.04580172,0.034837708,0.036964647,0.035427004,0.033838432,0.13932694
9,Sebastian Vettel,0.025393222,0.049675666,0.07218709,0.0795309,0.08950743,0.07489273,0.059501518,0.054452423,0.049910843,0.035139002,0.03630798,0.03174427,0.032072295,0.034143686,0.030729879,0.030857842,0.035982393,0.038708445,0.035720855,0.10354155
10,Daniel Ricciardo,0.025810959,0.06422901,0.09898452,0.10188911,0.10619349,0.07768748,0.05879278,0.05063375,0.047895487,0.03718511,0.032821063,0.02899062,0.031063711,0.031201355,0.026977226,0.031371906,0.034055788,0.030631159,0.031853456,0.051732104
11,Lance Stroll,0.0004658511,0.002890918,0.011978633,0.028528325,0.042175185,0.072228,0.07712214,0.08707094,0.102485694,0.084374234,0.076155424,0.0640075,0.06723459,0.050163053,0.046337813,0.039561566,0.03619199,0.025119245,0.029254662,0.05665414
12,Kimi Raikkonen,0.0004536016,0.0021747528,0.008355663,0.021023907,0.033396933,0.06460125,0.07204473,0.086102754,0.0978226,0.07288798,0.07711091,0.06419653,0.06356568,0.050540835,0.04856561,0.035931118,0.03543363,0.029592818,0.030490482,0.10570821
13,Yuki Tsunoda,0.00056532555,0.0022943027,0.008057869,0.019808585,0.031848934,0.061964836,0.06908854,0.083392814,0.09211302,0.06543708,0.07419896,0.061685305,0.059563268,0.04954767,0.048272017,0.034104515,0.03511389,0.03231375,0.03132634,0.13930297
14,George Russell,0.00022473816,0.0034260575,0.0035072824,0.004203832,0.0093262615,0.010841104,0.009973908,0.02287206,0.031520646,0.038442094,0.053564414,0.060010776,0.08004341,0.10046054,0.10052305,0.097188115,0.111616805,0.07752197,0.07980155,0.104931414
15,Nicholas Latifi,0.00029618418,0.0034261376,0.0040157684,0.0052887094,0.011272461,0.0141870985,0.013429295,0.028206147,0.03711743,0.040841773,0.05721893,0.061331652,0.07705055,0.09316085,0.09352412,0.08432935,0.097411886,0.07402847,0.07324476,0.13061842
16,Nikita Mazepin,4.5622408e-05,0.00072240504,0.0014885515,0.0030450884,0.0073481416,0.01411086,0.015831785,0.035337053,0.050461583,0.05471813,0.07513846,0.07671947,0.09319069,0.09446692,0.09720327,0.07486678,0.078815505,0.053886842,0.05632592,0.116276965
