,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lando Norris,0.006051062,0.016620057,0.037695497,0.06421185,0.07338678,0.08284192,0.07732465,0.071424544,0.06435665,0.057935234,0.049080137,0.04406377,0.045547586,0.040830098,0.035339497,0.039749485,0.038711738,0.034078714,0.038399845,0.08235072
1,Carlos Sainz,0.06542532,0.11130952,0.138362,0.11937122,0.10520779,0.066963024,0.045399588,0.03727196,0.02983134,0.0259134,0.021057945,0.017760849,0.01931141,0.022089852,0.018030573,0.024319772,0.026115458,0.025620252,0.028870182,0.05176855
2,George Russell,5.34283e-05,0.0019440873,0.0012411262,0.0014827593,0.004071843,0.006509876,0.00577671,0.012913397,0.018844146,0.026380897,0.04148167,0.04956841,0.08113774,0.098502055,0.10000681,0.13139088,0.12526982,0.0905956,0.097227655,0.105601095
3,Lewis Hamilton,0.727417,0.11562622,0.044401117,0.017298896,0.011625192,0.0053485627,0.0023060793,0.0016689881,0.0007378451,0.0005535688,0.0005596307,0.00050762057,0.000484259,0.0009650729,0.00092236,0.0014303561,0.0016145039,0.0045416066,0.0037959774,0.05819516
4,Daniel Ricciardo,0.0185993,0.053636923,0.0946869,0.10837953,0.10771935,0.08264374,0.06471263,0.05447172,0.049823023,0.044445947,0.03463889,0.03027768,0.032957554,0.03168099,0.026294054,0.0336468,0.033419795,0.02704899,0.03137678,0.039539352
5,Fernando Alonso,0.00073567824,0.0028215954,0.010032705,0.028738601,0.040010452,0.07032328,0.08370985,0.08480853,0.08297173,0.07666932,0.067436434,0.06344298,0.06295747,0.04717992,0.04273828,0.041750036,0.0378737,0.0311369,0.034984667,0.08967782
6,Lance Stroll,0.00019473133,0.0010972432,0.005216201,0.01934082,0.029940987,0.06336188,0.08573919,0.08950061,0.096478425,0.09102412,0.07842088,0.07600262,0.07500577,0.048996665,0.0451672,0.041770015,0.035679385,0.025703423,0.029401325,0.06195838
7,Sergio Perez,0.17370473,0.1574193,0.1413259,0.100049295,0.08028636,0.04670298,0.028375177,0.023331653,0.015909823,0.013439512,0.011785242,0.009619981,0.010269866,0.014054114,0.01140781,0.015677731,0.018315049,0.023103971,0.024931664,0.08028982
8,Esteban Ocon,0.0002637835,0.0014445207,0.00646751,0.022210943,0.0334235,0.066046394,0.0862841,0.08871588,0.09498158,0.08933362,0.07625475,0.07344037,0.07301636,0.048750535,0.044617813,0.042189598,0.036331322,0.026194071,0.030030077,0.060003117
9,Sebastian Vettel,0.0037698855,0.0112493755,0.028330036,0.054337114,0.06497857,0.08106681,0.08000486,0.075438835,0.069381446,0.06284713,0.053635206,0.048679788,0.049874984,0.042854562,0.037473492,0.040833812,0.03909882,0.033785023,0.03806646,0.08429375
10,Pierre Gasly,0.00031693865,0.001478766,0.006294396,0.021570858,0.0322436,0.065196596,0.08463094,0.087998115,0.090425335,0.08455721,0.07425719,0.07116667,0.07001493,0.048451267,0.04450074,0.041641124,0.03652357,0.028283373,0.031974398,0.078473926
11,Yuki Tsunoda,0.00010797587,0.00056618545,0.002981842,0.013321279,0.021977538,0.056167737,0.082389854,0.09015511,0.09529688,0.09013473,0.08146745,0.07983513,0.07664821,0.0489854,0.046106618,0.0400006,0.034043778,0.026077889,0.029299185,0.08443659
12,Mick Schumacher,4.8339966e-06,0.00038091888,0.00017888757,0.00023028356,0.00089801865,0.0019482438,0.0018468185,0.0057752007,0.009676391,0.015684526,0.0316544,0.041995358,0.07765568,0.10166408,0.111047566,0.14382777,0.13560738,0.0977415,0.10141081,0.12077144
13,Nikita Mazepin,5.521852e-07,8.9288405e-05,3.0523428e-05,4.0749463e-05,0.00021869424,0.00061432726,0.0006102326,0.0026044908,0.004958611,0.009220879,0.02347276,0.03428566,0.07139399,0.10137474,0.118287824,0.15265886,0.1429407,0.10273545,0.10333953,0.13112211
14,Valtteri Bottas,0.10482513,0.11197316,0.1179499,0.124095,0.09163933,0.059779517,0.039607488,0.024921082,0.025281863,0.01945284,0.013077113,0.01501047,0.011521946,0.017802797,0.0155612845,0.019766254,0.021682467,0.024007594,0.035662342,0.10638233
15,Antonio Giovinazzi,1.3457021e-06,0.00010917985,7.475318e-05,0.00014437016,0.0006204069,0.0018603866,0.0021131465,0.006793293,0.011550013,0.018590711,0.03788475,0.051130455,0.08901133,0.1021799,0.114700004,0.13191016,0.11920813,0.085594065,0.08821057,0.138313
