,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Lewis Hamilton,0.43218356,0.19396971,0.028663829,0.013824716,0.00974056,0.00479902,0.0030356161,0.0031934786,0.002159895,0.0021801966,0.0033652117,0.0036744992,0.0045827366,0.010564996,0.010612105,0.012526755,0.020969905,0.03841504,0.027916858,0.1736213
1,Valtteri Bottas,0.34980598,0.2420509,0.10325803,0.06765632,0.045132235,0.01953685,0.014448675,0.008426403,0.0051845643,0.0037197236,0.003904022,0.0033849368,0.003074219,0.0049586715,0.0046602003,0.0048523108,0.007868426,0.014101887,0.011003843,0.08297177
2,Max Verstappen,0.32686532,0.13421592,0.011270649,0.0046970174,0.003589345,0.0020478216,0.0011927473,0.0019675998,0.0015108845,0.0020437392,0.0039761886,0.0050851884,0.008153954,0.022344764,0.023250217,0.030279424,0.048231468,0.08023235,0.057991482,0.23105396
3,Charles Leclerc,0.012608147,0.032968763,0.04655917,0.0684529,0.06383738,0.072571844,0.06874128,0.05643768,0.043845434,0.033101328,0.03121667,0.025869947,0.023107173,0.025745854,0.02534601,0.02169737,0.030757148,0.03825183,0.034272023,0.24461201
4,Sergio Perez,0.32626957,0.24069996,0.108207814,0.072355956,0.04889622,0.02152838,0.016048936,0.009468223,0.0059332685,0.0043273373,0.0044906926,0.0038903567,0.0035653156,0.005620362,0.005264408,0.005499187,0.0087267365,0.015123449,0.01195894,0.082124874
5,Pierre Gasly,0.00027655042,0.0023815401,0.009572058,0.026372913,0.03266551,0.07570746,0.08770748,0.09536947,0.09473725,0.08048646,0.06679724,0.053529963,0.049570933,0.038602285,0.038486745,0.029519148,0.03429228,0.028288936,0.029693916,0.1259419
6,Lando Norris,0.003305711,0.01467928,0.032213844,0.05752627,0.05997844,0.08180055,0.083224244,0.07569063,0.067735486,0.057424318,0.049754154,0.04087139,0.038794536,0.036016304,0.03476257,0.030022057,0.036364738,0.03504192,0.03471674,0.1300767
7,Yuki Tsunoda,5.2330688e-05,0.0006895057,0.0040933853,0.014977723,0.020739604,0.0681311,0.0858907,0.10489163,0.11119749,0.09422727,0.07620103,0.060080115,0.054609697,0.038041998,0.03878743,0.027468676,0.031198528,0.023398178,0.025441067,0.11988254
8,Esteban Ocon,0.00016057676,0.0016574073,0.0077596903,0.022997327,0.02962509,0.07382448,0.087763,0.09899854,0.10296313,0.090574734,0.07317772,0.05843982,0.05506656,0.04035937,0.04004471,0.030671954,0.033943053,0.025803654,0.027968377,0.0982009
9,Antonio Giovinazzi,2.2349164e-05,0.00025431858,0.00057214266,0.0016084863,0.002557771,0.010584787,0.011552988,0.030487007,0.040493228,0.05746091,0.06876773,0.07121525,0.10055105,0.09369049,0.101025455,0.085574366,0.08801207,0.05505329,0.059689444,0.120826915
10,Daniel Ricciardo,0.012038167,0.041109208,0.068515055,0.09096677,0.0867091,0.07864294,0.0740121,0.06066787,0.054616176,0.05079043,0.04296048,0.035960566,0.036813367,0.03541132,0.032504845,0.032026805,0.035644885,0.032826252,0.033227615,0.06455595
11,Kimi Raikkonen,3.8400503e-05,0.00050756993,0.0023342245,0.008030424,0.011717643,0.042051278,0.051076747,0.079622164,0.091531396,0.09162792,0.08288373,0.07094408,0.07410263,0.05549573,0.05747115,0.042984173,0.046740055,0.03244395,0.03555399,0.12284266
12,Fernando Alonso,0.00066791906,0.0045332774,0.014688393,0.034878206,0.04065686,0.07877078,0.087227196,0.08911861,0.085034415,0.07179966,0.060661215,0.049021736,0.04562695,0.03792346,0.03745246,0.029831251,0.035385616,0.031059125,0.031849585,0.13381334
13,George Russell,0.00042448746,0.0021864688,0.0020420393,0.0031220815,0.004114042,0.008651343,0.007826929,0.018734759,0.02342734,0.037826102,0.04970927,0.05565393,0.08985018,0.1058422,0.10886041,0.113729656,0.11479742,0.07909983,0.081972145,0.092129245
14,Carlos Sainz,0.00057697325,0.004187609,0.014297007,0.034365963,0.040543094,0.07881367,0.08783635,0.090611875,0.08843799,0.076486595,0.0636697,0.051441785,0.048566904,0.039310854,0.038581584,0.031025952,0.035714976,0.030029837,0.031326972,0.11417438
15,Nicholas Latifi,0.00025806337,0.0015389292,0.0018069937,0.003217796,0.0043572374,0.010598359,0.01006733,0.023359261,0.028718734,0.04275739,0.054272886,0.05866567,0.088300966,0.09862926,0.10274685,0.10022096,0.10465908,0.07367827,0.07617019,0.11597574
16,Sebastian Vettel,0.0007296899,0.0047782855,0.015041004,0.035361156,0.040932357,0.07873056,0.08682082,0.088166125,0.08322405,0.06955604,0.059165593,0.04783056,0.044261143,0.037277568,0.036899056,0.02930942,0.03522934,0.031546198,0.03209342,0.14304769
17,Lance Stroll,3.0605413e-05,0.0005222853,0.0037668333,0.014087416,0.020341976,0.06503209,0.083588146,0.10524509,0.12292326,0.11644706,0.08819504,0.06960527,0.06774246,0.042308312,0.041795522,0.031243853,0.030966025,0.019254714,0.022570485,0.05433352
18,Mick Schumacher,0.00017028204,0.0010594788,0.001292273,0.002508187,0.0034842063,0.009748865,0.009437815,0.022920523,0.027857756,0.040044528,0.052172124,0.05638171,0.082778856,0.09351054,0.09958758,0.09272744,0.10132833,0.07414126,0.075266846,0.15358129
19,Nikita Mazepin,4.1702806e-05,0.00027704443,0.00025226673,0.0005140529,0.000797184,0.0031248378,0.002960222,0.010750993,0.014311689,0.024406984,0.038605418,0.046642255,0.07954775,0.101098344,0.113848165,0.10618454,0.11755369,0.08242259,0.082124904,0.1745354
