,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.28760886,0.18763927,0.12393772,0.07493948,0.057395224,0.03375029,0.01936643,0.012382153,0.009990695,0.008488425,0.007096545,0.006776541,0.00604219,0.008153601,0.007115771,0.009111709,0.011725388,0.019455167,0.016718416,0.092306085
1,Lewis Hamilton,0.3718369,0.1899639,0.108338974,0.060438365,0.044617403,0.025580494,0.01413356,0.008698168,0.0067912554,0.0057381387,0.0048891907,0.004713937,0.004057958,0.00578623,0.005073195,0.0064779595,0.008669451,0.016198453,0.013253405,0.09474302
2,Lando Norris,0.0077779097,0.020011123,0.042500332,0.058507785,0.0640699,0.078965805,0.06499544,0.060412068,0.061821442,0.05731504,0.04500724,0.042090464,0.039067168,0.035112638,0.032858737,0.031598315,0.034687143,0.039169893,0.038247745,0.1457836
3,Sergio Perez,0.09521506,0.135265,0.1425546,0.11137783,0.095894724,0.0611211,0.03955895,0.028557621,0.025583182,0.022123622,0.017411446,0.016124155,0.016077975,0.01820652,0.015656432,0.02022818,0.022977544,0.026127182,0.026245384,0.06369358
4,Valtteri Bottas,0.09925198,0.13753098,0.142791,0.11065097,0.09491263,0.060339294,0.038902745,0.027974969,0.024977429,0.021587573,0.017022463,0.015779419,0.015678,0.01785353,0.0153601365,0.019839684,0.022626422,0.02604105,0.026028458,0.064851336
5,Pierre Gasly,0.00084424164,0.0038013763,0.013843501,0.028524056,0.037151054,0.06906283,0.06766518,0.07543561,0.08588387,0.08335822,0.06431968,0.060004264,0.055014744,0.041155554,0.04032513,0.03265213,0.0339703,0.034516297,0.03456397,0.13790807
6,Charles Leclerc,0.019491985,0.03955308,0.06627375,0.07620087,0.07724274,0.078816704,0.060033824,0.05145785,0.050264295,0.045640726,0.036068894,0.0337391,0.031599794,0.030772751,0.028175699,0.02935998,0.032923285,0.038615096,0.037439413,0.13633022
7,Fernando Alonso,0.00050986046,0.0023112,0.009262003,0.0211121,0.028656134,0.062512636,0.06378494,0.07428527,0.085858874,0.08460207,0.06601281,0.06211467,0.05466935,0.03979151,0.039991453,0.029880097,0.031561993,0.034454107,0.033217125,0.17541163
8,Lance Stroll,0.00013601595,0.0012147515,0.0070307176,0.019200336,0.028362382,0.061962713,0.06902814,0.08773422,0.11040448,0.10976509,0.08084478,0.073782384,0.07288995,0.046046842,0.04518654,0.035228796,0.033144936,0.025200957,0.028313063,0.06452294
9,George Russell,6.298692e-05,0.0011013148,0.0018928776,0.003007653,0.007893355,0.012646654,0.011500186,0.024459112,0.037994362,0.054285288,0.061436284,0.06555995,0.08828092,0.08950534,0.09582861,0.08612209,0.09448559,0.07745502,0.07034341,0.11613902
10,Yuki Tsunoda,0.00018085258,0.0010510081,0.0053555043,0.014614191,0.021431815,0.056193776,0.061971545,0.07827177,0.0948651,0.09541134,0.07387765,0.06944536,0.06076535,0.04075845,0.04181755,0.028926538,0.029839741,0.031104311,0.030313797,0.1638043
11,Carlos Sainz,0.003299315,0.013260839,0.036101397,0.056364406,0.06544171,0.0816482,0.071399845,0.07050448,0.07637727,0.07130269,0.05395026,0.049481183,0.04940661,0.0403809,0.03726717,0.036645666,0.037321705,0.03339769,0.035964694,0.08048396
12,Daniel Ricciardo,0.011959969,0.03315511,0.06481959,0.07970369,0.083454154,0.083040394,0.06543832,0.057989523,0.058769576,0.053453837,0.04105887,0.03781655,0.037605964,0.034455676,0.031074392,0.033454057,0.03547537,0.03480455,0.036437176,0.08603324
13,Sebastian Vettel,0.01875478,0.03777978,0.0637766,0.074093625,0.075415745,0.07849435,0.06002689,0.051677365,0.05052162,0.045955516,0.036393277,0.034091327,0.031724095,0.03084132,0.028335761,0.029218622,0.032872252,0.039069414,0.037632693,0.1433249
14,Antonio Giovinazzi,2.281233e-05,0.00034274228,0.0017740881,0.0052540614,0.010849263,0.029725634,0.034597103,0.060480785,0.08780169,0.10360133,0.08980515,0.08749715,0.092880875,0.06263044,0.066439845,0.046742514,0.046070427,0.036666434,0.037153464,0.09966417
15,Nicholas Latifi,8.758498e-05,0.001154353,0.002412287,0.004246903,0.00987419,0.01774066,0.0167056,0.031865302,0.046789482,0.06231826,0.06573644,0.068620026,0.083500214,0.078677386,0.083897084,0.070700936,0.077522054,0.06938506,0.06281702,0.1459491
16,Esteban Ocon,7.816138e-05,0.0006808238,0.0043634037,0.013405855,0.020768624,0.05545322,0.064723276,0.086524,0.11049657,0.11190865,0.083824836,0.07744679,0.07227404,0.04442343,0.0450577,0.031691115,0.03056372,0.025883636,0.027520016,0.09291211
17,Kimi Raikkonen,0.00012321693,0.0008621659,0.004885595,0.01409255,0.021203076,0.056157637,0.063591935,0.082477234,0.10240537,0.10334131,0.07881963,0.07351333,0.066223145,0.042662337,0.043553278,0.030331336,0.030342905,0.02877759,0.029176336,0.12745997
18,Mick Schumacher,0.00012641627,0.0011070878,0.0043668775,0.010413764,0.018082526,0.040515166,0.042713728,0.06281765,0.08247751,0.091367014,0.0777655,0.0752672,0.075967856,0.056081995,0.057811875,0.04374343,0.04498798,0.041075837,0.040408503,0.13290206
19,Nikita Mazepin,1.2012216e-05,0.00023452223,0.0009373154,0.0025588982,0.0064252354,0.017605672,0.01994422,0.041742872,0.06544275,0.08645673,0.08479386,0.08654941,0.0992504,0.074437805,0.08191562,0.057644494,0.059200425,0.048361488,0.045827653,0.12065858
