,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Valtteri Bottas,0.33391622,0.21098903,0.10465106,0.067592554,0.047448203,0.02130433,0.01471442,0.012711712,0.0076766126,0.0051577897,0.0067493436,0.005338625,0.004723073,0.007513994,0.0065984232,0.008609092,0.0093359975,0.016414026,0.01577277,0.09278286
1,Max Verstappen,0.8207397,0.10018827,0.015202485,0.005878728,0.002908945,0.000868895,0.00052807125,0.00048776815,0.00019231591,9.777497e-05,0.00022175783,0.00015318161,0.000114149734,0.00030249424,0.00027789158,0.00035153973,0.0004451259,0.0016789912,0.0014095585,0.047952414
2,Charles Leclerc,0.055347454,0.06711338,0.0687248,0.07869351,0.07426466,0.05557538,0.047460634,0.045073356,0.03227061,0.024033338,0.029394403,0.024301693,0.02201747,0.027245143,0.024213118,0.027387809,0.026628578,0.03791236,0.036864433,0.19547795
3,Pierre Gasly,0.0028838476,0.008161937,0.019587893,0.041131645,0.0535947,0.06856003,0.072418585,0.07455315,0.066827476,0.056993816,0.06050978,0.052856114,0.050526924,0.045897365,0.040867046,0.04055242,0.035071313,0.036286604,0.03672233,0.13599701
4,Fernando Alonso,0.007293533,0.016393658,0.030784369,0.05368321,0.06347533,0.06883825,0.06797375,0.0680209,0.05738771,0.047184188,0.05163908,0.04442101,0.041992642,0.041600283,0.036945455,0.03830549,0.034328632,0.03847639,0.03866116,0.15259498
5,Sergio Perez,0.31678778,0.21003272,0.107936025,0.070755504,0.050141897,0.022791546,0.015790062,0.013621221,0.0083355075,0.005645085,0.0072723557,0.0057682954,0.005135271,0.008047715,0.0070541985,0.009206819,0.00995309,0.017075587,0.016503243,0.092146076
6,Lando Norris,0.05030491,0.08465312,0.09753953,0.10241816,0.09475017,0.064771734,0.051824454,0.046002682,0.036211316,0.02852947,0.029163653,0.024488261,0.023878567,0.027313996,0.02353347,0.028738596,0.028293842,0.032077033,0.033539828,0.09196721
7,Lance Stroll,0.00024261975,0.0014723684,0.006968073,0.02211121,0.036278937,0.066473246,0.07999011,0.08500319,0.09357948,0.09030758,0.08017139,0.07341129,0.07527225,0.052653585,0.046350468,0.04309101,0.03435102,0.02553976,0.027434241,0.05929822
8,Yuki Tsunoda,0.00061809534,0.0020894716,0.0069682933,0.020885069,0.032276027,0.057113454,0.07005672,0.078695215,0.07352701,0.06433682,0.0724664,0.06429731,0.059866745,0.04950605,0.04510557,0.039774083,0.03221077,0.033575196,0.032897078,0.16373461
9,Sebastian Vettel,0.021522049,0.039921872,0.057140395,0.07708135,0.080283776,0.06902874,0.06149449,0.058245637,0.04683839,0.03739957,0.04035075,0.034207318,0.032579176,0.03514683,0.030834943,0.034527402,0.03246461,0.03762843,0.038272902,0.13503145
10,Lewis Hamilton,0.846657,0.088051245,0.011558211,0.004281556,0.0021059096,0.0005970475,0.00036747195,0.00033516888,0.0001231955,6.147922e-05,0.00014463134,0.000103102764,7.211626e-05,0.00020175148,0.000189745,0.0002444886,0.00029804,0.0013127963,0.001016514,0.042278383
11,Esteban Ocon,0.001281471,0.005128688,0.015897272,0.037176143,0.05188607,0.07256126,0.0783926,0.07988815,0.07877185,0.071128264,0.067495175,0.06014805,0.060142178,0.04901397,0.043074884,0.04283082,0.036212973,0.031418715,0.033136867,0.0844146
12,George Russell,0.00013316274,0.0047593666,0.003094347,0.0040484285,0.009489834,0.009577766,0.008831054,0.015643261,0.023242546,0.032872036,0.04715195,0.053457763,0.07803373,0.09541095,0.09339187,0.12653822,0.102970615,0.08714483,0.09346746,0.11074085
13,Mick Schumacher,1.5270909e-05,0.0011689896,0.00043185762,0.00058944576,0.0019435394,0.002244945,0.0022392636,0.0056044892,0.00938143,0.015551658,0.03210447,0.040177334,0.06370259,0.093474545,0.09972869,0.13444978,0.10233898,0.104453735,0.10402655,0.18637241
14,Nicholas Latifi,0.00011379387,0.0038126197,0.0023118958,0.0031474556,0.007611626,0.008045417,0.007648086,0.014193417,0.020565812,0.028812122,0.04505419,0.051126778,0.07306756,0.09270032,0.09225623,0.12137706,0.097812794,0.090705335,0.09435346,0.14528394
15,Antonio Giovinazzi,2.2724473e-06,0.00022119135,0.00019597271,0.00046042458,0.0017648296,0.0031964204,0.003834726,0.009319364,0.017095445,0.02896664,0.050801348,0.06354629,0.09806405,0.10777264,0.1132754,0.13136944,0.09232925,0.07578686,0.0772234,0.12477401
16,Kimi Raikkonen,0.0002094161,0.0016616168,0.0035441548,0.009307405,0.01786562,0.030021884,0.03572539,0.04910135,0.054211758,0.05626155,0.07210546,0.06998034,0.07470746,0.068726264,0.06503803,0.06287021,0.049575157,0.04951728,0.048989028,0.18058068
17,Nikita Mazepin,9.155969e-07,0.00021292084,6.296335e-05,9.8657925e-05,0.00047512414,0.00067150407,0.00072882214,0.0024417583,0.005116315,0.010501736,0.026004197,0.03644679,0.06611589,0.100744635,0.114039965,0.15532444,0.10887032,0.1052952,0.10365555,0.16319223
18,Daniel Ricciardo,0.068481214,0.1240093,0.13360834,0.11936627,0.10312163,0.060550682,0.04473076,0.037437607,0.030206863,0.024141826,0.022434609,0.018855557,0.019132635,0.02189641,0.018474044,0.024279911,0.0245923,0.025298636,0.027574811,0.05180664
