,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.3880694,0.19914985,0.10686123,0.053587034,0.03902135,0.020055365,0.013296203,0.0076377583,0.004750039,0.004856121,0.004671689,0.0031154058,0.0035441676,0.004529365,0.0049234526,0.008739005,0.007413211,0.014907762,0.011334589,0.09953699
1,Sergio Perez,0.102152996,0.14975037,0.1468807,0.10994344,0.09177236,0.052858125,0.04340989,0.02886324,0.02215044,0.022180472,0.019143196,0.015478941,0.016401874,0.017734032,0.016374078,0.022111839,0.021410957,0.02536815,0.023644509,0.0523703
2,Charles Leclerc,0.07851846,0.13462298,0.14327678,0.11355748,0.098153956,0.05779147,0.048365794,0.032886144,0.026218476,0.026240662,0.022323476,0.01819755,0.019230193,0.020119753,0.018298207,0.024036694,0.023218667,0.025566459,0.024490412,0.04488629
3,Carlos Sainz,0.037625246,0.096378006,0.12644808,0.116038226,0.10967781,0.06832274,0.060013518,0.043214552,0.037989,0.037971582,0.031132273,0.02591161,0.02719175,0.026151199,0.02288,0.028000368,0.02688059,0.024531512,0.025206154,0.028435698
4,Lewis Hamilton,0.10660492,0.15222493,0.14727747,0.109188326,0.09061047,0.05199669,0.04256748,0.028197112,0.021501336,0.021532321,0.018628754,0.015042484,0.015946662,0.017337153,0.016048258,0.021772506,0.021090917,0.02529787,0.02347106,0.053663373
5,George Russell,0.019352362,0.069139935,0.10788959,0.11179401,0.113792464,0.07427746,0.06791295,0.051283184,0.048884388,0.048809186,0.038811866,0.03286501,0.034289975,0.030753989,0.026057025,0.030070525,0.028720286,0.02243315,0.02442947,0.018433183
6,Lando Norris,0.00035091204,0.0030351058,0.012515505,0.028583292,0.042493727,0.0778587,0.089716256,0.09339134,0.09071786,0.09527369,0.07581107,0.06488729,0.060380764,0.04408345,0.04257811,0.04018902,0.031214783,0.026197946,0.027511375,0.053209696
7,Esteban Ocon,8.960654e-05,0.0010879919,0.00606999,0.017599816,0.02950758,0.07087096,0.08771969,0.10054219,0.10107465,0.107434064,0.08454765,0.073015936,0.06592179,0.04460024,0.043965332,0.038658038,0.028485108,0.022983057,0.02443615,0.051390193
8,Sebastian Vettel,7.537364e-05,0.0008732965,0.0050594695,0.015264864,0.02589389,0.068996795,0.08621799,0.10051415,0.09754399,0.104372844,0.08331994,0.0714757,0.06381022,0.043490935,0.044213895,0.03898513,0.028079523,0.024565874,0.025312014,0.07193398
9,Fernando Alonso,0.00017985054,0.0018609837,0.008903297,0.022832684,0.03602769,0.07466585,0.08910839,0.09718619,0.09654605,0.10192153,0.08048405,0.069266856,0.06357223,0.044602517,0.043341056,0.039443422,0.02992075,0.024334487,0.025829904,0.049972266
10,Yuki Tsunoda,1.6176207e-05,0.00014537998,0.00026439317,0.0007543117,0.0018284424,0.008996856,0.009908047,0.025997339,0.02703834,0.052815035,0.06376119,0.083290555,0.08082794,0.08243079,0.10178577,0.09532571,0.06700205,0.058735352,0.05137401,0.18770225
11,Mick Schumacher,0.00016789083,0.0006778899,0.00024533732,0.000345253,0.00078743167,0.0023162693,0.0019264269,0.0067809904,0.00765238,0.021678654,0.034240615,0.06003055,0.06852422,0.10753602,0.13173926,0.1498474,0.12539557,0.093260236,0.07810164,0.108745866
12,Daniel Ricciardo,0.0007291655,0.005642668,0.01971184,0.03916349,0.05465782,0.081394665,0.09013519,0.08862855,0.087337814,0.09072812,0.0716847,0.06145638,0.0585099,0.04391368,0.040958066,0.039802756,0.032256715,0.02574057,0.027600477,0.039947424
13,Lance Stroll,9.944949e-06,0.00012223967,0.00030523087,0.0009926275,0.0024680556,0.012177971,0.0141779985,0.035238612,0.038551476,0.06986079,0.07826926,0.09818075,0.093391195,0.085228406,0.10091494,0.08907246,0.061982784,0.048700687,0.045285318,0.12506925
14,Zhou Guanyu,1.8491735e-05,0.00016822496,0.00024236525,0.0006385139,0.0015871563,0.0071960622,0.007647916,0.021775449,0.024012486,0.05044782,0.063209474,0.08831367,0.08827807,0.094609424,0.11462998,0.10828001,0.07864043,0.06148347,0.05497482,0.13384624
15,Kevin Magnussen,2.1965914e-05,0.00019241548,0.00025773633,0.00065250683,0.0016069519,0.006983182,0.007318879,0.020902585,0.02316819,0.049212057,0.06214501,0.08770907,0.088393934,0.096377745,0.11620886,0.11083222,0.081386104,0.06281389,0.056253515,0.12756327
16,Pierre Gasly,5.5535947e-05,0.000574711,0.0018721201,0.0052412967,0.010242728,0.032644514,0.038030617,0.062579036,0.06400801,0.08929682,0.085116565,0.08857801,0.082980484,0.06793752,0.07364833,0.06703204,0.048750263,0.040497463,0.039570533,0.10134336
17,Valtteri Bottas,0.0001365933,0.0013413638,0.0046249726,0.011597296,0.020184644,0.048442114,0.055736773,0.07594151,0.077695265,0.09680905,0.085417464,0.08279553,0.07797219,0.060994156,0.06205925,0.05732277,0.043420333,0.034539945,0.035337787,0.06763102
18,Alexander Albon,6.081485e-05,0.00043841475,0.0004923117,0.0010543916,0.002368124,0.008172499,0.008179104,0.02131664,0.023363853,0.04829104,0.0603845,0.08393245,0.08640821,0.0975749,0.114172235,0.11368458,0.08715691,0.0669797,0.060476106,0.11549313
19,Nicholas Latifi,9.736876e-05,0.00031027768,5.4075288e-05,6.634345e-05,0.00017302934,0.0006015168,0.00045416586,0.0023276375,0.0027326748,0.010489994,0.020470649,0.044604376,0.054052774,0.10715256,0.14198563,0.17088823,0.14557326,0.105889395,0.08229662,0.109779395
