,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.22179715,0.18294153,0.13900824,0.08880478,0.06541118,0.03244904,0.027951919,0.018226137,0.01235803,0.01071772,0.009401528,0.008250884,0.0076064225,0.011399873,0.01063419,0.012761323,0.015872646,0.024648935,0.021098357,0.07866013
1,Max Verstappen,0.26281375,0.18966766,0.13276212,0.080830805,0.057841133,0.027842483,0.024080303,0.015435682,0.010119085,0.008760117,0.0078085763,0.006869123,0.006230627,0.009780472,0.009249628,0.011006267,0.013995574,0.023249459,0.019344063,0.082313016
2,Sergio Perez,0.043858364,0.07740436,0.10755293,0.106652,0.09333289,0.0662931,0.06224044,0.045642868,0.03768495,0.033770554,0.027466377,0.023915665,0.023750743,0.027180234,0.023577956,0.027986145,0.030515824,0.033600304,0.03361088,0.07396347
3,Lando Norris,0.0050755334,0.012528961,0.03118328,0.05519451,0.05305992,0.06828116,0.08579839,0.06945036,0.06327887,0.060614556,0.04946049,0.043479025,0.042787567,0.042864945,0.03647489,0.037548456,0.038115095,0.03957777,0.041855432,0.1233707
4,Lewis Hamilton,0.2892976,0.19254765,0.12823856,0.07583352,0.053322796,0.025203397,0.021850932,0.013862391,0.008903955,0.0076997443,0.006930416,0.006105358,0.0054836534,0.008852844,0.00844226,0.009994183,0.012879927,0.02228813,0.018228287,0.08403441
5,George Russell,0.059216846,0.11093621,0.13954926,0.11979443,0.10538109,0.06289764,0.052860618,0.038280692,0.031925675,0.027996985,0.022254925,0.019249503,0.019606179,0.022111434,0.018959137,0.023965288,0.026025334,0.026715621,0.02721768,0.04505553
6,Daniel Ricciardo,0.010763003,0.024695758,0.051006142,0.07401238,0.069473855,0.07236483,0.081364274,0.06389257,0.056854166,0.05315087,0.04304205,0.037666053,0.037434682,0.038707845,0.03299647,0.035955906,0.037166078,0.038410544,0.040230684,0.10081178
7,Esteban Ocon,0.0039347666,0.01279272,0.034705613,0.06131224,0.062267777,0.076050855,0.08867776,0.07344448,0.07151562,0.06782488,0.05303189,0.04623372,0.04756723,0.043474685,0.035841182,0.038924918,0.03788623,0.033410326,0.03758956,0.07351358
8,Carlos Sainz,0.08908913,0.13300107,0.14551975,0.11511198,0.096406505,0.054669995,0.046260625,0.032542363,0.025628794,0.022406084,0.018302923,0.015894968,0.015748953,0.019215561,0.016864926,0.021013647,0.023693362,0.027274039,0.026479105,0.054876238
9,Pierre Gasly,0.00460027,0.011772208,0.030094702,0.054268632,0.05259192,0.06866769,0.0865112,0.07039904,0.06473992,0.062091757,0.05047427,0.044350363,0.043809567,0.043335337,0.036745857,0.037837517,0.038172808,0.038976893,0.04152838,0.1190316
10,Valtteri Bottas,0.004578087,0.015207944,0.03984795,0.06691888,0.06809362,0.078227356,0.08772142,0.07233602,0.070694804,0.06653731,0.05160381,0.044882998,0.046593577,0.042358797,0.034776643,0.038617034,0.037529685,0.032280214,0.03655687,0.06463701
11,Yuki Tsunoda,0.0024831789,0.0057759993,0.0167227,0.036410756,0.03492457,0.057424933,0.08400749,0.06939074,0.06271477,0.061913226,0.051998623,0.046112612,0.043946445,0.044568542,0.03844735,0.036342073,0.036958274,0.04178764,0.04330052,0.18476956
12,Zhou Guanyu,0.0044070934,0.011011096,0.028348686,0.052042816,0.050236166,0.067224644,0.08624464,0.070193894,0.0642139,0.061788827,0.05049962,0.044431187,0.04363589,0.043481037,0.036992732,0.03767584,0.038125135,0.039654255,0.041998032,0.12779443
13,Mick Schumacher,0.009523738,0.0370927,0.047343493,0.051840983,0.05803425,0.04799245,0.046694726,0.048126325,0.0448519,0.04862997,0.043423615,0.040338725,0.04494337,0.053102296,0.045740083,0.055903256,0.057423566,0.0568399,0.058650345,0.10350419
14,Kevin Magnussen,0.0007238289,0.0036806993,0.015310974,0.038262814,0.04318066,0.07197196,0.09355749,0.083925195,0.09200058,0.09001879,0.06789191,0.05909112,0.06290725,0.048904285,0.038744785,0.04051144,0.0363808,0.026774477,0.0329157,0.053245243
15,Nicholas Latifi,0.0008173724,0.010469311,0.008650803,0.009168564,0.0152111165,0.013797851,0.013459734,0.024985403,0.027031126,0.041144043,0.04491184,0.047194712,0.06372594,0.08902928,0.07773975,0.102513336,0.099264815,0.0909963,0.09378699,0.12610164
