,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.096985176,0.14348553,0.14655669,0.119325675,0.09635625,0.053270936,0.04012201,0.028554596,0.022205707,0.01980726,0.017801413,0.013713947,0.015605312,0.01885554,0.015507678,0.019561289,0.022844255,0.027666565,0.027535597,0.05423858
1,Sergio Perez,0.06796529,0.12201556,0.1428616,0.123229064,0.105153464,0.061260693,0.04677303,0.033980686,0.027874948,0.024617136,0.021325875,0.016791347,0.018871738,0.021414075,0.017512359,0.022272289,0.024931423,0.027250573,0.027937174,0.045961674
2,Max Verstappen,0.20491098,0.18980241,0.13930559,0.098632805,0.06968933,0.033940632,0.024733245,0.016746694,0.01144413,0.010457735,0.010273008,0.0075073014,0.0088028675,0.0123826545,0.0103247985,0.01276712,0.016519597,0.025644919,0.023757318,0.07235684
3,Carlos Sainz,0.033597194,0.085778914,0.12877417,0.12338423,0.11641047,0.0746033,0.058391538,0.044041876,0.03981678,0.034529984,0.027977737,0.02292084,0.025185863,0.025491131,0.020632505,0.026636034,0.027603464,0.025032215,0.027084982,0.032106664
4,George Russell,0.02419309,0.072070286,0.1206375,0.12103174,0.11932646,0.07973299,0.06308854,0.048372243,0.04563383,0.039260894,0.030892428,0.025752544,0.028019117,0.026973618,0.021733962,0.028242437,0.028296283,0.023645515,0.026196089,0.02690044
5,Pierre Gasly,0.0012145669,0.00562801,0.020414965,0.044027448,0.05312047,0.07928469,0.08411084,0.08177266,0.09165567,0.07638102,0.0640769,0.055779092,0.05711965,0.04495732,0.041660707,0.03803796,0.034028582,0.030814314,0.03322238,0.06269282
6,Lewis Hamilton,0.1327693,0.16341706,0.14658901,0.112977035,0.086566016,0.04553296,0.033852246,0.023625247,0.017462619,0.015725072,0.014635264,0.011043392,0.012715464,0.016309453,0.013486177,0.01687894,0.02052199,0.027400704,0.026513362,0.061978724
7,Yuki Tsunoda,0.0006269969,0.0027629742,0.011350113,0.030030023,0.03666852,0.06842484,0.079207405,0.081816405,0.09203509,0.07665476,0.068337895,0.059019268,0.059958074,0.047013823,0.046001602,0.03684885,0.033138875,0.03436658,0.035579935,0.100158
8,Sebastian Vettel,0.0033227536,0.011968894,0.03342674,0.059612256,0.066023305,0.08130709,0.08080476,0.073884495,0.07654928,0.06473325,0.0554578,0.046980403,0.049179386,0.0424497,0.03854534,0.03724731,0.035316203,0.034521878,0.036432933,0.072236314
9,Fernando Alonso,0.0011023809,0.0053483276,0.019969705,0.04345204,0.05308707,0.079810806,0.08477462,0.08270233,0.093844794,0.078025505,0.064814836,0.056717195,0.05792379,0.044935055,0.04153583,0.038105443,0.033752006,0.029757185,0.03233244,0.058008634
10,Lando Norris,0.0052272347,0.018932726,0.047869973,0.07420433,0.08092607,0.08563676,0.080288775,0.070390545,0.0722201,0.061179306,0.0506523,0.042998593,0.045321867,0.039560493,0.034708507,0.03645833,0.0346548,0.031480093,0.03396427,0.053325027
11,Daniel Ricciardo,0.006196753,0.022884857,0.05580525,0.0812461,0.08836952,0.08730238,0.07967156,0.06856735,0.070343316,0.05958822,0.048372604,0.041182403,0.043505225,0.037973255,0.032751255,0.03584329,0.033986293,0.029534044,0.032289222,0.04458716
12,Esteban Ocon,0.0007687304,0.004129972,0.016942209,0.039175525,0.049454495,0.078979634,0.08556553,0.085158855,0.09963155,0.0823661,0.06758589,0.059807085,0.060587715,0.045344822,0.042096812,0.038102508,0.032978028,0.027963262,0.030721411,0.052639857
13,Zhou Guanyu,0.00063426024,0.0032122894,0.0135555025,0.03389915,0.04256638,0.0742062,0.08330306,0.08479886,0.098356,0.08144743,0.06911754,0.060697194,0.061421122,0.046447918,0.04420683,0.037727036,0.032994792,0.030275404,0.03249221,0.06864081
14,Valtteri Bottas,0.0028739397,0.012897358,0.038638674,0.06547981,0.07614237,0.0877445,0.08439245,0.076271236,0.08318964,0.06967149,0.05570909,0.048435103,0.050291155,0.040853027,0.035835285,0.037428495,0.033923652,0.027852247,0.030935826,0.041434582
15,Kevin Magnussen,0.000191752,0.0015460503,0.006559557,0.01841337,0.027064912,0.054682188,0.06512662,0.07814995,0.099405944,0.08656544,0.078135215,0.071905345,0.07441514,0.056089584,0.05574965,0.046058394,0.03840271,0.033681877,0.036062367,0.07179384
16,Alexander Albon,0.0016794987,0.00812029,0.027709605,0.053408958,0.06425516,0.08476148,0.085643776,0.08055575,0.09045251,0.0753482,0.060897272,0.05333419,0.054815765,0.043042496,0.038653385,0.03804712,0.033831887,0.028150413,0.031125737,0.04616656
17,Nicholas Latifi,0.00025361264,0.006847527,0.004794205,0.005746663,0.012102613,0.012012253,0.011623634,0.022341188,0.029543819,0.037757475,0.050225,0.051848806,0.07100759,0.09385562,0.09660697,0.1168247,0.105167754,0.09139645,0.0903438,0.08970036
18,Lance Stroll,7.391577e-05,0.00069978373,0.0034903844,0.011826529,0.018596655,0.046036117,0.05913944,0.07692919,0.10281625,0.08977783,0.08346789,0.07802334,0.08006598,0.05801792,0.06002712,0.045457974,0.036802772,0.032994285,0.034976345,0.08078026
19,Mick Schumacher,0.00080316345,0.01064244,0.012612473,0.01701484,0.028340435,0.029396411,0.028273528,0.040639736,0.049511053,0.053997,0.05952281,0.057372406,0.07089845,0.07874123,0.07628172,0.08733611,0.07937574,0.06851599,0.07048801,0.080236405
