,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.13882464,0.16040602,0.14866523,0.11711255,0.08665094,0.041287933,0.036271665,0.023308465,0.017273685,0.017002707,0.015266335,0.012788386,0.0151497675,0.01497536,0.013794842,0.01813067,0.020480242,0.020414256,0.023143664,0.059052534
1,Max Verstappen,0.19118877,0.17701013,0.1465298,0.10798787,0.07639818,0.034187328,0.029730622,0.018413743,0.012935689,0.012488783,0.011475396,0.009605469,0.0114838695,0.0115875285,0.0108139,0.014604427,0.01713492,0.018043796,0.02056634,0.06781337
2,Carlos Sainz,0.048332356,0.09010067,0.11828847,0.11797815,0.099049784,0.05973283,0.05680696,0.040391363,0.032478854,0.03223211,0.028744495,0.024023503,0.027535295,0.025252288,0.023050658,0.02765342,0.029578153,0.026771355,0.030282157,0.061716992
3,Sergio Perez,0.054379016,0.094678044,0.12046522,0.11807082,0.09786482,0.058082048,0.055171218,0.038813174,0.03066435,0.03021613,0.02717871,0.022706544,0.026087828,0.024052233,0.022057643,0.02665558,0.028872985,0.026599191,0.030146727,0.06723771
4,Lewis Hamilton,0.29344475,0.19216523,0.133328,0.08853807,0.05840094,0.023690978,0.020278515,0.011856426,0.0076613068,0.007176303,0.0068363775,0.0057155914,0.006931877,0.0072229165,0.0068792067,0.009693742,0.012068162,0.013847132,0.015915923,0.07834849
5,Valtteri Bottas,0.026394783,0.0680816,0.081166565,0.08079898,0.07608827,0.04957733,0.047334466,0.042881202,0.038702805,0.043801926,0.04208418,0.038552694,0.04624671,0.04451978,0.04091462,0.048849568,0.04846309,0.040607467,0.04382096,0.051112972
6,Kevin Magnussen,0.0025172702,0.011902689,0.015795985,0.019906178,0.024869956,0.024045046,0.026704898,0.039325513,0.040319987,0.053059753,0.06446084,0.06873577,0.08632051,0.08361081,0.081355974,0.08845142,0.08178955,0.06266727,0.063656226,0.060504258
7,Fernando Alonso,0.024211017,0.05203198,0.085179284,0.101054974,0.091070406,0.065909445,0.0684514,0.05138888,0.04075757,0.03904545,0.036472816,0.030327115,0.03391321,0.029388994,0.027330844,0.03076432,0.033385597,0.03010018,0.034382895,0.09483355
8,George Russell,0.071647465,0.11663924,0.059678152,0.039366063,0.036458306,0.018728556,0.016378049,0.019781165,0.017682469,0.024307447,0.029506609,0.03252248,0.04526509,0.054603845,0.053531114,0.07445608,0.075197,0.06988961,0.06994017,0.07442105
9,Pierre Gasly,0.01989435,0.048090458,0.08248515,0.10019735,0.092121795,0.068054445,0.07054141,0.053855456,0.04413406,0.042900212,0.039368078,0.03276423,0.036522407,0.031429034,0.028956471,0.032261245,0.034192476,0.029857788,0.0339685,0.07840512
10,Esteban Ocon,0.006700244,0.022077214,0.050900746,0.076647766,0.07802184,0.07181915,0.081458665,0.06737505,0.056896616,0.054355513,0.05112399,0.04237206,0.045822933,0.036797673,0.034137398,0.035072617,0.0365488,0.030431911,0.034788974,0.08665087
11,Mick Schumacher,0.09017332,0.12747289,0.05779626,0.035893515,0.032626852,0.01608064,0.013953868,0.017073903,0.014849732,0.020556899,0.02587268,0.029002823,0.04105789,0.05092419,0.050603867,0.07206496,0.07431077,0.07159327,0.07136013,0.0867315
12,Lando Norris,0.02900907,0.06040374,0.09350292,0.106084555,0.09392513,0.064844206,0.0657892,0.048727635,0.03885219,0.037596703,0.034660537,0.028860502,0.032479074,0.028560447,0.026417403,0.030225325,0.03263612,0.029406881,0.033497162,0.0845211
13,Alexander Albon,0.022548895,0.06819247,0.10648779,0.11516457,0.10443454,0.0673394,0.06289013,0.04773604,0.044176355,0.046823304,0.038520936,0.032337055,0.03666864,0.032848775,0.028758893,0.033264708,0.032128707,0.02539727,0.028207976,0.026073527
14,Zhou Guanyu,0.045605365,0.0794875,0.063218035,0.053400397,0.049727883,0.030340461,0.0291275,0.030360408,0.025369816,0.030210624,0.034668423,0.034714404,0.044595655,0.047367044,0.04626525,0.05890491,0.062272757,0.05847175,0.061543286,0.11434843
15,Yuki Tsunoda,0.0116011035,0.028827928,0.04766009,0.061737195,0.06184771,0.052575357,0.05876483,0.053707447,0.043421134,0.04362812,0.046149183,0.04094286,0.046796188,0.040828206,0.039366815,0.042847723,0.046308354,0.04156303,0.04647375,0.14495283
16,Nico Hulkenberg,0.0023718812,0.009204652,0.028070752,0.05279734,0.058736052,0.06835856,0.087026685,0.07703408,0.063498825,0.057767883,0.05792319,0.047679365,0.049955815,0.03730322,0.035521936,0.03364372,0.03589048,0.029913085,0.034663454,0.13263899
17,Daniel Ricciardo,0.07984889,0.12949659,0.14252895,0.12429014,0.09850802,0.051669624,0.046100955,0.03136637,0.02523076,0.025590932,0.022188967,0.01861537,0.021750418,0.020840008,0.018820582,0.0237312,0.025292955,0.023180058,0.026060529,0.04488869
18,Lance Stroll,0.0040238546,0.018009266,0.028607003,0.037246935,0.043039534,0.039283533,0.042592563,0.050669074,0.050321396,0.06047567,0.06455844,0.062889755,0.07510254,0.06866692,0.06458498,0.06948746,0.06515062,0.049801342,0.05244165,0.05304739
19,Nicholas Latifi,0.05988031,0.09597021,0.035824664,0.021024982,0.020652357,0.010469869,0.009075482,0.013751643,0.012769803,0.019795556,0.027542312,0.033858728,0.05057835,0.06701079,0.06795644,0.09851197,0.097658455,0.09166623,0.08759387,0.07840799
