,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.29422438,0.19980799,0.1047481,0.07749143,0.06300213,0.02234786,0.015679393,0.011352749,0.008432948,0.008464733,0.006939649,0.0061733993,0.005629839,0.007075055,0.0075095254,0.009595477,0.013717058,0.020661011,0.017326763,0.0998205
1,Fernando Alonso,0.0013501936,0.0054815975,0.01611432,0.041574784,0.053875238,0.068450324,0.08094974,0.07605106,0.08558582,0.089185774,0.06736576,0.058561683,0.051243395,0.040969197,0.03891885,0.03998092,0.03762946,0.029506527,0.03187428,0.085331105
2,Carlos Sainz,0.044535346,0.09828278,0.12798871,0.122555785,0.118574046,0.068550244,0.053271916,0.04020808,0.03672287,0.033104196,0.025784846,0.022030719,0.022510046,0.02240294,0.019494584,0.025423806,0.027362784,0.025218328,0.026351543,0.03962643
3,Lewis Hamilton,0.1899417,0.18128256,0.12359429,0.098506175,0.08421366,0.03439708,0.024856215,0.018214494,0.014361859,0.013975352,0.011289224,0.0099263815,0.009354502,0.010990087,0.011014652,0.014157512,0.018645924,0.024370851,0.021778133,0.08512929
4,Kevin Magnussen,3.862457e-05,0.00061340845,0.0010997378,0.0036257429,0.008621038,0.014532642,0.022059029,0.040056027,0.055203576,0.0863516,0.085664086,0.08045559,0.08434677,0.07735256,0.07946001,0.08484636,0.07153521,0.04664926,0.04955261,0.10793606
5,Mick Schumacher,0.00021385275,0.003814263,0.0015456497,0.0021776087,0.005995484,0.00502864,0.0059996373,0.014752195,0.018251026,0.035607744,0.046071857,0.045882147,0.062275726,0.08516453,0.09133216,0.12597707,0.1215901,0.09402037,0.08874372,0.14555612
6,Esteban Ocon,0.00063887384,0.0035094141,0.013067725,0.036288746,0.049257256,0.0712654,0.086792156,0.08255383,0.09804793,0.09956454,0.07422092,0.063877515,0.057443377,0.043221783,0.039082687,0.040273696,0.03524674,0.024385162,0.02785177,0.05341049
7,George Russell,0.036595155,0.0890373,0.1250208,0.122298636,0.12004186,0.07226289,0.056634396,0.042893264,0.0398513,0.035606034,0.027616184,0.023516735,0.024255633,0.02367849,0.020268437,0.02647777,0.02783524,0.02463138,0.026211208,0.035267256
8,Daniel Ricciardo,0.008803667,0.026227305,0.051264964,0.08102812,0.090806745,0.07799425,0.0749513,0.06320053,0.06407115,0.062221684,0.047734164,0.041157287,0.03883455,0.03464726,0.031572483,0.036471006,0.036752082,0.031327102,0.0332333,0.06770107
9,Zhou Guanyu,0.00044189388,0.001964102,0.006994148,0.0249466,0.035197347,0.056121215,0.07618694,0.07701081,0.09129209,0.10130094,0.07610231,0.0668499,0.0547017,0.041485317,0.041523047,0.039111067,0.03617903,0.02822894,0.03014114,0.11422153
10,Valtteri Bottas,0.0016308716,0.0078082494,0.024005689,0.052257016,0.0660971,0.07908118,0.08686471,0.0782824,0.08848911,0.08656287,0.064983495,0.055660192,0.052093364,0.04127475,0.036429,0.039845083,0.035931453,0.025725422,0.029218117,0.047759943
11,Alexander Albon,0.00070214446,0.0039518345,0.013591321,0.035940904,0.04936203,0.068875484,0.08276707,0.080283605,0.09499986,0.09766494,0.073966354,0.06385537,0.058446605,0.044932645,0.040625464,0.042545237,0.0373964,0.025964685,0.029530885,0.05459717
12,Sergio Perez,0.104239285,0.14560848,0.13321099,0.11540369,0.10436549,0.049917925,0.03728363,0.027690547,0.023341546,0.02193779,0.017430332,0.01512758,0.014789616,0.016113754,0.015145508,0.019596005,0.023546351,0.02625811,0.025193322,0.06380007
13,Pierre Gasly,0.0021373471,0.007611092,0.01979616,0.047069483,0.05908433,0.06878965,0.07862948,0.07263987,0.07938827,0.08269274,0.06283456,0.054739293,0.047925103,0.039562967,0.03797368,0.039524734,0.038363412,0.031590723,0.03346682,0.09618024
14,Sebastian Vettel,0.004183322,0.012097805,0.02606638,0.055277925,0.06620532,0.06773922,0.07383612,0.06664843,0.06965795,0.072767176,0.05581381,0.048820965,0.04261913,0.036952887,0.036177456,0.038277563,0.039022855,0.034786414,0.035678215,0.117371045
15,Lance Stroll,1.5431931e-05,0.00025144868,0.0006338869,0.002838645,0.0068837507,0.014616852,0.024781318,0.04447078,0.06405617,0.09985503,0.094589315,0.088473104,0.08586319,0.07180338,0.075277366,0.07369548,0.06026435,0.038156092,0.04105676,0.11241766
16,Nicholas Latifi,5.165485e-05,0.0017744151,0.0005043486,0.00067419925,0.0024191495,0.0020735282,0.002605899,0.008626465,0.011517075,0.026706059,0.039843287,0.04103588,0.063459195,0.09574537,0.10371005,0.15312456,0.14081098,0.099065155,0.09341959,0.11283313
17,Yuki Tsunoda,0.0005359609,0.002040993,0.006590335,0.023975736,0.033485,0.05177969,0.070966475,0.072230026,0.08386754,0.09557466,0.072265364,0.06396871,0.050884545,0.039545555,0.041113064,0.038024295,0.036537018,0.030581972,0.031565618,0.1544674
