,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.27452967,0.21193919,0.12040383,0.07662471,0.049442362,0.028828785,0.016229168,0.014514765,0.008478482,0.006289394,0.007824056,0.006105733,0.0068337596,0.008946304,0.0081266,0.010703208,0.014193452,0.020559782,0.0226784,0.08674825
1,Charles Leclerc,0.06812282,0.12683249,0.14221741,0.11918013,0.099815264,0.06512713,0.045118466,0.03724746,0.028832853,0.02328666,0.021939768,0.017655296,0.019283213,0.020507444,0.017334651,0.022396835,0.025181305,0.025496112,0.028050283,0.0463743
2,Carlos Sainz,0.027327945,0.079580374,0.12605838,0.12149383,0.11617109,0.080256164,0.061782233,0.048970893,0.0437384,0.036884725,0.030174676,0.024663938,0.026605528,0.025459241,0.020747444,0.02654616,0.02744544,0.023165202,0.02545217,0.02747602
3,Sergio Perez,0.09009325,0.14438821,0.14420268,0.115311556,0.092380494,0.059132937,0.039543618,0.033093248,0.024417926,0.019437494,0.019200692,0.015370532,0.016857812,0.0185738,0.01589379,0.020602409,0.023824029,0.025638606,0.028219556,0.053817365
4,Esteban Ocon,0.00040997146,0.002536369,0.010698228,0.028792106,0.03861224,0.075943194,0.078713514,0.08972576,0.094628416,0.08370841,0.07959256,0.065508544,0.066429324,0.047731794,0.041359376,0.04294492,0.038283054,0.02672739,0.03044143,0.05721338
5,Lewis Hamilton,0.09453832,0.1475218,0.14432612,0.11445128,0.09096915,0.058031347,0.038563572,0.0323515,0.023667715,0.018791799,0.018719932,0.014971729,0.01643259,0.018219732,0.0156248715,0.020265609,0.023552129,0.025622707,0.02820428,0.055173762
6,Fernando Alonso,0.00060317473,0.003535945,0.01379232,0.033933256,0.04431429,0.07930706,0.08027198,0.08836529,0.0922351,0.08135479,0.07591698,0.062477414,0.06368991,0.046815213,0.04028528,0.042627756,0.03841064,0.02711735,0.030782001,0.054164283
7,George Russell,0.018877588,0.06507772,0.11743656,0.11931561,0.11993685,0.08466322,0.067819685,0.052937664,0.04990341,0.042775277,0.03317814,0.027279004,0.029288871,0.02693244,0.021647224,0.027595734,0.027641995,0.021783147,0.02392173,0.021988051
8,Sebastian Vettel,0.0007485562,0.0038756502,0.013920765,0.03384074,0.0427633,0.07779245,0.07677821,0.08674034,0.086792156,0.075576924,0.07431768,0.06085682,0.06216598,0.04688175,0.040924642,0.04313932,0.039778117,0.029655453,0.033719115,0.06973202
9,Lando Norris,0.002235161,0.010858776,0.032244544,0.05801379,0.06906045,0.088926524,0.08285811,0.08076428,0.08131602,0.07100136,0.062059633,0.051056266,0.053011212,0.042179246,0.03543011,0.040044513,0.03746004,0.027495548,0.030847814,0.043136608
10,Daniel Ricciardo,0.002893072,0.013394747,0.03748254,0.063558176,0.074111916,0.089943774,0.082308,0.07865903,0.07831356,0.06815772,0.059188075,0.048664805,0.05071146,0.041058727,0.034387786,0.039327722,0.03713731,0.027616726,0.030922126,0.04216272
11,Valtteri Bottas,0.0005280163,0.0031535507,0.012637961,0.032073144,0.042271517,0.078161255,0.07976421,0.08887189,0.09309609,0.082196675,0.07720178,0.06353686,0.06465215,0.04715058,0.040671125,0.04275569,0.038383115,0.026993565,0.030677104,0.05522371
12,Yuki Tsunoda,0.00013649248,0.00080164307,0.0038577053,0.014387494,0.019969553,0.058861353,0.063472815,0.087638214,0.088005304,0.076626614,0.08761977,0.07138369,0.07121987,0.049426895,0.04536212,0.043386277,0.038938355,0.029205892,0.033824056,0.11587592
13,Zhou Guanyu,0.00010891468,0.0007282668,0.003825714,0.014492851,0.020828212,0.060577765,0.067098185,0.090320215,0.094763584,0.08361713,0.090661265,0.07424182,0.07390023,0.049910948,0.045147866,0.04332123,0.03795411,0.026905237,0.031110201,0.09048622
14,Mick Schumacher,0.00014622667,0.003972704,0.0041392096,0.00759571,0.0147337485,0.01887919,0.020148108,0.037654612,0.04008825,0.04949831,0.07137165,0.06460016,0.08176887,0.086686194,0.08366903,0.09897971,0.09247891,0.0674204,0.06896221,0.08720677
15,Alexander Albon,0.000271051,0.0025815358,0.007706656,0.019497491,0.029302638,0.053625554,0.056671567,0.07522533,0.07993718,0.077588245,0.08344063,0.07049163,0.075769134,0.05990903,0.05364682,0.057208586,0.051393203,0.03611426,0.04000296,0.06961658
16,Pierre Gasly,0.00037717537,0.002231619,0.009352351,0.026245994,0.035018377,0.07322923,0.075743586,0.089372836,0.09243124,0.081269786,0.080546185,0.06609994,0.06691887,0.048221957,0.042302195,0.043373957,0.038971335,0.027935585,0.031907555,0.068450265
17,Kevin Magnussen,3.4510755e-05,0.0005625769,0.0018467498,0.0065968526,0.012052663,0.031548835,0.037458867,0.06438343,0.07193027,0.07547957,0.09602668,0.08266507,0.09049248,0.06937133,0.065512165,0.06559395,0.056555457,0.03804148,0.041923724,0.091923274
18,Lance Stroll,4.421469e-05,0.00037040777,0.002426169,0.010819143,0.016847815,0.056363523,0.06676749,0.092615835,0.103527285,0.09308858,0.098366596,0.081003875,0.07974537,0.050422203,0.04542634,0.0424089,0.035588097,0.023333892,0.027083514,0.07375077
