,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Max Verstappen,0.43316275,0.19614933,0.115559645,0.047975697,0.03362876,0.0142491255,0.009994074,0.0055549145,0.003846124,0.0030143147,0.0031590576,0.0027574648,0.0022141812,0.0039457483,0.0034677032,0.0037068203,0.007484998,0.013178921,0.011710073,0.0852402
1,George Russell,0.022471504,0.0750309,0.11273417,0.11340269,0.11296157,0.07289455,0.06568842,0.04920111,0.046565697,0.04597937,0.03745818,0.03146442,0.032865956,0.030094597,0.025521962,0.02908288,0.02867503,0.023105426,0.024918199,0.01988337
2,Lewis Hamilton,0.13816816,0.1691514,0.15881833,0.10243506,0.08552876,0.04468195,0.03550318,0.022892512,0.018518848,0.016282648,0.015053635,0.012891119,0.011799265,0.015094501,0.013032321,0.01438144,0.020324219,0.024249792,0.023728188,0.05746466
3,Sergio Perez,0.1414195,0.17047672,0.15890768,0.10179343,0.084762305,0.04413768,0.035002798,0.022517847,0.018171774,0.015948953,0.014773882,0.012655321,0.011559889,0.014864643,0.012837405,0.014159343,0.020121615,0.024153661,0.02359874,0.05813691
4,Carlos Sainz,0.057419464,0.118584685,0.14225742,0.11567039,0.105884254,0.061754312,0.05239499,0.036527865,0.032068186,0.029953385,0.025925795,0.021979399,0.021551449,0.023160763,0.019810814,0.02223052,0.026042115,0.025323078,0.026067007,0.035394087
5,Valtteri Bottas,0.00013137425,0.0015323638,0.008533453,0.025010083,0.040117785,0.06570151,0.087097585,0.09271027,0.10202128,0.103063844,0.08389311,0.07099722,0.067756854,0.045344826,0.045932963,0.03613889,0.029200912,0.024525234,0.024385218,0.0459052
6,Charles Leclerc,0.11367289,0.15779373,0.15713917,0.107152715,0.09146699,0.04906513,0.039605245,0.026021123,0.021467583,0.019151539,0.017427742,0.0148881795,0.013854439,0.016996816,0.014641874,0.016222702,0.021915756,0.02489441,0.02465748,0.051964454
7,Lando Norris,0.00046339977,0.0036873599,0.015539072,0.03581589,0.051852886,0.07147566,0.08751372,0.086013295,0.08970714,0.08816769,0.073705986,0.06256468,0.058802985,0.0440715,0.04372969,0.035959948,0.0322049,0.02920289,0.028769273,0.060751926
8,Fernando Alonso,0.00023372252,0.0022448832,0.011065394,0.029107757,0.044629816,0.068184055,0.08735193,0.08968851,0.095926255,0.09524958,0.07892264,0.066950284,0.06296503,0.044757634,0.045107707,0.03589492,0.03076656,0.027254049,0.02682448,0.05687483
9,Esteban Ocon,8.3983985e-05,0.0010805154,0.006690796,0.021376202,0.03563676,0.06298155,0.08614996,0.09433645,0.10502247,0.106224604,0.08652443,0.07327784,0.06935648,0.04531063,0.046586137,0.035534807,0.028301692,0.023907315,0.02359729,0.048019942
10,Daniel Ricciardo,0.0009811122,0.006979754,0.024171764,0.047858737,0.06456277,0.076120496,0.0878122,0.082143724,0.08493828,0.0844247,0.06938454,0.058655094,0.057143718,0.043553334,0.041615255,0.036995422,0.03282126,0.027982831,0.028389076,0.043465905
11,Zhou Guanyu,3.0428002e-05,0.0003618739,0.0013270085,0.0044395668,0.009042633,0.021279411,0.02636609,0.049448352,0.06173961,0.07720085,0.086347304,0.08776442,0.096957184,0.07655975,0.088742286,0.06678858,0.053885303,0.045315936,0.04270272,0.103700675
12,Yuki Tsunoda,2.4276696e-05,0.0002903252,0.0013591447,0.0049256543,0.010044113,0.025045209,0.03304274,0.056627348,0.06823652,0.0794944,0.08546624,0.08394403,0.08535743,0.06614489,0.07749864,0.054198727,0.045860704,0.042789645,0.039193064,0.14045693
13,Pierre Gasly,6.603143e-05,0.0008248338,0.0055042976,0.018487498,0.03163931,0.060306598,0.08452427,0.09402644,0.103623286,0.10290602,0.08576532,0.07295712,0.066670865,0.044546843,0.046961185,0.034032915,0.028244838,0.025757473,0.024729855,0.068424985
14,Mick Schumacher,0.00026679743,0.0015222434,0.0014594699,0.002641961,0.0048607513,0.008189727,0.007196275,0.018474188,0.02406251,0.037492223,0.05564562,0.06702294,0.094892286,0.10440067,0.11942057,0.116484,0.10077839,0.07464505,0.07288292,0.08766133
15,Sebastian Vettel,0.000105444844,0.001148681,0.006912379,0.0212488,0.035009634,0.06252803,0.08508212,0.09190774,0.09938447,0.09779075,0.08221809,0.07000414,0.06370494,0.044302687,0.046312835,0.034168683,0.02938411,0.027468065,0.026312025,0.07500629
16,Alexander Albon,8.1898965e-05,0.0008343714,0.0024564695,0.0068410686,0.012753683,0.024913598,0.02885398,0.050340556,0.061770562,0.077513434,0.084794864,0.08547939,0.09746329,0.0789102,0.087538294,0.0717468,0.057951678,0.04612867,0.044806313,0.07882092
17,Nicholas Latifi,0.0001638897,0.00077425205,0.00038457432,0.000621133,0.0012680457,0.0023477997,0.001781392,0.0069688936,0.0099377,0.018836325,0.03633561,0.05115304,0.08583196,0.11370207,0.13919465,0.14490974,0.12602428,0.08778251,0.08465414,0.08732798
18,Kevin Magnussen,2.6150077e-05,0.00032807287,0.0011327298,0.0038234121,0.007950557,0.01896061,0.023182698,0.046143834,0.059015837,0.0764603,0.08716763,0.0901139,0.10323995,0.08111502,0.094272226,0.07232921,0.056506146,0.045252644,0.043082643,0.0898964
19,Lance Stroll,1.1690989e-05,0.00020153604,0.0012833973,0.0055202837,0.011637878,0.03046105,0.043346748,0.07067114,0.08765631,0.10118123,0.09831133,0.092537455,0.09423385,0.0628416,0.07211526,0.0500959,0.037765574,0.0315939,0.029915227,0.078618646
