,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Charles Leclerc,0.14200054,0.17117149,0.16334501,0.10182331,0.08277767,0.04562354,0.034555115,0.023568846,0.016578129,0.015382114,0.01412115,0.011312161,0.012048921,0.01605583,0.012704808,0.015958307,0.01805927,0.021331763,0.021145042,0.06043694
1,Carlos Sainz,0.052289084,0.10338258,0.13196647,0.111878596,0.10000293,0.06514338,0.053898737,0.040308557,0.031652104,0.030557377,0.027046358,0.02204439,0.023484385,0.026535908,0.02146154,0.025624383,0.026886037,0.026803464,0.02756432,0.05146934
2,Max Verstappen,0.16381909,0.17977227,0.1638246,0.09722462,0.077906564,0.042319827,0.031567354,0.021243567,0.014568891,0.01335726,0.012394865,0.009890436,0.010493232,0.014472665,0.011388373,0.014400082,0.016565038,0.020345822,0.01997174,0.06447367
3,Sergio Perez,0.044031266,0.09005066,0.120952785,0.10805413,0.098401554,0.068745136,0.057518356,0.04388599,0.034201674,0.032614194,0.02917199,0.023753634,0.024971848,0.028199404,0.022730181,0.026771951,0.02813906,0.028383687,0.028986827,0.060435567
4,Valtteri Bottas,0.0011736572,0.0073273997,0.019473216,0.040332936,0.049957186,0.07267878,0.074265495,0.08206203,0.07650843,0.076984115,0.07116822,0.06229679,0.06273852,0.05323959,0.044518746,0.044573665,0.041535553,0.031884126,0.033666663,0.053614855
5,Lewis Hamilton,0.1719982,0.17095898,0.15478474,0.09101084,0.07302037,0.04229126,0.03125974,0.021130824,0.013824029,0.01226292,0.011714048,0.00928139,0.009631282,0.013975552,0.010860829,0.01364033,0.016114717,0.021287326,0.02041771,0.09053494
6,Pierre Gasly,0.0007086651,0.004236133,0.014724627,0.03540289,0.044893406,0.08243616,0.08808942,0.094561905,0.08006541,0.0712427,0.06733499,0.05566736,0.051048543,0.04500939,0.03617713,0.034375943,0.032936275,0.029263018,0.029348845,0.10247728
7,Lando Norris,0.0022971097,0.010157322,0.027474761,0.05085059,0.05913249,0.08536589,0.08539102,0.08388696,0.06883736,0.06195877,0.0580595,0.04773981,0.045173317,0.042940598,0.034452744,0.034587312,0.034137532,0.031823363,0.03191848,0.10381508
8,Yuki Tsunoda,0.00033734855,0.0020733762,0.0053509586,0.013618897,0.019636258,0.04984864,0.05025144,0.07370767,0.06195263,0.060101096,0.06763212,0.06346351,0.060543675,0.059647065,0.049179606,0.04596241,0.04660532,0.042217426,0.041305315,0.18656534
9,Fernando Alonso,0.00079220353,0.004471317,0.01519673,0.035661444,0.044924293,0.08264817,0.08757847,0.093479946,0.077717744,0.06846094,0.0652885,0.053824957,0.049120445,0.044317417,0.03546799,0.03377614,0.032728802,0.029908964,0.02976626,0.11486934
10,George Russell,0.018530065,0.056725062,0.09338337,0.10360511,0.10060013,0.075582534,0.0675855,0.05476446,0.04745698,0.047511026,0.040671777,0.033666715,0.035912145,0.03504425,0.028907413,0.033030603,0.032398146,0.027748631,0.029502688,0.0373734
11,Daniel Ricciardo,0.010158325,0.03328746,0.064149156,0.08360425,0.08611985,0.08263836,0.076268926,0.06593134,0.05478445,0.052093606,0.046612397,0.03836072,0.03891372,0.038651124,0.031394888,0.034279626,0.034157623,0.03122056,0.03218612,0.06518744
12,Mick Schumacher,0.0020647265,0.007623919,0.0038803173,0.0047024833,0.0068662926,0.012258792,0.008805111,0.020432066,0.019086111,0.028376007,0.041829716,0.05512773,0.07270136,0.09648332,0.089800894,0.10125724,0.115465656,0.090619855,0.09346977,0.12914865
13,Kevin Magnussen,0.00010103721,0.0009415723,0.0016083537,0.0044697416,0.0075817686,0.022455059,0.021531597,0.04725326,0.047667556,0.059850525,0.07591024,0.08733706,0.096828856,0.09081036,0.08167196,0.07720439,0.07603733,0.052550934,0.054706533,0.093481764
14,Zhou Guanyu,0.001058089,0.005476264,0.0096215345,0.018492712,0.024947725,0.046576846,0.04329204,0.06242334,0.055007435,0.059105445,0.06590496,0.064781,0.0677123,0.068857916,0.058443706,0.058798045,0.059879042,0.050535537,0.05121351,0.1278726
15,Alexander Albon,0.0004666643,0.0035679457,0.008495426,0.020111239,0.027917463,0.051831182,0.052475147,0.07334748,0.07153882,0.07810922,0.07943882,0.07628019,0.07951881,0.06792429,0.058417633,0.057110474,0.05352074,0.038532063,0.040799987,0.06059643
16,Nicholas Latifi,0.00066251,0.0029279664,0.0009012881,0.0011073992,0.0018832645,0.004215002,0.0027809932,0.009722408,0.0099887885,0.018335951,0.032290224,0.05192475,0.077443406,0.109280646,0.10877682,0.12413463,0.14535424,0.09963619,0.1049999,0.09363369
